NAME|BRANCH|ADDR|TIME|TELL
얌샘김밥|목포용해점|전라남도 목포시 용해지구로 9 (용해동) 1층 2호|09:00~21:00|배달 가능 매장|061-273-3323
얌샘김밥|목포역점|전라남도 목포시 수문로 1|09:00~21:00|배달 가능 매장|061-243-1980
얌샘김밥|목포상동점|전라남도 목포시 하당로 233-1|09:00~21:00|배달 가능 매장|061-282-2233
얌샘김밥|목포북항점|전라남도 목포시 청호로 130번지 1 (산정동)|09:00~21:00|배달 가능 매장|061-279-2226
얌샘김밥|무안오룡점|전라남도 무안군 삼향읍 남악5로22번길 15 (구주소:남악리2415번지)|09:00~21:00|배달 가능 매장|061-287-3316
얌샘김밥|광주신창점|광주 광산구 장신로 255(신창동)|10:30~21:00|배달 가능 매장|062-954-2323
얌샘김밥|광주봉선점|광주광역시 남구 방림동 556-1 2동 107호|09:00~22:00|배달 불가능 매장| 062-654-2366
얌샘김밥|인천삼산점|인천광역시 부평구 평천로 402, 102,103호 (삼산동, 영통빌딩)|09:00~21:00|배달 가능 매장|032-511-8255
얌샘김밥|신포시장점|인천시 중구 제물량로 166번길 36 (내동)|09:00~21:00|배달 불가능 매장|032-777-2523
얌샘김밥|포항두호점|경상북도 포항시 북구 두호로 17(두호동)|09:00~21:00|배달 가능 매장|054-255-1113
얌샘김밥|전곡점|경기도 연천군 전곡읍 전곡리 477-6|09:00~21:00|배달 가능 매장|031-832-5663
얌샘김밥|의정부서부역점|경기 의정부시 시민로 83 (의정부동 442-12 광장타워)|09:00~22:00|배달 가능 매장|031-863-8556
얌샘김밥|의정부민락점|경기도 의정부시 용현로 128 (민락동,1층)|09:00~21:00|배달 가능 매장|031-851-1417
