##NAME|SUBNAME|OFFICE|TELNUM|NEWADDR|MAJOR|BIRTH|STATUS|SOURCE2@@변호사
법무법인/정송|||525-1000|서울 서초구 서초중앙로 125 , 401호(서초동, 로이어즈타워)||||대한변호사협회
법무법인/정진|||592-2224|서울 서초구 서초대로 396 , 20층(서초동, 강남빌딩)||||대한변호사협회
법무법인/리우|||524-9600|서울 서초구 반포대로 138 , 3층, 5층(서초동, 양진빌딩)||||대한변호사협회
법무법인/민주로|||062-225-3341,2|광주 동구 동명로 107,202호(지산동)||||대한변호사협회
법무법인/센트로|||532-6327|서울 서초구 서초중앙로 148, 7층 (서초동, 희성빌딩)||||대한변호사협회
법무법인/공명|||541-6008|서울 서초구 서초중앙로 116, 7층 (서초동, 성재빌딩)||||대한변호사협회
법무법인/혜담|||051-507-5771|부산 연제구 법원남로 9 , 8층(거제동, 보은빌딩)||||대한변호사협회
법무법인/이제|||02-6367-5000|서울 강남구 테헤란로87길 21, 4층 (삼성동, 동성빌딩)||||대한변호사협회
법무법인/율빛|||053-745-5571|대구 수성구 동대구로 390 5층, (범어동, 범어타워건물)||||대한변호사협회
법무법인/다음|||6080-9982|서울 서초구 서초대로41길 16,2층(서초동,정경빌딩)||||대한변호사협회
법무법인/태진|||587-3001|서울 서초구 반포대로22길 100 , 5층(서초동, 삼덕빌딩)||||대한변호사협회
법무법인/다솜|||032-872-9947|인천 남구 학익소로23번길 1 , 5층(학익동)||||대한변호사협회
법무법인/헤리티지|||736-3008|서울 종로구 새문안로 92,1910호(신문로1가,광화문오피시아)||||대한변호사협회
법무법인/삼육오|||051-959-0365|부산 해운대구 APEC로 17,1802호(우동,센텀리더스마크)||||대한변호사협회
법무법인/혜화|||595-9082|서울 서초구 반포대로30길 70, 2층 (서초동, 우성빌딩)||||대한변호사협회
법무법인/법헌|||555-3832|서울 서초구 서초대로62길 9-14, 102동 303호 (서초동, 아이리스서초)||||대한변호사협회
법무법인/시헌|||02-598-3200|서울 서초구 강남대로 331, 19층(서초동, 광일빌딩)||||대한변호사협회
법무법인/선해|||586-5701|서울 서초구 반포대로30길 6,2층(서초동,대영빌딩)||||대한변호사협회
법무법인/동서양재|||3471-3705|서울 서초구 서초대로54길 29-6 2층(서초동, 열린빌딩)||||대한변호사협회
법무법인/지음|||062-227-2227|광주 동구 동명로 110 법조타운 203호||||대한변호사협회
법무법인/로이|||6203-0055|서울 서초구 반포대로30길 43,5층(서초동,알바트로스빌딩)||||대한변호사협회
법무법인/해미르|||536-1600|서울 서초구 반포대로 65,3층(서초동,곤산빌딩)||||대한변호사협회
법무법인/부강|||051-507-3353|부산 연제구 중앙대로 1217,3층305호(거제동,국제빌딩)||||대한변호사협회
법무법인/지명|||525-5045|서울 서초구 서초중앙로 119 , 12층(서초동, 세연타워)||||대한변호사협회
법무법인/휴텍|||592-3399|서울 서초구 법원로3길 22,4층(서초동,영인빌딩)||||대한변호사협회
법무법인/지금|||501-1998|서울 서초구 반포대로30길 81 , 10층(서초동, 웅진타워)||||대한변호사협회
법무법인/정향|||588-8004|서울 서초구 서초대로78길 5 , 11층, 17층(서초동, 대각빌딩)||||대한변호사협회
법무법인/믿음|||055-716-1110|경남 창원시 성산구 창이대로690번길 2(사파동,청운빌딩)||||대한변호사협회
법무법인/득아|||593-8500|서울 서초구 서초중앙로 154,5층(서초동)||||대한변호사협회
법무법인/포인|||053-753-9595|대구 수성구 동대구로 345,203호(범어동,범어역우방유쉘)||||대한변호사협회
법무법인/지선|||3445-9200|서울 서초구 서초대로 254 , 5층(서초동, 오퓨런스)||||대한변호사협회
법무법인/송담|||532-8787|서울 서초구 서초중앙로 153,3층302호(서초동)||||대한변호사협회
법무법인/신효|||521-7752|서울 서초구 서초대로46길 25, 4층 (서초동, 창영빌딩)||||대한변호사협회
법무법인/공유|||3472-7200|서울 서초구 서초대로 272,11층(서초동,한국아이비에스빌딩)||||대한변호사협회
법무법인/하우|||6011-9000|서울 서초구 서초대로 272,5층(서초동,한국아이비에스빌딩)||||대한변호사협회
법무법인/동백|||3474-8830|서울 서초구 서초대로 344 , 5층, 6층 (서초동, KB빌딩)||||대한변호사협회
법무법인/에이프로|||3476-7100|서울 서초구 법원로2길 15 , 302호, 303호, 307호(서초동, 길도빌딩)||||대한변호사협회
법무법인/대신|||051-714-1472|부산 연제구 법원로 38,802호(거제동,로펌빌딩)||||대한변호사협회
법무법인/호림|||063-251-9269|전북 전주시 덕진구 사평로 43,2층(덕진동1가,통일빌딩)||||대한변호사협회
법무법인/선린|||6348-0410|서울 서초구 반포대로 108,4층(서초동,양원빌딩)||||대한변호사협회
법무법인/위|||536-5600|서울 서초구 서초중앙로24길 27, 302호, 304호, 430호 (서초동, G5센트럴프라자)||||대한변호사협회
법무법인/이로|||536-0999|서울 서초구 서초대로 332,10층(서초동,신승빌딩)||||대한변호사협회
법무법인/한길|||551-2211|서울 강남구 테헤란로87길 22,615호(삼성동,한국도심공항빌딩)||||대한변호사협회
법무법인/해운대|||051-714-3900|부산 연제구 법원로 20 , 501호(거제동, 로제스티빌딩)||||대한변호사협회
법무법인/의암|||6929-0610|서울 강남구 테헤란로8길 33,4층(역삼동,청원빌딩)||||대한변호사협회
법무법인/거산|||2607-6200|서울 서초구 서초대로40길 41, 4층 (서초동, 대호IR빌딩)||||대한변호사협회
법무법인/카이로|||6972-1638|서울 서초구 법원로4길 31,3층(서초동,대원빌딩)||||대한변호사협회
법무법인/송경|||3471-1040|서울 강남구 테헤란로 322,704호(역삼동,한신인터밸리24빌딩)||||대한변호사협회
법무법인/한음|||534-9876|서울 서초구 서초중앙로 154, 2층 (서초동,화평빌딩)||||대한변호사협회
법무법인/신의|||535-9114|서울 서초구 반포대로 79,4층(서초동,개념원리빌딩)||||대한변호사협회
법무법인/울림|||6365-0607|서울 강남구 영동대로 607,13층(삼성동,랜드마크빌딩)||||대한변호사협회
법무법인/올흔|||3481-2700|서울 강남구 선릉로 704, 2층 (청담동, 청담벤처프라자)||||대한변호사협회
법무법인/대원씨앤씨|||042-485-2345|대전 서구 둔산중로78번길 26,401호(둔산동,민석타워)||||대한변호사협회
법무법인/법승|||782-9980|서울 서초구 서초대로 269,302호(서초동,부림빌딩)||||대한변호사협회
법무법인/루츠|||6010-9900|서울 서초구 법원로3길 15,102호(서초동,영포빌딩)||||대한변호사협회
법무법인/명석|||02-3482-1230|서울 서초구 반포대로30길 39, 3층 (서초동, 덕촌빌딩)||||대한변호사협회
법무법인/정앤정|||053-742-0300|대구 수성구 동대구로 356,2층(범어동, 상영빌딩)||||대한변호사협회
법무법인/파랑|||043-294-9410|충북 청주시 서원구 산남로70번길 14, 501호(산남동, 하이탑빌딩)||||대한변호사협회
법무법인/동천|||031-334-1600|경기 용인시 처인구 명지로 81 203호(역북동, 용인상공회의소)||||대한변호사협회
법무법인/중앙법률원|||6277-0150|서울 영등포구 국제금융로6길 26,11층(여의도동,한국노총빌딩)||||대한변호사협회
신성합동/법무법인|||3486-7300|서울 서초구 서초중앙로24길 16,8층(서초동,KM타워)||||대한변호사협회
법무법인/다한|||534-2114|서울 서초구 반포대로30길 82,5층(서초동,우서빌딩)||||대한변호사협회
법무법인/더/가디언즈||||서울 서초구 서초대로46길 3, 3층 (서초동) (서초동, 빌딩 sm)||||대한변호사협회
법무법인/타임|||583-7203|서울 서초구 서초대로 286,407호(서초동,서초프라자)||||대한변호사협회
법무법인/기현|||778-6200|서울 중구 을지로5길 19, 19층 (수하동, FERRUM TOWER)||||대한변호사협회
법무법인/이지|||3477-3422|서울 서초구 서초중앙로 154,7층(서초동,화평빌딩)||||대한변호사협회
법무법인/도시와사람|||591-5553|서울 서초구 서초대로 278,5층(서초동, 금화빌딩)||||대한변호사협회
법무법인/한송|||2038-8344|서울 서초구 서초중앙로 87, 5층 (서초동, 예성빌딩)||||대한변호사협회
법무법인/소원|||032-323-3400|경기 부천시 원미구 상일로 130,306호,204호(상동, 부천법조빌딩)||||대한변호사협회
법무법인/석현|||1661-1116|서울 서초구 서초대로46길 9 , 3층(서초동, SM빌딩)||||대한변호사협회
법무법인/대해|||051-507-9045,6|부산 연제구 법원로32번길 18,301호(거제동, 나래빌딩)||||대한변호사협회
법무법인/유스트|||3476-4300|서울 서초구 서초대로41길 14,4층(서초동, 성암빌딩)||||대한변호사협회
법무법인/효현|||053-759-6611~3|대구 수성구 동대구로 348-15,5층(범어동,율촌빌딩)||||대한변호사협회
법무법인/선|||032-872-7300|인천 남구 소성로163번길 36,2층(학익동, 흥금빌딩)||||대한변호사협회
법무법인/진심|||051-507-2772|부산 연제구 법원로 18,1202호(거제동, 세종빌딩)||||대한변호사협회
법무법인/조앤김|||595-3030|서울 강남구 테헤란로 116,12층(역삼동, 동경빌딩)||||대한변호사협회
법무법인/케이엘파트너스|||6226-7700|서울 종로구 종로5길 7(청진동,Tower 8)||||대한변호사협회
법무법인/건율|||512-5084|서울 강남구 강남대로 508,4층(논현동, 영동월드빌딩)||||대한변호사협회
법무법인/율천||||부산 연제구 법원로 20, 1202호 (거제동, 로제스티빌딩)||||대한변호사협회
법무법인/우방|||6238-7005|서울 서초구 법원로 16 , 5층 506호 (서초동, 정곡빌딩동관)||||대한변호사협회
법무법인/카이로스|||032-327-2020|경기 부천시 상일로 126, 301호, 305호, 306호, 308호 (상동, 뉴법조타운)||||대한변호사협회
법무법인/리앤킴|||6959-7678|서울 서초구 서초대로 250,401호,402호(서초동,스타갤러리브릿지)||||대한변호사협회
법무법인/한마루|||6053-2739|서울 서초구 반포대로 108, 5층(서초동, 양원빌딩)||||대한변호사협회
법무법인/온새미로|||522-6551|서울 서초구 서초중앙로22길 54,5층(서초동, 신포빌딩)||||대한변호사협회
법무법인예율|||3474-5455|서울 서초구 서초대로 326, 802호 (서초동, 모인터빌딩)||||대한변호사협회
법무법인/율담|||051-507-9007|부산 연제구 법원남로15번길 13,2층(거제동, 시티빌딩)||||대한변호사협회
법무법인/수성|||508-2217|서울 강남구 논현로80길 7,1층(역삼동, 레트로빌딩)||||대한변호사협회
법무법인/정훈|||062-223-7877|광주 동구 지산로63번길 3 , 2층(지산동,요천빌딩)||||대한변호사협회
법무법인/폴라리스|||556-0110|서울 강남구 테헤란로 623,6층(삼성동, 삼성빌딩)||||대한변호사협회
법무법인/명륜|||585-6700|서울 서초구 서초대로50길 18,2층(서초동,유성빌딩)||||대한변호사협회
법무법인/굿윌파트너스|||501-0001|서울 강남구 봉은사로26길 10, 2, 3층 (역삼동, 건양빌딩)||||대한변호사협회
법무법인/세지원|||032-567-1600|인천 서구 서곶로 317,3층(심곡동,태양빌딩)||||대한변호사협회
법무법인/평원|||555-6785|서울 강남구 테헤란로 516, 7층 (대치동, 정헌빌딩)||||대한변호사협회
법무법인/선화|||584-7500|서울 서초구 서초대로41길 19,2층201-1호(서초동,에이스빌딩)||||대한변호사협회
법무법인/온세상|||599-7700|서울 서초구 서초중앙로26길 13,5~7층(서초동)||||대한변호사협회
법무법인/로플러스|||042-472-5566~9|대전 서구 문예로 73,1003호,1004호(둔산동,변호사회관)||||대한변호사협회
법무법인/민심|||051-507-9030|부산 연제구 법원로 18,1105호(거제동,세종빌딩)||||대한변호사협회
법무법인/민서|||597-9945,6|서울 서초구 반포대로30길 11,4층(서초동,경희빌딩)||||대한변호사협회
법무법인/화론|||6490-7850|서울 양천구 신월로 389, 409호,410호 (신정동, 남부빌딩)||||대한변호사협회
법무법인/성공|||581-8788|서울 서초구 법원로2길 7-4,202호(서초동,동용빌딩)||||대한변호사협회
법무법인/바다|||031-388-0380|경기 안양시 동안구 시민대로 287,203호204호(관양동,동양그라테아)||||대한변호사협회
법무법인/목민|||594-0874|서울 서초구 반포대로30길 53 , 3층(서초동, 조광빌딩)||||대한변호사협회
법무법인/정산|||02-536-7821|서울 서초구 서초중앙로 156, 8층 (서초동,블루원빌딩)||||대한변호사협회
법무법인/동연|||051-911-5601~2|부산 연제구 법원로 28, 502호, 503호(거제동, 법조타운빌딩)||||대한변호사협회
법무법인/현담|||031-552-8100|경기 남양주시 경춘로 404, 201호(도농동)||||대한변호사협회
법무법인/아우름|||3478-0881|서울 서초구 서초대로 53길 21, 4층(서초동, 찬형빌딩)||||대한변호사협회
법무법인/바움|||585-9002|서울 강남구 테헤란로 114길 20, 301호(대치동, 삼화빌딩)||||대한변호사협회
법무법인해송|||3489-7132|서울 서초구 서초대로 301, 9층 (서초동, 동익성봉빌딩)||||대한변호사협회
법무법인/테미스|||1600-3916|서울 서초구 반포대로30길 70 , 5층(서초동, 우성빌딩)||||대한변호사협회
법무법인/호산|||379-6235|서울 영등포구 국제금융로 10, 6층(여의도동, 서울국제금융센터 ONE IFC)||||대한변호사협회
법무법인/한민앤대교|||585-9944|서울 서초구 반포대로30길 70,3층(서초동,우성빌딩)||||대한변호사협회
법무법인/충청|||043-241-1111|충북 청주시 서원구 산남로62번길 35, 602호 (산남동, 미소시티II)||||대한변호사협회
법무법인세광|||3482-3900|서울 서초구 서초대로 45길 20, 2층~3층(서초동, 변호사교육문화관)||||대한변호사협회
법무법인/율리|||053-754-5100|대구 수성구 동대구로 390, 2층(범어동, 범어타워)||||대한변호사협회
법무법인/덕민|||535-0309|서울 서초구 서초대로 264, 14층(서초동, 법조타워)||||대한변호사협회
법무법인/혜|||711-6400|서울 강남구 삼성로 622,3층,4층(삼성동,대명빌딩)||||대한변호사협회
법무법인/낮은|||3477-2222|서울 서초구 서초중앙로26길 13 , 3층(서초동)||||대한변호사협회
법무법인동헌||||서울 서초구 법원로 1길 5, 3층(서초동, 우암빌딩)||||대한변호사협회
법무법인/현|||3218-8500|서울 강남구 도산대로 139, 5층, 6층, 13층(신사동, 제이타워) (확장)서울 강남구 도산대로 149, 8층(신사동, 진우빌딩)||||대한변호사협회
법무법인/필로스|||3478-5400|서울 서초구 서초대로 286, 701호(서초동, 서초프라자)||||대한변호사협회
법무법인/혜명|||581-1188|서울 서초구 사임당로 17,6층(서초동,김정문알로에빌딩)||||대한변호사협회
법무법인/웅비|||537-2991|서울 서초구 서초대로45길 9, 5층 (서초동, 우송빌딩)||||대한변호사협회
법무법인/벗|||02-598-6100|서울 서초구 서초중앙로22길 46,4층(서초동,선인빌딩)||||대한변호사협회
법무법인/우리누리|||3288-0155|서울 서초구 서초대로 53길 23, 2층(서초동, 수성빌딩)||||대한변호사협회
법무법인/의성|||523-9200|서울 서초구 서초대로 254, 1001호, 1003호(서초동, 오퓨런스빌딩)||||대한변호사협회
법무법인/태율|||6959-6720|서울 서초구 서초대로 251 , 3층(서초동, 삼우빌딩)||||대한변호사협회
법무법인/감우|||586-7227|서울 서초구 서초중앙로 41, 12층(서초동, 대성빌딩)||||대한변호사협회
법무법인/이인|||3486-0288|서울 서초구 서초대로 266, 1204, 1205호(서초동, 한승아스트라)||||대한변호사협회
법무법인/청우|||560-5139|서울 서초구 강남대로 329, 19층 (서초동, 산학재단빌딩)||||대한변호사협회
법무법인/이도|||599-7722|서울 서초구 반포대로30길 90,4층(서초동,우진빌딩)||||대한변호사협회
법무법인/대원서울|||3476-1271|서울 서초구 서초대로 265 301호(서초동, 대신빌딩)||||대한변호사협회
법무법인/정앤파트너스|||583-0010|서울 서초구 서초중앙로 52,5층(서초동,영진빌딩)||||대한변호사협회
법무법인/남효|||051-506-2107~8|부산 연제구 법원북로 67, 4층(거제동,도우빌딩)||||대한변호사협회
법무법인/휘담|||043-288-2112|충북 청주시 서원구 산남로62번길 34, 5층 (산남동, 광장빌딩)||||대한변호사협회
법무법인/한틀|||031-928-5008|경기 의정부시 녹양로18번길 47-10, 1층,3층(가능동)||||대한변호사협회
법무법인/전문|||6959-3282|서울 서초구 서초대로48길 33 , 201호(서초동, 허브원빌딩)||||대한변호사협회
법무법인/담우|||3775-3885|서울 강남구 선릉로 157길24 ,4층(신사동)||||대한변호사협회
법무법인/한경|||3477-3002|서울 서초구 반포대로24길 82, 2층 (서초동, 에벤에셀빌딩)||||대한변호사협회
법무법인/연|||063-278-8686|전북 전주시 덕진구 만성서로 78, 5층 (만성동)||||대한변호사협회
법무법인/에이치스|||595-5001|서울 서초구 법원로10,302호 (서초동,정곡빌딩 남관)||||대한변호사협회
법무법인/무궁화|||596-9900|서울 서초구 서초대로51길27,3층 (서초동,이산빌딩)||||대한변호사협회
법무법인/공감/파트너스|||6959-3336|서울 서초구 서초대로51길 14, 306호 (서초동, JH엘로펌애비뉴빌딩)||||대한변호사협회
법무법인/베스트로|||042-476-5400|대전 서구 문예로73,1103호 (둔산동,변호사회관)||||대한변호사협회
법무법인/가헌|||3486-4222|서울 강남구 테헤란로20길 5 , 9층(역삼동, 양화빌딩)||||대한변호사협회
법무법인/형제|||062-233-8500|광주 동구 동명로107,401호 (지산동,금강빌딩)||||대한변호사협회
법무법인/태신|||533-9151|서울 서초구 서초대로50길18 ,6층(서초동,유성빌딩)||||대한변호사협회
법무법인/건양|||592-3995|서울 서초구 서초중앙로149-12,2층 (서초동,복빌딩)||||대한변호사협회
법무법인/초석|||588-6784|서울 서초구 서초대로46길16,3층 (서초동,탑스빌딩)||||대한변호사협회
법무법인/세상|||063-275-2766|전북 전주시 덕진구 사평로 24, 3층 303호 (덕진동1가,대동빌딩)||||대한변호사협회
법무법인/율전|||534-8300|서울 서초구 서초대로265,402호 (서초동,대신빌딩)||||대한변호사협회
법무법인/벼리|||051-782-9226|부산 해운대구 센텀북대로60,1407호 (재송동,센텀아이에스타워)||||대한변호사협회
법무법인/리츠|||575-3436|서울 서초구 사임당로1길 7, 4층 (서초동, 세현빌딩)||||대한변호사협회
법무법인/청담|||501-4400|서울 영등포구 국제금융로 10, 5090호 (여의도동, 3 IFC)||||대한변호사협회
법무법인/집현|||02-3473-5907|서울 서초구 법원로4길 23 (서초동, 양지빌딩) 4층||||대한변호사협회
법무법인/시원|||567-4611|서울 강남구 선릉로 578,10층 (삼성동,태정빌딩)||||대한변호사협회
법무법인/정명|||02-3473-9800|서울 서초구 서초대로51길 25, 601호 (서초동, 로펌타워)||||대한변호사협회
법무법인/한승|||533-7171|서울 서초구 서초대로 264 , 11층(서초동, 법조타워)||||대한변호사협회
법무법인/예현|||3462-9903|서울 강남구 테헤란로 439, 14층 (삼성동, 연당빌딩)||||대한변호사협회
법무법인/청조|||754-1062|서울 서초구 서초대로 254 , 1406호(서초동, 오퓨런스)||||대한변호사협회
법무법인/강|||6959-6195|서울 서초구 반포대로30길57,4층 (서초동,우정빌딩)||||대한변호사협회
법무법인/모악|||063-275-6007|전북 전주시 기린대로492,9층 (덕진동1가,삼전빌딩)||||대한변호사협회
법무법인/흥인(興仁)|||032-872-1650|인천 남구 소성로159,202호,203호 (학익동,현준솔로몬시티)||||대한변호사협회
법무법인/민율|||042-471-7171|대전 서구 둔산중로78번길 20, 304호, 405호 (둔산동, 명진빌딩)||||대한변호사협회
법무법인/천명|||3481-9870|서울 서초구 서초대로 286, 906호 (서초동, 서초프라자)||||대한변호사협회
법무법인/선인|||051-506-8551|부산 연제구 법원로 28, 1306호 (거제동, 부산법조타운빌딩)||||대한변호사협회
법무법인/향법|||582-0606|서울 서초구 서초중앙로 114,6층(서초동,일광빌딩)||||대한변호사협회
법무법인/베스트|||051-505-0800|부산 연제구 법원로18,801호~804호 (거제동,세종빌딩)||||대한변호사협회
법무법인/엠케이|||051-947-2001|부산 연제구 법원남로 16 , 304호(거제동, 협성법조빌딩)||||대한변호사협회
법무법인/유로|||534-6655|서울 서초구 법원로4길 41, 3층 (서초동, 명광빌딩)||||대한변호사협회
법무법인/경청|||063-255-7997|전북 전주시 덕진구 만성동로 60, 503호 (만성동, 리드타워)||||대한변호사협회
법무법인/알파로|||031-731-6551|경기 성남시 중원구 산성대로380,6층 (금광동,동일빌딩)||||대한변호사협회
법무법인/송천|||585-1472|서울 서초구 서초대로 274, 901호 (서초동)||||대한변호사협회
법무법인/늘푸른|||052-221-8900~3|울산 남구 법대로8번길32,2층 (옥동,건강빌딩)||||대한변호사협회
법무법인/우정|||042-2940~1|대전 서구 둔산로137번길44, 904호(둔산동,서림빌딩)||||대한변호사협회
법무법인/정림|||055-283-9911|경남 창원시 성산구 창이대로689번길10 ,302호(사파동,성은빌딩)||||대한변호사협회
법무법인/신유|||051-506-9762|부산 연제구 법원남로15번길 6, 4층 (거제동, 은하빌딩)||||대한변호사협회
법무법인/세기|||585-8387|서울 서초구 반포대로28길63, 4층(서초동,남양빌딩)||||대한변호사협회
법무법인/지암|||6959-7360|서울 서초구 서초대로46길106, 6층(서초동,남일빌딩)||||대한변호사협회
법무법인/에셀|||6367-9900|서울 서초구 서초대로56길38, 4층(서초동)||||대한변호사협회
법무법인/서산|||041-667-3434|충남 서산시 서해로3185,2층 (예천동,법조빌딩)||||대한변호사협회
법무법인/율정|||587-8500|서울 서초구 서초중앙로24길 27,321호(서초동, 지파이브센트럴프라자)||||대한변호사협회
법무법인/장원|||051-949-0001|부산 연제구 법원로42,301호 (거제동,대한빌딩)||||대한변호사협회
법무법인/평안|||6010-6565|서울 서초구 서초대로50길 8 , 12층(서초동, 관정빌딩)||||대한변호사협회
법무법인/제승|||3472-3476|서울 서초구 서초중앙로22길 54,2층(서초동,신포빌딩)||||대한변호사협회
법무법인/숭인|||537-5361|서울 서초구 강남대로 202, 2층, 3층 (양재동, 모산빌딩)||||대한변호사협회
법무법인/이선|||556-7271|서울 서초구 서초중앙로 125, 503호, 504호, 505호, 508호 (서초동, 로이어즈타워)||||대한변호사협회
법무법인/신영|||3785-3482|서울 서초구 서초대로55길 3 , 2층(서초동, 애니빌딩)||||대한변호사협회
법무법인/도시|||2183-0680|서울 서초구 서초대로49길 5,202호(서초동,승보빌딩)||||대한변호사협회
유미/법무법인|||3458-9980|서울 강남구 테헤란로115, 13층(역삼동,서림빌딩)||||대한변호사협회
법무법인/최상|||063-904-3300|전북 전주시 완산구 홍산로 275 , 503호(효자동2가, 춘광빌딩)||||대한변호사협회
법무법인로월드|||6223-1000|서울 서초구 반포대로 138, 3층 (서초동, 양진빌딩)||||대한변호사협회
법무법인/새롬|||044-868-8630|세종 조치원읍 세종로 2449, 5층 (서창리, 세종방송)||||대한변호사협회
법무법인/인슈로|||535-3762|서울 서초구 사임당로17길 91 , 202호(서초동, 진진빌딩)||||대한변호사협회
법무법인/대율|||525-1935|서울 강남구 논현로85길7 ,6층(역삼동,은혜빌딩)||||대한변호사협회
법무법인/웅지|||3478-1062|서울 서초구 법원로1길5 ,2층1호(서초동,우암빌딩)||||대한변호사협회
법무법인/민본|||031-382-6262|경기 안양시 동안구 관악대로298,4층 (관양동,도명빌딩)||||대한변호사협회
법무법인/상현|||581-7001|서울 서초구 반포대로 89, 4층 (서초동, 유민빌딩)||||대한변호사협회
법무법인/새암|||523-2583|서울 서초구 서초대로50길 41,3층(서초동,백송빌딩)||||대한변호사협회
법무법인/온세계|||2691-3200|서울 양천구 신월로 377, 4층 (신정동, 진성빌딩)||||대한변호사협회
법무법인/서울로|||02-956-0123|서울 서초구 강남대로 210, 5충 (양재동, 행복빌딩)||||대한변호사협회
법무법인/현재|||2693-3004|서울 서초구 강남대로 222-4(양재동,메디컬빌딩)||||대한변호사협회
법무법인/디딤돌|||585-8457|서울 서초구 서초대로50길41 ,4층(서초동,백송빌딩)||||대한변호사협회
법무법인/명현|||031-212-1919|경기 수원시 영통구 매봉로49번길5 ,2층(매탄동,명정빌딩)||||대한변호사협회
법무법인/리더스|||561-4811|서울 서초구 서초대로 264, 4층, 13층 9호, 11호 (서초동, 법조타워)||||대한변호사협회
법무법인/오현|||3477-0008|서울 서초구 서초대로42길41 ,3층(서초동,안화빌딩)||||대한변호사협회
법무법인/예평|||031-211-3738|경기 수원시 영통구 중부대로 304 (매탄동, 명진빌딩 3층)||||대한변호사협회
법무법인/민후|||532-3483|서울 강남구 테헤란로 134,11층(역삼동)||||대한변호사협회
법무법인/우리로|||522-4004|서울 서초구 반포대로22길100 ,3층(서초동,삼덕빌딩)||||대한변호사협회
법무법인/정상|||031-211-3700|경기 수원시 영통구 월드컵로150번길4, 202호,203호(광교행복프라자)||||대한변호사협회
법무법인/건우|||533-7685|서울 서초구 서초중앙로 148, 4층 (서초동, 희성빌딩)||||대한변호사협회
법무법인/화목|||583-8400|서울 서초구 서초대로 254,10층1009호(서초동,오퓨런스빌딩)||||대한변호사협회
법무법인/정의|||02-2038-7001|서울 강남구 테헤란로425 ,10층(삼성동,신일빌딩)||||대한변호사협회
법무법인바른길|||062-381-0050|광주 서구 상무중앙로80 ,1층(치평동,전문건설회관)||||대한변호사협회
법무법인/일헌|||033-747-8050~2|강원 원주시 무실새골길 14, 3층 (무실동, 법조빌딩)||||대한변호사협회
법무법인/반석|||053-763-0007|대구 수성구 달구벌대로 2425 ,4층(범어동,유한양행빌딩)||||대한변호사협회
법무법인/인강|||051-504-5400|부산 연제구 법원로 20, 1103호 (거제동, 동주빌딩)||||대한변호사협회
법무법인대륙아주|||563-2900|서울 강남구 테헤란로 317, 12층 (역삼동, 동훈타워)||||대한변호사협회
법무법인/가우||||경기 성남시 수정구 산성대로 91, 10층 (수진동, 성호빌딩)||||대한변호사협회
법무법인/금양|||521-1368|서울 서초구 서초중앙로 149-10, 2층 (서초동, 현빌딩)||||대한변호사협회
법무법인/서림|||042-485-0475|대전 서구 둔산로 137번길44 ,801호,802호(둔산동,서림빌딩)||||대한변호사협회
법무법인/동안|||6291-6730|서울 금천구 가산디지털1로 181, 315호 (가산동, 가산 더블유센터)||||대한변호사협회
법무법인/성하|||523-6688|서울 서초구 법원로2길15 ,505호(서초동,길도빌딩)||||대한변호사협회
법무법인/시율|||062-233-7701|광주 동구 지산로 73 (지산동) 402호, 403호(지산동)||||대한변호사협회
법무법인/송정|||053-756-4455|대구 수성구 동대구로 337, 403호(범어동,화성파크리젠시 상가)||||대한변호사협회
법무법인/평호|||599-5156|서울 서초구 서초대로 253 ,200호(서초동,지천빌딩)||||대한변호사협회
법무법인/리앤리파트너즈|||3472-3900|서울 서초구 서초대로 254, 1012호(서초동,오퓨런스빌딩)||||대한변호사협회
법무법인지안|||2007-6800|서울 강남구 강남대로 542 ,5층(논현동,영풍빌딩)||||대한변호사협회
법무법인/감사합니다|||599-0878|서울 서초구 서초대로 305 ,301호(서초동,재영빌딩)||||대한변호사협회
법무법인/이강|||599-5541|서울 서초구 서초대로 250 ,403호~405호(서초동,스타갤러리브릿지)||||대한변호사협회
법무법인/피앤케이|||597-7367|서울 서초구 서초대로 326 2층 (서초동, 모인터빌딩)||||대한변호사협회
법무법인/기풍|||6255-0777|서울 서초구 서초대로 254 ,1108호,1109호(서초동,오퓨런스빌딩)||||대한변호사협회
법무법인/율하|||051-952-1001|부산 연제구 법원로 18 , 1101호, 1102호, 1103호(거제동, 세종빌딩)||||대한변호사협회
법무법인/세정|||595-3882|서울 서초구 법원로16,510호(서초동, 정곡빌딩 동관)||||대한변호사협회
법무법인/미담|||723-1875|서울 종로구 인사동5길 26, 5층 (관훈동, 홍익빌딩)||||대한변호사협회
법무법인/매헌|||3486-9490|서울 서초구 서초중앙로22길 46, 5층(서초동, 선인빌딩),  서초구 서초중앙로22길 54, 6층(서초동, 신포빌딩)||||대한변호사협회
법무법인/유석|||051-714-6662|부산 연제구 법원북로 86, 7층, 8층 (거제동, 만해빌딩)||||대한변호사협회
법무법인/로민|||457-2200|서울 서초구 반포대로30길 82 ,401호(서초동,우서빌딩)||||대한변호사협회
법무법인/청송|||063-278-7300|전북 전주시 덕진구 사평로32 ,503호(덕진동1가,동승빌딩)||||대한변호사협회
법무법인/세령|||3472-1250|서울 서초구 반포대로 118 , 5층(서초동, 우림빌딩)||||대한변호사협회
법무법인/로우|||3476-7011|서울 서초구 법원로2길14 ,4층(서초동,정남빌딩)||||대한변호사협회
