##NAME|SUBNAME|ID|TELNUM|NEWADDR|OWNER|SOURCE2@@회계사
가교회계법인||제187호|569-9808|서울특별시 강남구 삼성로95길 6,4층(삼성동,삼혜빌딩) (우편번호 06157)|강효식|한국공인회계사회
세연회계법인|분사무소|제264호|6010-4268|강원도 춘천시 중앙로 110(낙원동) , 6층 (우편번호 24274)|주민구|한국공인회계사회
세영회계법인||제149호|053-602-6303|대구광역시 중구 동덕로 61,8층(대봉동,선모빌딩) (우편번호 41954)|강병규|한국공인회계사회
세영회계법인|분사무소|제149호|054-441-0600|경상북도 구미시 구미중앙로41길 4-9,3층(원평동) (우편번호 39234)|강병규|한국공인회계사회
세영회계법인|분실|제149호|053-424-4130|대구광역시 중구 동덕로 36-2,2층(대봉동,대청빌딩) (우편번호 41953)|강병규|한국공인회계사회
세정회계법인||제278호|3453-0583|서울특별시 서초구 남부순환로 2606,7층(양재동,금정빌딩) (우편번호 06737)|이민재|한국공인회계사회
세정회계법인|분사무소|제278호|042-483-1618|대전광역시 서구 둔산로123번길 43,502호(둔산동,KD빌딩) (우편번호 35240)|이민재|한국공인회계사회
세정회계법인|분사무소|제278호|031-211-3445|경기도 수원시 영통구 센트럴타운로 98,4층(이의동) (우편번호 16505)|이민재|한국공인회계사회
세정회계법인|분실|제278호|529-1017|서울특별시 서초구 바우뫼로 182,4층(양재동,S&C빌딩) (우편번호 06748)|이민재|한국공인회계사회
세화회계법인||제298호|6215-0825|서울특별시 강남구 테헤란로108길 19,7층(대치동,부림빌딩) (우편번호 06175)|장수용|한국공인회계사회
세화회계법인|분사무소|제298호|041-553-9595|충청남도 천안시 서북구 불당34길 2(불당동) , 3층 (우편번호 31156)|장수용|한국공인회계사회
송현회계법인||제110호|557-3546|서울특별시 강남구 논현로87길 23,3층(역삼동,소정빌딩) (우편번호 06236)|박종구,이민|한국공인회계사회
송현회계법인|분사무소|제110호|585-0815|서울특별시 송파구 법원로 92,910호(문정동,파트너스1) (우편번호 05855)|박종구,이민|한국공인회계사회
신성회계법인||제122호|3476-3266|서울특별시 서초구 효령로 353,2∼3층(서초동,동인빌딩) (우편번호 06643)|조남석|한국공인회계사회
신성회계법인|분사무소|제122호|031-496-9163|경기도 시흥시 정왕천로 197,A-514(정왕동,동우디지털파크) (우편번호 15106)|조남석|한국공인회계사회
신승회계법인||제223호|566-8401|서울특별시 강남구 테헤란로78길 12,12층(대치동,MSA빌딩) (우편번호 06194)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|585-8150|서울특별시 서초구 남부순환로 2433-7,4층(서초동,서전빌딩) (우편번호 06719)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|062-384-2811|광주광역시 북구 금남로 80,9층(유동,송강빌딩) (우편번호 61247)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|511-7121|경기도 안양시 동안구 시민대로 187,610호(비산동,안양건설타워) (우편번호 14047)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|961-6400|서울특별시 동대문구 왕산로 239,B-401호(청량리동,미주상가) (우편번호 02489)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|424-6800|서울특별시 송파구 올림픽로35길 93,102동 639호(신천동,더샾스타리버) (우편번호 05510)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|042-825-6950|대전광역시 유성구 북유성대로 303,902호(반석동,뉴타운프라자) (우편번호 34068)|신완민|한국공인회계사회
신승회계법인|분실|제223호|070-7730-4590|서울특별시 강남구 논현로 507,712, 715호(역삼동,성지하이츠3차오피스텔) (우편번호 06132)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|761-7554|서울특별시 영등포구 국제금융로2길 17,12층(여의도동,시티플라자) (우편번호 07327)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|564-8001|서울특별시 강남구 봉은사로1길 18,3층(논현동) (우편번호 06120)|신완민|한국공인회계사회
신승회계법인|분실|제223호|02-566-8402|서울특별시 금천구 가산디지털1로 145(가산동,에이스하이앤드타워3차) , 20층 (우편번호 08506)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|062-525-4411|광주광역시 서구 시청로 84,2호(치평동,한국감정원빌딩) (우편번호 61946)|신완민|한국공인회계사회
신승회계법인|분사무소|제223호|780-6350|서울특별시 영등포구 국제금융로2길 37,1401호(여의도동,에스트레뉴) (우편번호 07327)|신완민|한국공인회계사회
신아회계법인||제226호|480-5599|서울특별시 서초구 서운로 226,322호(서초동,서초오피스텔) (우편번호 06609)|이찬호|한국공인회계사회
신영회계법인||제162호|564-5805|서울특별시 서초구 효령로 304,73호(서초동,국제전자센터) , 10층 (우편번호 06720)|최훈,배성은|한국공인회계사회
신영회계법인|분사무소|제162호|052-272-4484|울산광역시 남구 돋질로 97,4층(신정동,울산상공회의소) (우편번호 44689)|최훈,배성은|한국공인회계사회
신영회계법인|분실|제162호|02-586-0826|서울특별시 서초구 효령로 305(서초동,강남부속종합상가) , 부속11동 204-1 (우편번호 06643)|최훈,배성은|한국공인회계사회
신영회계법인|분사무소|제162호|051-959-8822|부산광역시 해운대구 센텀중앙로 97,A동 2806,3008호(재송동,센텀스카이비즈) (우편번호 48058)|최훈,배성은|한국공인회계사회
신우회계법인||제101호|557-4608|서울특별시 강남구 언주로86길 5,1002호(역삼동,육성빌딩) (우편번호 06210)|문봉국|한국공인회계사회
신우회계법인|분사무소|제101호|051-806-3820|부산광역시 부산진구 서면문화로 27(부전동,유원글든타워오피스텔) , 4층 (우편번호 47257)|문봉국|한국공인회계사회
신우회계법인|분사무소|제101호|042-862-3020|대전광역시 유성구 대덕대로 593,305호(도룡동,대덕테크비즈센터) (우편번호 34112)|문봉국|한국공인회계사회
신정회계법인||제155호|2057-3487|서울특별시 강남구 강남대로 502,6층(논현동,에임하이타워) (우편번호 06119)|김석민,김병민|한국공인회계사회
신정회계법인|분사무소|제155호|052-257-3683|울산광역시 남구 화합로 240(삼산동,한석빌딩) , 2층 (우편번호 44709)|김석민,김병민|한국공인회계사회
신정회계법인|분사무소|제155호|032-467-7771|인천광역시 남동구 인하로 545(구월동,인텍스빌딩) , 304호,305호 (우편번호 21577)|김석민,김병민|한국공인회계사회
신한회계법인||제16호|782-9940|서울특별시 영등포구 의사당대로 8,8층(여의도동,삼환까뮤빌딩) (우편번호 07236)|이상문,최종만|한국공인회계사회
신한회계법인|분실|제16호|2279-0611/3|서울특별시 중구 퇴계로 213(충무로4가,일흥빌딩) , 8층 (우편번호 04557)|이상문,최종만|한국공인회계사회
신한회계법인|분사무소|제16호|063-282-6604|전라북도 전주시 완산구 전주객사4길 47,4층(고사동,GS25편의점) (우편번호 54999)|이상문,최종만|한국공인회계사회
신한회계법인|분사무소|제16호|031-401-5643|경기도 안산시 단원구 고잔로 76,807호(고잔동,영풍맘모스프라자) (우편번호 15360)|이상문,최종만|한국공인회계사회
신한회계법인|분사무소|제16호|062-525-2700|광주광역시 서구 시청로 84,2층(치평동,보해빌딩) (우편번호 61946)|이상문,최종만|한국공인회계사회
신한회계법인|분사무소|제16호|042-489-9611|대전광역시 서구 대덕대로220번길 54,2층,4층(둔산동,전문건설회관) (우편번호 35233)|이상문,최종만|한국공인회계사회
신한회계법인|분사무소|제16호|053-604-1640|대구광역시 북구 유통단지로 16,지원동 5층(산격동,유통단지산업용재관) (우편번호 41518)|이상문,최종만|한국공인회계사회
신한회계법인|분사무소|제16호|051-865-0025|부산광역시 연제구 중앙대로 1053,8층(연산동,동림빌딩) (우편번호 47541)|이상문,최종만|한국공인회계사회
신현회계법인||제289호|499-4630|서울특별시 성동구 뚝섬로1길 31,704호(성수동1가,서울숲M타워) (우편번호 04778)|지찬주,한종우|한국공인회계사회
신현회계법인|분사무소|제289호|598-2230|서울특별시 강남구 강남대로78길 22,3층(역삼동,호야빌딩) (우편번호 06243)|지찬주,한종우|한국공인회계사회
신화회계법인||제152호|6010-2278|서울특별시 강남구 테헤란로86길 15(대치동,동구빌딩) , 9층 (우편번호 06179)|양범준|한국공인회계사회
신화회계법인|분사무소|제152호|044-866-0234|세종시 조치원읍 충현로 195(조치원읍) (우편번호 30021)|양범준|한국공인회계사회
안경회계법인||제233호|051-920-5000|부산광역시 부산진구 중앙대로 709(부전동) , 금융프라자 9층 (우편번호 47286)|김진선|한국공인회계사회
안경회계법인|분사무소|제233호|053-741-7711|대구광역시 수성구 달구벌대로 2503,5층(범어동,동일빌딩) (우편번호 42030)|김진선|한국공인회계사회
안경회계법인|분사무소|제233호|055-602-5500|경상남도 창원시 의창구 중앙대로 225,5층(용호동,경상남도지방행정동우회관) (우편번호 51430)|김진선|한국공인회계사회
안세회계법인||제185호|829-7555|서울특별시 영등포구 영등포로84길 41(신길동,(2층)) (우편번호 07355)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|516-4199|서울특별시 강남구 언주로134길 6,601호(논현동,성암빌딩) (우편번호 06061)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|031-817-4189|경기도 고양시 일산동구 호수로 358-25(백석동,동문굿모닝타워2차) , 8층 (우편번호 10449)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|051-322-8321|부산광역시 사상구 사상로 508,202호(모라동,골든파크상가) (우편번호 46919)|박윤종|한국공인회계사회
안세회계법인|분실|제185호|070-7668-6865|서울특별시 서초구 강남대로2길 59(양재동) , 1층 (우편번호 06789)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|042-525-5558|대전광역시 동구 계족로 472(용전동,새마을금고) (우편번호 34547)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|062-714-3303|광주광역시 서구 상무대로 760,5층(마륵동,광주광역시도시철도공사) (우편번호 61999)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|2209-0710|서울특별시 서대문구 충정로 53(충정로2가,유원골든타워오피스텔) , 1504호 (우편번호 03736)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|02-571-3700|서울특별시 강남구 학동로 235(논현동,로이빌딩) , 4층 (우편번호 06053)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|2633-9243|서울특별시 영등포구 영등포로 200(영등포동4가) , 우리은행건물 3층 (우편번호 07301)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|332-0526|서울특별시 서대문구 연세로9길 40(창천동) (우편번호 03787)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|052-272-5300|울산광역시 남구 정동로 15-1,3층(삼산동) (우편번호 44717)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|051-714-7227|부산광역시 부산진구 황령대로7번길 33,4층(범천동,태명제2빌딩) (우편번호 47353)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|6245-7502|서울특별시 서초구 방배중앙로 14,3층(방배동,으뜸빌딩) (우편번호 06687)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|312-2254|서울특별시 강남구 삼성로 524,601호(삼성동,세화빌딩) (우편번호 06167)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|051-938-9677|부산광역시 해운대구 센텀6로 21,307호(우동,인텔리움센텀) (우편번호 48059)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|2026-8838|서울특별시 금천구 가산디지털2로 98,2동 309호(가산동,아이티캐슬) (우편번호 08506)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|051-819-3308|부산광역시 부산진구 전포대로 250,308호(전포동,신화골든뷰) (우편번호 47301)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|070-5101-1651|서울특별시 서초구 명달로 106,5층(서초동,원영빌딩) (우편번호 06668)|박윤종|한국공인회계사회
안세회계법인|분실|제185호|02-6011-5514|서울특별시 동작구 시흥대로 602,605호(신대방동,프레콘빌딩) (우편번호 07074)|박윤종|한국공인회계사회
안세회계법인|분사무소|제185호|032-815-2641|인천광역시 남동구 남동대로215번길 30(고잔동,인천종합비즈니스센터) , 4층 (우편번호 21633)|박윤종|한국공인회계사회
안진회계법인||제66호|6676-1000|서울특별시 영등포구 국제금융로 10,9층(여의도동,원아이에프씨빌딩) , 서울국제금융센터 (우편번호 07326)|홍종성|한국공인회계사회
양지회계법인||제240호|062-419-3701|광주광역시 서구 상무중앙로 43,5층(치평동) (우편번호 61962)|김기욱|한국공인회계사회
양지회계법인|분사무소|제240호|062-384-2150|광주광역시 남구 대남대로 351(월산동,동강오피스빌) , 2층 (우편번호 61612)|김기욱|한국공인회계사회
영앤진회계법인||제231호|6959-6509|서울특별시 강남구 논현로 652,4층(논현동,한일빌딩) (우편번호 06106)|강인중|한국공인회계사회
영앤진회계법인|분사무소|제231호|051-517-5500|부산광역시 연제구 월드컵대로164번길 9,3층(연산동,해원빌딩) (우편번호 47523)|강인중|한국공인회계사회
영앤진회계법인|분사무소|제231호|032-431-0320|인천광역시 남동구 인하로 545,304/5호(구월동,인덱스빌딩) (우편번호 21577)|강인중|한국공인회계사회
영앤진회계법인|분사무소|제231호|031-8064-1780|경기도 수원시 영통구 광교로 156,701호(이의동,광교비지니스센터) (우편번호 16506)|강인중|한국공인회계사회
영앤진회계법인|분사무소|제231호|052-257-3683|울산광역시 남구 화합로 240,2층(삼산동,한석빌딩) (우편번호 44709)|강인중|한국공인회계사회
예교지성회계법인||제200호|2009-9800|서울특별시 강남구 강남대로 334(역삼동,에셈타워) , 9층 (우편번호 06252)|박상원,이의웅|한국공인회계사회
예교지성회계법인|분사무소|제200호|042-862-1340|대전광역시 유성구 대덕대로 593,303호(도룡동,대덕테크비즈센터) (우편번호 34112)|박상원,이의웅|한국공인회계사회
예일회계법인||제177호|2037-9200|서울특별시 서초구 효령로 380,5층(서초동,해창빌딩) (우편번호 06727)|김재율|한국공인회계사회
오늘회계법인||제207호|6929-0604|서울특별시 서초구 서운로 39(서초동,원진빌딩) , 5층 (우편번호 06727)|공병기|한국공인회계사회
오늘회계법인|분사무소|제207호|6929-0623|서울특별시 강남구 테헤란로8길 33,4층(역삼동,청원빌딩) (우편번호 06239)|공병기|한국공인회계사회
오성회계법인||제190호|508-1599|서울특별시 강남구 테헤란로113길 7,3층(삼성동,백제예술대학 아트센터별관) (우편번호 06173)|남시환,김홍구|한국공인회계사회
오성회계법인|분사무소|제190호|508-0052|서울특별시 강남구 테헤란로 109,9층(역삼동,강남제일빌딩) (우편번호 06134)|남시환,김홍구|한국공인회계사회
오성회계법인|분사무소|제190호|780-9120|서울특별시 영등포구 여의나루로 57,9층(여의도동,신송센타빌딩) (우편번호 07327)|남시환,김홍구|한국공인회계사회
우덕회계법인||제212호|539-9900|서울특별시 송파구 법원로11길 11,B동 304호(문정동,현대지식산업센터) (우편번호 05836)|김기범|한국공인회계사회
우덕회계법인|분사무소|제212호|055-265-5517|경상남도 창원시 의창구 중앙대로227번길 16,4층(용호동,교총회관) (우편번호 51430)|김기범|한국공인회계사회
우덕회계법인|분실|제212호|3453-4339|서울특별시 강남구 테헤란로51길 21,3층(역삼동,상경빌딩) (우편번호 06148)|김기범|한국공인회계사회
우덕회계법인|분사무소|제212호|465-5750|서울특별시 성동구 성수이로 51,1204호(성수동2가,서울숲한라시그마벨리) (우편번호 04781)|김기범|한국공인회계사회
우덕회계법인|분사무소|제212호|514-8603|서울특별시 강남구 도곡로 111,4층(역삼동,미진빌딩) (우편번호 06253)|김기범|한국공인회계사회
우리회계법인||제106호|565-1631|서울특별시 강남구 영동대로86길 17,5층(대치동,육인빌딩) (우편번호 06174)|김병익|한국공인회계사회
우리회계법인|분사무소|제106호|2165-0560|서울특별시 영등포구 양산로 53,205호(양평동3가,월드메르디앙비즈센타) (우편번호 07271)|김병익|한국공인회계사회
우리회계법인|분실|제106호|565-1631|서울특별시 강남구 테헤란로114길 16,2층(대치동,동남빌딩) (우편번호 06175)|김병익|한국공인회계사회
우영회계법인||제261호|2135-7073|서울특별시 영등포구 국제금융로8길 34,602호(여의도동,오륜빌딩) (우편번호 07331)|정창희|한국공인회계사회
우영회계법인|분사무소|제261호|2038-8060|서울특별시 서초구 사임당로 174,804호(서초동,강남미래타워) (우편번호 06627)|정창희|한국공인회계사회
우영회계법인|분실|제261호|2135-7073|서울특별시 강남구 봉은사로 207,6층(논현동,KJ타워) (우편번호 06109)|정창희|한국공인회계사회
우인회계법인||제256호|785-9862|서울특별시 영등포구 여의나루로 53-1,1503호(여의도동,대오빌딩) (우편번호 07327)|최영붕|한국공인회계사회
우일회계법인||제260호|785-4700|서울특별시 영등포구 국회대로70길 15-1,601호(여의도동,극동VIP빌딩) (우편번호 07238)|이준섭|한국공인회계사회
원진회계법인||제217호|2051-0851|서울특별시 강남구 영동대로 708,9층(청담동,정화빌딩) (우편번호 06075)|황선욱,김진광,서동우|한국공인회계사회
원진회계법인|분사무소|제217호|563-4321|서울특별시 서초구 논현로 79,408호(양재동,윈드스톤오피스텔) (우편번호 06775)|황선욱,김진광,서동우|한국공인회계사회
위드회계법인||제130호|511-3028|서울특별시 강남구 언주로 711,13층(논현동,건설공제조합) (우편번호 06050)|이영석|한국공인회계사회
이산회계법인||제213호|855-1466|서울특별시 금천구 디지털로 130,401호(가산동,남성프라자) (우편번호 08589)|김진태,권혁태|한국공인회계사회
이산회계법인|분사무소|제213호|053-655-1296|대구광역시 수성구 달구벌대로 2266,4층(수성동1가) (우편번호 42120)|김진태,권혁태|한국공인회계사회
이산회계법인|분사무소|제213호|055-265-0015|경상남도 창원시 의창구 중앙대로227번길 16,3층(용호동,교원연합회관본관) (우편번호 51430)|김진태,권혁태|한국공인회계사회
이정지율회계법인||제128호|566-8500|서울특별시 서초구 반포대로 306(잠원동,우진빌딩) , 5층 (우편번호 06509)|최창기|한국공인회계사회
이정지율회계법인|분사무소|제128호|782-7491|서울특별시 서초구 서초중앙로24길 27,3층 303호(서초동,지파이브센트럴프라자) (우편번호 06601)|최창기|한국공인회계사회
이정지율회계법인|분사무소|제128호|032-321-8140|경기도 부천시 송내대로265번길 17(상동,효성프라자) , 305호 (우편번호 14542)|최창기|한국공인회계사회
이정지율회계법인|분실|제128호|532-0733|서울특별시 서초구 서초대로22길 8,2층(방배동,미소빌딩) (우편번호 06673)|최창기|한국공인회계사회
이지회계법인||제142호|541-9996|서울특별시 서초구 강남대로 483(반포동,청호빌딩) , 8층 (우편번호 06541)|진형준|한국공인회계사회
이촌회계법인||제133호|761-6205|서울특별시 영등포구 국제금융로 70,1403호(여의도동,미원빌딩) (우편번호 07333)|정석용|한국공인회계사회
이촌회계법인|분사무소|제133호|042-472-2124|대전광역시 서구 대덕대로176번길 51,7층(둔산동,대전상공회의소) (우편번호 35235)|정석용|한국공인회계사회
이촌회계법인|분사무소|제133호|053-571-2017|대구광역시 달서구 달서대로 559,910호(신당동,이엔씨이노비즈타워) (우편번호 42709)|정석용|한국공인회계사회
이촌회계법인|분사무소|제133호|051-715-0100|부산광역시 해운대구 센텀중앙로 48,1016호(우동,에이스하이테크21) (우편번호 48059)|정석용|한국공인회계사회
이촌회계법인|분사무소|제133호|061-273-2000|전라남도 목포시 옥암로 95,4층(상동,포르모쇼핑센타) (우편번호 58662)|정석용|한국공인회계사회
이촌회계법인|분사무소|제133호|051-715-0200|부산광역시 연제구 월드컵대로164번길 9,2층(연산동,해원빌딩) (우편번호 47523)|정석용|한국공인회계사회
인덕회계법인||제97호|761-9800|서울특별시 영등포구 국회대로70길 19(여의도동,대하빌딩) , 2층 (우편번호 07238)|권회승|한국공인회계사회
인덕회계법인|분사무소|제97호|032-549-2127|인천광역시 계양구 봉오대로 650(작전동,신협빌딩) , 2층 (우편번호 21110)|권회승|한국공인회계사회
인성회계법인||제181호|2037-4600|서울특별시 영등포구 의사당대로 22,7층(여의도동,이룸센터) (우편번호 07236)|정승일|한국공인회계사회
인성회계법인|분사무소|제181호|054-232-1201|경상북도 포항시 북구 문화로9번길 3(덕수동) (우편번호 37727)|정승일|한국공인회계사회
인일회계법인||제99호|070-4699-3095|인천광역시 남동구 남동대로 217,301호(고잔동,한국산업단지공단) (우편번호 21633)|김도영|한국공인회계사회
인일회계법인|분사무소|제99호|581-2601|서울특별시 강남구 강남대로58길 55,4층,5층(도곡동,지성빌딩) (우편번호 06260)|김도영|한국공인회계사회
인일회계법인|분사무소|제99호|032-764-4410|인천광역시 중구 인중로 176,사동 601호(사동,나성빌딩) (우편번호 22313)|김도영|한국공인회계사회
일신회계법인||제135호|567-9100|서울특별시 강남구 삼성로95길 23,5층(삼성동,남양빌딩) (우편번호 06159)|허정|한국공인회계사회
일신회계법인|분실|제135호|2679-0900|서울특별시 영등포구 선유로 146,402호(양평동3가,이앤씨드림타워) (우편번호 07255)|허정|한국공인회계사회
일신회계법인|분사무소|제135호|041-357-5600|충청남도 당진군 당진읍 무수동로 186,2층(당진읍,보명빌딩) (우편번호 31772)|허정|한국공인회계사회
일신회계법인|분실|제135호|02-539-7090|서울특별시 강남구 테헤란로44길 5,10층(역삼동,대아빌딩) (우편번호 06211)|허정|한국공인회계사회
일신회계법인|분사무소|제135호|041-668-2114|충청남도 서산시 동서1로 69(석림동) , 3층 (우편번호 32003)|허정|한국공인회계사회
일우회계법인||제293호|062-369-7300|광주광역시 서구 상무대로 1071(화정동,대광빌딩) , 6층 (우편번호 61979)|김정훈|한국공인회계사회
재정회계법인||제164호|555-6426|서울특별시 강남구 강남대로 320,401호(역삼동,황화빌딩) , 4층 (우편번호 06252)|나철호|한국공인회계사회
정담회계법인||제204호|516-0173|서울특별시 서초구 서초중앙로 63,1507호(서초동,리더스빌딩) (우편번호 06651)|배준원|한국공인회계사회
정담회계법인|분실|제204호|2644-6600|서울특별시 강남구 언주로125길 5,3층(논현동) (우편번호 06106)|배준원|한국공인회계사회
정담회계법인|분사무소|제204호|053-423-7500|대구광역시 남구 명덕로 104,410호(대명동,아이시티파크) , 계명대학교 2관 (우편번호 42403)|배준원|한국공인회계사회
정담회계법인|분사무소|제204호|041-567-0308|충청남도 천안시 서북구 백석4길 12,4층(백석동,거성캐슬B) (우편번호 31158)|배준원|한국공인회계사회
정동회계법인||제156호|541-1433|서울특별시 강남구 언주로 651,7층(논현동,삼원빌딩) (우편번호 06104)|이윤생|한국공인회계사회
정명회계법인||제206호|070-4066-6169|서울특별시 강남구 역삼로 558,2층(대치동,안양빌딩) (우편번호 06188)|조상진|한국공인회계사회
정명회계법인|분사무소|제206호|6674-6576|서울특별시 강남구 영동대로85길 30(대치동,은탑타워Ⅱ) , 5층 (우편번호 06180)|조상진|한국공인회계사회
정명회계법인|분사무소|제206호|568-4686|서울특별시 강남구 테헤란로37길 13-7,5층(역삼동,리젠시빌딩) (우편번호 06142)|조상진|한국공인회계사회
정명회계법인|분사무소|제206호|041-669-0112|충청남도 서산시 대산읍 구진천로 12,4층(대산읍,대산프라자) (우편번호 31909)|조상진|한국공인회계사회
정안회계법인||제247호|062-365-5525|광주광역시 서구 금화로 278,215호(풍암동,영주종합체육관) (우편번호 62048)|윤준하|한국공인회계사회
정안회계법인|분사무소|제247호|062-385-2585|광주광역시 서구 상무화원로12번길 4(치평동) (우편번호 61960)|윤준하|한국공인회계사회
정인회계법인||제283호|2088-1505|서울특별시 강남구 강남대로 464,7층(역삼동,비제바노빌딩) (우편번호 06123)|정창기|한국공인회계사회
정인회계법인|분사무소|제283호|517-9772|서울특별시 강남구 강남대로 310,19층 09호(역삼동,유니온센터) (우편번호 06253)|정창기|한국공인회계사회
정인회계법인|분사무소|제283호|044-862-3008|세종시  한누리대로 169,6층(나성동,세종행복타워) (우편번호 30130)|정창기|한국공인회계사회
정인회계법인|분사무소|제283호|032-213-8509|인천광역시 남동구 서창방산로 55(서창동,서창비젼프라자) , 302호 (우편번호 21617)|정창기|한국공인회계사회
정일회계법인||제132호|2615-0604|서울특별시 구로구 경인로53가길 10,1302호(구로동,대명벨리온지식산업센타) (우편번호 08214)|김용정|한국공인회계사회
정일회계법인|분사무소|제132호|031-904-0684|경기도 고양시 일산동구 중앙로 1305-30,829호(장항동,삼성마이다스) (우편번호 10401)|김용정|한국공인회계사회
정일회계법인|분실|제132호|2093-5816|서울특별시 구로구 경인로53길 15(구로동,중앙유통단지) , A-605호 (우편번호 08217)|김용정|한국공인회계사회
정진세림회계법인||제140호|501-9754|서울특별시 강남구 역삼로 121,5층(역삼동,유성빌딩) (우편번호 06243)|전이현|한국공인회계사회
정진세림회계법인|분사무소|제140호|563-3133|서울특별시 강남구 역삼로3길 11,본관2층,11층, 신관8층, 신관11층(역삼동,광성빌딩) (우편번호 06242)|전이현|한국공인회계사회
정진회계법인||제171호|557-4034|서울특별시 강남구 역삼로3길 11(역삼동,광성빌딩) , 본관2층,11층 신관8층,11층 (우편번호 06242)|황중곤|한국공인회계사회
정진회계법인|분사무소|제171호|043-230-4900|충청북도 청주시 흥덕구 풍산로 49-1(가경동) (우편번호 28393)|황중곤|한국공인회계사회
정진회계법인|분사무소|제171호|732-3113|서울특별시 종로구 인사동5길 20,602호(관훈동,오원빌딩) (우편번호 03149)|황중곤|한국공인회계사회
정현회계법인||제234호|553-6431|서울특별시 강남구 테헤란로88길 17(대치동,세안빌딩) , 7층 (우편번호 06180)|노은한|한국공인회계사회
정현회계법인|분사무소|제234호|6964-6200|서울특별시 강서구 마곡서로 152,오비동 423호(마곡동,두산더랜드타워) (우편번호 07788)|노은한|한국공인회계사회
정현회계법인|분사무소|제234호|6309-1570~5|서울특별시 영등포구 경인로 775,1-703(문래동3가,에이스하이테크시티) (우편번호 07299)|노은한|한국공인회계사회
제원회계법인||제115호|514-8421|서울특별시 강남구 언주로 711,16층(논현동,건설회관) (우편번호 06050)|박문식|한국공인회계사회
제일회계법인||제290호|051-917-1100|부산광역시 금정구 부곡로 140(부곡동,금정프라자) , 7층 (우편번호 46271)|조석관|한국공인회계사회
제일회계법인|분사무소|제290호|051-715-7515|부산광역시 해운대구 센텀북대로 60,1903호(재송동,센텀아이에스타워) (우편번호 48059)|조석관|한국공인회계사회
제일회계법인|분실|제290호|051-312-2905|부산광역시 부산진구 새싹로 29,4층(부전동,한성빌딩) (우편번호 47256)|조석관|한국공인회계사회
중앙회계법인||제161호|511-1700|서울특별시 강남구 학동로 336,2층(논현동,중앙빌딩) (우편번호 06099)|박광주,김동준|한국공인회계사회
지안회계법인||제292호|313-5572|서울특별시 서대문구 충정로 53,1511호(충정로2가,골든타워) (우편번호 03736)|고준모|한국공인회계사회
지안회계법인|분실|제292호|2088-2990|서울특별시 영등포구 여의대로 24,17층(여의도동,전국경제인연합회회관) (우편번호 07320)|고준모|한국공인회계사회
지암회계법인||제172호|3141-3327|서울특별시 강남구 강남대로122길 22(논현동) , (4층) (우편번호 06119)|김경렬|한국공인회계사회
지암회계법인|분사무소|제172호|2052-5599|서울특별시 서초구 남부순환로319길 14,2층(서초동,가남빌딩) (우편번호 06711)|김경렬|한국공인회계사회
지우회계법인||제280호|2633-9274|서울특별시 서초구 반포대로 79(서초동) , 6층 (우편번호 06670)|서영석,양안수|한국공인회계사회
지우회계법인|분사무소|제280호|6933-7680|서울특별시 강남구 논현로 726(논현동) , 3층 (우편번호 06051)|서영석,양안수|한국공인회계사회
지우회계법인|분사무소|제280호|3444-6891|서울특별시 송파구 올림픽로 102,7층(잠실동,서일빌딩) (우편번호 05557)|서영석,양안수|한국공인회계사회
진성회계법인||제192호|6261-7718|서울특별시 강남구 강남대로140길 46,3층(논현동,G&A) (우편번호 06042)|박지승|한국공인회계사회
진성회계법인|분사무소|제192호|064-758-5100|제주특별자치도 제주시 청사로 67,3층(도남동,타운하우스) (우편번호 63219)|박지승|한국공인회계사회
진성회계법인|분실|제192호|3409-9712|서울특별시 성동구 광나루로8길 9(성수동2가) , 7층 1호 (우편번호 04799)|박지승|한국공인회계사회
진일회계법인||제201호|6095-2137|서울특별시 영등포구 은행로 11,7층(여의도동,일신빌딩) (우편번호 07237)|배영석,남기권|한국공인회계사회
