##NAME|SUBNAME|TELNUM|ADDR|FEAT@@태권도장
청석 체육관||625-9627|대전 대덕구 비래동 140-6|
하나 체육관||635-0300|대전 대덕구 송촌동 460-4 송촌프라자7층|
럭키 체육관||631-3750|대덕구 법동 287-2 유리빌딩|
타이거 체육관||0426224367|대전 대덕구 법동 282-8|
충무 체육관||626-7363|대전 대덕구 중리동 245-21|
서오 체육관||635-0918|대전 대덕구 송촌동 220-51번지|
청암 체육관||042-932-4929|대전광역시 대덕구 신탄진북로 17, 2층(신탄진동)|
대전협회 체육관||0422560119||
둔산3 체육관||484-4105|대전 서구 둔산동 1318 영진햇님상가|
용문 체육관||042-533-7988|대전 서구 용문동 282-1|
희망 체육관||488-8852|대전 서구 만년동 1번지 상아@상가 202호|
엔젤 체육관||486-8302|대전 서구 월평동 324번지 2층|
샘머리 체육관||042-484-0886|대전 서구 둔산2동 908번지 샘머리코아 406호|
변동 체육관||532-7676|대전 서구 변동 40-5|
대명 체육관||487-3502|대전 서구 만년동 266 만년코아502호|
둔산4 체육관||042-484-4106|대전 서구 둔산동 909 수정타운상가2호|
천지 체육관||527-5485|대전 서구 도마동 112-13 태양빌딩지하1층|
태사랑 체육관||585-8017|대전 서구 정림동 644번지 3층|
장대 체육관||825-3110|대전 유성구 장대동 353-4 2층|
성현 체육관||862-6519|대전 유성구 신성동 214-14|
꿈돌이 체육관||863-4000,5000|대전 유성구 전민동 303-11|
경희대신성 태권도장||8625630|대전 유성구 신성동 210-16|
홍인 체육관||042-823-7686|대전광역시 유성구 구암동  620-15 2층|
챔피언 체육관||477-7008|대전 유성구 지족동 907-8|
대정 체육관||042-544-2031|대전 유성구 대정동 316-1 드리움상가내|
푸르지오 체육관||825-3118|대전 유성구 장대동 271-1|
우진 체육관||476-6266|대전 유성구 은구비로 8, 2층|
무궁화 체육관||042-933-4913|대전 유성구 송강동 182-1|
월드컵 체육관||826-4522|대전광역시 유성구 노은동 270번지 월드컵경기장 내|
왕호 체육관||0429320913|대전 대덕구 석봉동 129-11|
베스트빅토리 체육관||289-6464|울산 북구 연암동 353-6번지|
용인대동아 체육관||287-0404|울산 북구 명촌동 평창리비에르2차상가 301호|
학사태권도클럽 체육관||286-5200|북구 신천동 377-10번지 2층|
명문태권도 체육관||288-8508|울산 북구 명촌동 124B 4-2N 명촌빌딩 2층|
산본경희 체육관||3958427|경기 군포시 산본동 삼환계롱A내유치원B/D|
군포청룡 체육관||031-396-3243|경기 군포시 산본동 1036-2 화남빌딩 2층|
산본충무 체육관||031-396-6600|경기 군포시 번영로 498 (금정동, 산본빌딩) 7층 701호|
청룡 체육관||274-8697|울산 남구 신정1동 1135-1|
역도산 체육관||0522730961|울산 남구 달동 630-24|
화랑 체육관||052-274-6038|울산 남구 신정2동 1602-9번지|
제일 체육관||277-5244|울산 남구 무거동 576-3|
해오름 체육관||249-3022|울산 남구 무거동 814-4|
옥동 체육관||266-2923|울산 남구 옥동 260-10번지|
대명 체육관||267-2849|남구 선암동 161-4번지|
무거한일 체육관||277-6468|울산 남구 무거동 1224-2번지|
옥서상무체육관||052-261-0648|울산 남구 옥동 282-7번지|
동부 체육관||258-6494|울산 남구 야음3동 771-2번지|
영진 체육관||249-9790|울산 남구 무거2동 1550-2번지|
아라 체육관||0522589008|울산 남구 삼산동 1529-4대우푸르지오2층|
영웅태권도체육관||052-222-0011|울산 남구 무거동 617-12 번지 2층|
일심 체육관||258-5888|울산 남구 야음2동 471-24번지|
옥산 체육관||052-277-0100|울산 남구 무거동 467-7번지|
신정한양 체육관||256-0533|울산 남구 신정1동 1611-9번지|
호키 체육관||227-9116|울산 남구 신정4동 853-72번지|
우성 체육관||256-8484|울산 남구 신정4동 1833-1번지|
청우 체육관||261-6040|울산 남구 신정4동 851-36번지|
신번개 태권스쿨||052-900-6789|울산 남구 달동 1321-16번지 2층|
천웅태권도장||257-7407|울산 남구 야음2동 540-4번지|
홍익체육관||293-6555|울산 중구 반구2동 59-24번지|
병영 체육관||292-2157|울산 중구 남외동 246-3번지|
미남 체육관||2463251|울산 중구 태화동 444-10번지|
충무 체육관||245-0350|중구 우정동 725-3번지|
강호 체육관||297-1751|울산 중구 반구1동 570-1번지|
역도산제5 체육관||244-8706|울산 중구 성안동 53B8N|
다운홍익 체육관||052-277-9500|울산 중구 다운동 802-13번지|
약사 체육관||294-7878|울산광역시 중구 평산4길 28(약사동)|
성안 체육관||0522116997|울산 중구 성안동 796-2번지|
태화 체육관||052-211-2112|울산 중구 우정동 723-1번지 청우하이츠맨션상가 101호|
새화랑 체육관||296-8678|울산광역시 중구 평산로 2 (약사동) 4층|
용인대한빛 체육관||052-245-9191|울산 중구 성안로 192 (성안동) 202호 (HN빌딩)|
대건 체육관||232-7795|울산 동구 일산동 453-7번지|
대한 체육관||052-233-4455|울산 동구 화정동 639-11번지|
미동 체육관||235-4941|동구 전하2동 684-1번지|
남목 체육관||052-232-8144|울산 동구 동부동 328번지|
월드 체육관||234-8769|울산 동구 서부동 113-205|
현무 체육관||052-233-1500|울산 동구 방어동 1139번지 우진임대 APT상가 내|
창무 체육관||233-3388|울산 동구 화정동 874-4번지|
부산 체육관||232-2733|울산 동구 전하3동 661-5번지|
하나 체육관||252-2722|울산 동구 전하동 768 산록늘푸른상가2층56호|
문무 체육관||236-1305|울산 동구 화정동 851-1번지 대하크리스타상가 7동|
대경 체육관||252-0877|울산 동구 전하동 300-157|
덕광 체육관||235-0109|울산 동구 화정동 160-9번지|
천도 체육관||052-201-8876|울산 동구 방어동 994-13번지|
용인대최우수 체육관||201-3848|울산 동구 방어동 1149-5번지3층|
성림태권도장||233-8060|울산 동구 방어동 910-5번지|
코리아 체육관||288-1803|울산 북구 양정동 힐스테이트상가 4층 401호|
대덕 체육관||0522954400|울산 북구 호계리 730-12번지|
동성 체육관||282-2348|울산 북구 매곡동 846번지 대우푸르지오 1단지 상가 201호|
한국 체육관||288-8708|울산 북구 연암동 402-1번지|
청송 체육관||289-3963|울산 북구 화봉동 640-1번지 2층|
효태권도장||281-5666|울산 북구 달천동 107-23 그린카운티 상가3층|
상북 체육관||052-262-3781|울산 울주군 언양읍 서부리 247-18번지|
청도 체육관||2397757|울산 울주군 온양면 대안리 401-7번지|
구영 체육관||211-6154|울산 울주군 범서읍 구영리 779-41번지|
선인 체육관||262-1450|울산 울주군 언양읍 동부리 377-8번지|
금강 체육관||025-248-9555|울산 울주군 범서읍 천상리 5B-8N|
충효 체육관||264-7859|울산 울주군 삼남면 신화리 1488-1번지|
백룡 체육관||222-3434|울산 울주군 청량면 삼정리 쌍용하나빌리지상가내가동 401호|
남창 체육관||052-238-7265|울산 울주군 언양읍 대안리 256-7번지|
선진 체육관||212-8887|울산 울주군 범서읍 구영리 848-1번지 서린프라자 502호|
태사랑 체육관||052-238-6261|울산 울주군 온산읍 남창리 213-6|
화성태권도장||237-5114|울산 울주군 온양읍 대안리 39B-3L|
명성태권도체육관||2110450|울산 울주군 범서읍 천상리 8B-9L|
파워 체육관||254-0079|울산 울주군 언양읍 반천리 현대@상가403호|
용인대태권스쿨||264-6882|울산 울주군 언양읍 서부리삼성@상가  301호|
힘찬 체육관||031-584-4062|경기 가평군 하면 현3리 477-14|
청평화랑체육관||584-6378|경기 가평군 청평면 청평리 440-3|
혜성 체육관||031-581-5454|경기 가평군 가평읍 대곡리 285-9|
용인대태권도아카데미||5815577|경기 가평군 가평읍 읍내리 584-7|
설악현무도장||0315848201|경기 가평군 설악면 신천리 443-7|
가평튼튼 체육관||582-6943|경기 가평군 가평읍 읍내리 329-21 2층|
가평충효 체육관||582-9466|경기 가평군 가평읍 읍내리 493-6 3층|
진원 체육관||031-964-1120|경기도 고양시 일산동구 사리현동 130번지 2호|
고양참피온 체육관||966-4890|경기 고양시 일산구 식사동 62번지 611/3|
고양한국 체육관||9674992|경기 고양시 성사동 506-25|
화수비룡 체육관||9652558|경기 고양시 덕양구 화정동 861|
광동 체육관||9174114|경기 고양시 일산구 장항동 709-1|
능곡상록 체육관||9726174|경기 고양시 덕양구 토당동 296-23|
둥글이태권도 체육관||031-964-4700|경기 고양시 덕양구 도래울로 42-15 도내원프라자 4층 401호(도내동)|
덕양석사태권도 체육관||031-907-0082|경기 고양시 덕양구 화정동902|
용인대팔마 체육관||0319788333|경기 고양시 덕양구 행신3동 936번지 햇빛마을 20단지상가 4층|
정무일도 체육관||9796597|경기 고양시 덕양구 행신동 952 세신휄밀리타운6층|
흰돌튼튼 체육관||0319051774|경기 고양시 일산구 백석동 1349 국제한진A단지내상가303호|
일산태극 체육관||9150704|경기 고양시 일산구 대화동 2212 성저동익상가3층|
용인대타이곤태권도장||0319167677|경기도 고양시 일산동구 산두로 192 1층(정발산동)|
수성 체육관||9694220|경기 고양시 덕양구 고양동 231-1 3층|
진선 체육관||031-957-7679|경기 고양시 덕양구 삼송동50-81|
후곡 체육관||913-0675|경기도 고양시 일산동구 정발산동 1175-1번지 정석코아 4층|
청운태권도 체육관||9691217|경기 고양시 덕양구 관산동 540-87|
중앙석사 체육관||0319626777|경기 고양시 덕양구 화정동 865 신안상가 206호|
경희비룡 체육관||9046644|경기 고양시 일산구 마두동 759 백마프라자 5층|
탄현한국태권도아카데미||031-911-8823|경기 고양시 일산구 탄현동 33-58 상록이화프라자 307호|
경희대왕구호 체육관||9250555|경기 고양시 일산구 탄현동 1479|
동방태권도장||031-976-0777|경기도 고양시 일산동구 중산로 149, 2층(중산동, 스카이빌딩)|
고양한빛 체육관||9040303|경기 고양시 일산구 마두동 785-2 백암빌딩3층|
과천중앙 체육관||02-503-5016|경기 과천시 별양동 15-11|
용인대KICKS태권도 체육관||9043697|경기 고양시 일산구 마두1동 737 두성코아 4층|
능곡왕호태권도 체육관||9738858|경기 고양시 덕양구 토당동 85-2 신현빌딩 3층|
승일 체육관||02-503-3953|경기 과천시 부림동 46번지 시대빌딩|
국민 체육관||02-2687-7383|경기 광명시 광명7동 42-110|
나래 체육관||02-611-5476|경기 광명시 광명5동 270-10 지층2호상가|
남북 체육관||02-2613-4144|경기 광명시 광명2동 116-10|
경안화랑태권도장||7622999|경기 광주시 광주읍 경안7리 125-10|
용인대경안 체육관||0317623658|경기도 광주시 벌원길 66(탄벌동, 2층)|
동원대청도 체육관||7640458|경기 광주시 도척면 노곡리 211|
광주성일태권도 체육관||031-763-6774|경기 광주시 실촌읍 삼리 133-17번지 3층|
경희대진명체육관||0315928813|남양주시 금곡동 164-6|
남서울태권도아카데미||245-0744|범서읍 구영리 838-4번지|
경희대석사백봉태권도장||031591-5327|남양주시 평내동 107-1 대명상가 4층|
라이온스 체육관||5637017|경기 구리시 수택동 381-19|
구리한국 체육관||031-553-6388|경기 구리시 교문동 809-1 하나A상가203호|
신봉화태권도장||566-0733|경기도 구리시 장자대로86번길 14-11 3층,(수택동,그린빌딩)|
비호 체육관||391-0042|경기 군포시산본동1052-1(유치원상가4층)|
재궁태권도장||3915442|경기 군포시 재궁동 신도시주공1단산본유치원상가101호|
군포한양 체육관||4529566|경기 군포시 금정동 744-1 신환A유아원상가1층|
경호 체육관||031-458-3848|경기 군포시 금정동 722 3층|
인천대강남체육관||0319824044|김포시 풍무동 109-5번지 3층|
엘리트태권도장||243-1235|울주군 범서읍 구영리 207-1번지|
드림태권도장||031-861-0880|동두천시 지행동 692-3 대방샤인힐아파트 제상가동 3층|
군포신흥태권도장||0313992949|경기 군포시 산본동 1145-14 을지상가307허|
산본힘찬태권도 체육관||031-393-0422|경기 군포시 산본동 1094 삼대빌딩202호|
승룡 체육관||0319884198|경기 김포시 통진면 서암리 714|
김포화랑태권도장||986-5917|경기 김포시 고촌면 신곡리 1105 다빈치프라자 501호|
군포한국 체육관||4569389|경기도 군포시 당동로 11 2층(당동)|
마석한국 체육관||031-593-7743|경기 남양주시 화도읍 마석리 우리마석택지개발지구41-2 메디컬프라자504호|
성무 체육관||032-652-2415|경기 부천시 원미구 중동 805-2|
으뜸 체육관||032-672-4381|경기 부천시 오정구 원종동 374-4|
소림 체육관||0326756468|경기 부천시 오정구 고강동 359-21|
왕호 체육관||4453909|경기 안양시 동안구 비산3동 255-3|
곤지암중앙태권도장||7626835|광주시 실촌읍 곤지암리 444-5|
현무 체육관||0315740085|남양주시 진건읍 용정리 774-9|
남양주비룡 체육관||5728198|경기 남양주시 퇴계원면 퇴계원리 70-10 3층|
대림키즈태권도 체육관||5281116|경기 남양주시 진건읍 용정리 751-7|
한빛태권스쿨||260-3399|울산 북구 화봉동 화봉택지 2지구 C2-1번지 3층|
현무태권도||031-766-2585|경기 광주시 초월읍 쌍동리 220-2|
자이스타태권도장||868-2524|부산 연제구 연산동 2262번지 연산자이상가 B동 109, 110호|
경희대석사천마태권도||031-591-3777|경기 남양주시 평내동 599 중흥A상가 201호|
아이짐경희대태권스쿨||567-0889|경기 남양주시 도농동 306-5 연성프라자4층|
신흥태양 체육관||868-6291|경기 동두천시 동두천동 209-12|
김포엘리트태권도장||031-985-9707|경기 김포시 사우동 880번지 시그마플라자 2층 201호|
왕호 체육관||032-345-6144|경기 부천시 소사구 괴안동 100-7|
태풍 체육관||0326664936|경기 부천시 소사구 심곡본동 657-6|
고강 체육관||032-6781253|경기 부천시 오정구 고강1동 318|
태권도신정 체육관||032-343-3511|경기 부천시 소사구 괴안동 28-4|
부천경희 체육관||032-324-5955|경기 부천시 원미구 중동 1170 삼보상가3층9호|
역곡왕호 체육관||032-342-0146|경기 부천시 원미구 역곡1동 107-8 4층|
등룡 체육관||032-674-6609|경기 부천시 오정구 여월동 7-4|
금메달 체육관||6799507|경기 부천시 오정구 고강동 390-3 2층|
삼부 체육관||032-6137434|경기 부천시 원미구 심곡동 437-19|
고강용인대 체육관||6810083|경기 부천시 오정구 고강본동 358-5 2ㅊ,ㅇ|
정훈태권도장|||경기 구리시 인창동 665-1번지 삼보상가 3층 301호|
봉황태권도장||032-341-7801|경기 부천시 소사구 소사본3동 159-48호 3층|
부천정우 체육관||032-676-0273|경기 부천시 오정구 고강본동 369|
도원 체육관||032-656-0011|부천시 소사구 심곡본동 630번지 25호 2층|
경희대시흥명성체육관||031-313-6272|시흥시 매화동 199-1|
시흥왕호태권도장||311-9192|경기 시흥시 은행로 128 (은행동, 강남베네스트학원) 2,3층|
신한 체육관||032-676-3050|경기 부천시 원미구 약대동 83-1 2층|
경희대큰나무 체육관||032-327-7474|경기 부천시 원미구 상동 557-3 403호|
용마 체육관||742-9771|경기 성남시 수정구 단대동 4854|
예일 체육관||745-9412|경기 성남시 중원구 금광2동 2403번지 2층|
성남참피온 체육관||7344951|경기 성남시 중원구 금광2동 3722번지 4층|
천일 체육관||031-734-4166|경기 성남시 중원구 성남동 2779번지 3층|
희망 체육관||7457757|경기 성남시 수정구 신흥3동 2840|
명도 체육관||7517207|경기 성남시 수정구 수진동 2147|
학생태권도 체육관||7515812|경기 성남시 종원구 성남동 3299 수연프라자3층|
금광태권도 체육관||031-755-3396|경기 성남시 수정구 태평4동 2338|
한마루태권도체육관||499-0875|경기도 시흥시 정왕천로411번길 25 (정왕동)|
연세문무태권도||434-0559|경기 시흥시 정왕동 2014-4번지|
신일태권도장||313-4915|경기 시흥시 은행동 293-1 연회상가 2층|
A·D태권도||031-317-3443|경기도 시흥시 은행로167번길 3 401호(대야동,의성빌딩 4층)|
단대 체육관||7359135|경기 성남시 수정구 단대동 4639|
중앙 체육관||031-722-5506|경기 성남시 중원구 성남동 2481번지 3층|
양지태권도 체육관||7459977|경기 성남시 수정구 신흥3동 3511|
정자석사태권도 체육관|||경기 성남시 분당구 정자동 65-4 현다프라자401호|
분당중앙 체육관||031-705-2599|경기 성남시 분당구 삼평동 730번지 케이티동판교사옥 4층|
장안 체육관||706-6444|경기 성남시 분당구 야탑동 335 현대글린상가3층|
용창 체육관||7426486|경기 성남시 중원구 은행1동 2222|
수내태권도 체육관||031-711-2966|경기 성남시 분당구 수내3동 83-1 동한프라자302호|
용인대에이스태권도||3134133|경기 시흥시 매화동 276-9|
현대위너태권도 체육관||7024307|경기 성남시 분당구 서현동 94 현대아케이트202호|
태풍태권도아카데미||7472422|경기 성남시 중원구 중동 2009-1|
동성 체육관||031-753-3256|경기 성남시 수정구 태평3동 3521|
선경경희대 체육관||735151|경기 성남시 중원구 상대원동 279 선경상가402호|
상대원용인대 체육관||031-747-8829|경기 성남시 중원구 상대원2동 4398 4층|
한마당 체육관||731-2230|경기 성남시 수정구 신흥3동 3414번지 2층|
경희대석사하중체육관||317-7222|경기 시흥시 하중동 857번지 6호 훼미리타운 4층|
성남경희대태권도아카데미||7218764|경기 성남시 수정구 태평동 6410-1 3층|
성남학사태권도 체육관||7469181|경기도 성남시 중원구 자혜로54, 4층(금광동)|
상무 체육관||243-6465|경기 수원시 팔달구 지동 306-13|
보라 체육관||0312437895|경기 수원시 팔달구 우만동 587-18|
남창 체육관||0312469338|경기 수원시 팔달구 남창동 100-1|
율전 체육관||207-0553|경기 수원시 장안구 율전동 554 유영타운 4층|
용인대석사태권도|||경기 시흥시 거모동 1756-1번지 202호|
수원올림픽 체육관||0312210614|경기 수원시 권선구 권선동 1170-6|
청록태권도장||031-256-2263|경기 수원시 장안구 송죽동 497-31|
도원용인대체육관||031-313-1106|경기 시흥시 신천동 751-26 2층|
영통경희대 체육관||2022111|경기 수원시 영통동 영통동동보신명A상가304호|
무궁화 체육관||2361238|경기 수원시 영통구 매탄3동 1169-3|
경희대새미래 체육관||0312030515|경기 수원시 영통구 영통동1054-3 신명한국A330-332호|
아카데미태권도장||2928109|경기 수원시 권선구 구운동 삼환상가4층401호|
용인대일월 체육관||2927390|경기 수원시 권선구 구운동 코오롱A상가402호|
코리아태권도 체육관||212-5405|경기도 수원시 영통구 매영로39번길 22(매탄동, 2층)|
용인대원일태권도장||2144522|경기도 수원시 영통구 원천동 550-4 원천주공2단지 종합상가 301호|
서부경희대태권도 체육관||2699241|경기 수원시 장안구 정자2동 두견마을 벽산3차아파트 단지내 2층|
경희대드림 체육관||031-233-2202|경기 수원시 권선구 1297-3 권선프라자6층|
경희대라이언태권도 체육관||2543313|경기 수원시 장안구 조원동 859-3  303호|
매현태권도장||031-217-9339|경기 수원시 영통구 매탄동 1279-5 아이샘프라자501호|
박종진태권도장||2465606|경기 수원시 장안구 파장동 413-12|
경희대석사성호태권도 체육관||0312157687|경기 수원시 팔달구 우만동 600 월드메르디앙A단지내주상가304,5호|
경희대한미태권도 체육관||2927717|경기 수원시 팔달구 화서2동 727 서수원프라자402호|
와촌 체육관||041-578-1713|충남 천안시 와촌동 173번지 신동아@상가 2층|
경희대신나무태권도장||0312036441|경기 수원시 영통구 영통동 963-2 신성상가2층|
경희대으뜸 체육관||031-232-1249|경기 수원시 권선구 세류3동 845|
준태권도장||2946655|경기 수원시 권선구 세류2동 1011-31 강남A상가내|
용비 체육관||031-503-6625|경기 시흥시 정왕동 1394 아주상가3층|
시흥비룡태권도장||3135274|경기 시흥시 신천동 827-1 상아A상가2층202호|
신충무 체육관||0314037221|경기도 시흥시 동서로 1080 301호(목감동, 대명상가)|
장곡경희대태권도 체육관||0313179669|경기 시흥시 장곡동 809-10  2층|
경일용문태권도 체육관||4310588|경기 시흥시 정왕동 1789 금강A상가3층|
장곡용인대태권도 체육관||3176440|경기 시흥시 장곡동 802-1 금강프라자5층|
오송석사태권도교육관||271-9777|전라북도 전주시 덕진구 천마산로 91 오송빌딩 2층(송천동1가)|
비둘기 체육관||031-486-5355|경기 안산시 단원구 선부동 1070-15번지 단원프라자 502호|
안산동아 체육관||414-0080|경기 안산시 단원구 고잔1동 660 광운9차상가2층|
강서 체육관||4015522|경기 안산시 단원구 와동 829-1|
한국태권도 체육관||031480-3470|경기 안산시 단원구 와동 782-5|
고잔 체육관||4100777|경기 안산시 단원구 고잔동 613 상우상가3층301,302호|
백호 체육관||0314078722|경기 안산시 사동 1505 본오A2차상가305호|
타이거즈 체육관||502-1701|경기도 안산시 상록구 해양1로 34, 상가동 407호(사동, 안산고잔7차푸르지오)|
광덕태권도 체육관||031-487-0637|경기 안산시 상록구 월피동 515-1|
성포경희 체육관||4852002|경기 안산시 상록구 성포동 583-4 사이버스튜디오2층|
진산 체육관||031-410-6014|경기 안산시 단원구 선부동 1078-3 동산빌딩4층|
서현태권스쿨||043-218-1256|충청북도 청주시 상당구 주성동 338번지 율량프라자 602호|
월계수 체육관||409-5162|경기 안산시 사동 1339-2|
신호동 체육관||406-9663|경기도 안산시 상록구 이동 527-12번지 201호|
21세기태권도전문도장||0314197987|경기 안산시 상록구 부곡동 620번지  2층|
부곡태권도 체육관||4174096|경기 안산시 부곡동 533-4 부곡상가 6층 603호|
우석대석사부부태권도장||244-0076|전주시 덕진구 인후동1가 772-7번지 3층|
21C한국태권도전문도장||4953836|경기도 안산시 단원구 신길동 1509번지 휴면시아아파트2단지상가 203-205호|
반월경희 체육관||437-0033|경기 안산시 상록구 건건동 922-4 안진빌딩 401호|
안산한샘 체육관||4105077|경기 안산시 상록구 부곡동 713-14|
와동태권도 체육관||031-410-9512|경기 안산시 단원구 와동 712-18  2층|
경희대석사태권도 체육관||031-439-2727|경기 안산시 단원구 고잔동 주공그린빌9단지상가201호|
올림픽태권도장||4178886|경기 안산시 상록구 본오1동 955  3층|
연세대태권도 체육관||405-8554|경기 안산시 단원구 광덕서로 15 동문상가 2층 205-206호(고잔동, 호수공원대림아파트 동문상가)|
용인대초당전문교육관||4193996|경기 안산시 상록구 사2동 1413-7|
태강태권도장||0432327776|청주시 흥덕구 복대1동 3324번지 502호|
고잔청록태권도 체육관||4164632|경기 안산시 상록구 이동 700  3층|
안산성우태권도 체육관||416-2715|경기 안산시 상록구 오목로 71 2층(본오동)|
안산충무태권도 체육관||416-7606|경기 안산시 상록구 부곡동 542-0 2층|
재능태권도 체육관||4056638|경기 안산시 단원구 와동 702|
안성원도 체육관||0316745421|경기 안성시 당왕동 534 대우상가 2층|
용인대선부박사태권도장||480-6316|안산시 단원구 선부동 963 효자상가 3층|
부림체육관||273-3777|창원시 명서동 75-16번지 50102호, 503호|
비호체육관||343-2346|김해시 진영읍 진영리 274-93|
27 체육관||031-655-2701|경기 안성시 공도읍 진사리 348-8|
안성일죽원도 체육관||674-5420|경기 안성시 일죽면 주천리 302-78|
안양청도 체육관||442-1490|경기 안양시 동안구 비산1동 514 임곡주공프라자상가401호|
청룡 체육관||442-1533|경기 안양시 만안구 안양5동 449-33|
안양 체육관||031-452-5866|경기 안양시 동안구 호계1동 958-38|
관양태권도장||0313841402|경기 안양시 동안구 부림동 1587번지 공작럭키상가 208,209,210호|
정민 체육관||4665026|경기 안양시 만안구 안양5동 707-115|
진흥 체육관||031-466-8586|경기 안양시 만안구 안양1동 97-3 진흥A1차상가201호|
대호 체육관|||경기 안양시 만안구 석수2동 424 정근상가3층|
호계경희태권도장|||경기 안양시 동안구 호계2동 937-8|
안양백마태권도 체육관||4488847|경기 안양시 만안구 박달동 134-1|
태권도정무 체육관||429-7256|경기 안양시 동안구 호계1동 993-2|
신현대 체육관||031-386-9337|경기 안양시 동안구 평안동 899-7 현대5차상가301호|
태랑||2655-0064|서울 양천구 목동 773-2|
동아대인성태권도||342-9211|부산 북구 만덕3동 925-1 동원상가 7동 401호, 402호|
한결태권도교육관||291-7337|전북 완주군 삼례읍 후정리 72|
양주충효태권도장||031-847-9820|경기 양주시 양주읍 만송리 270-4|
지평 체육관||7737726|경기 양평군 지제면 지평리 253-2|
한강 체육관||7727072|경기 양평군 양서면 양수리 556-3|
여주청도 체육관||8858777|경기 여주군 여주읍 하리 290-2|
점동 체육관||8840105|경기 여주군 점동면 청안리 130|
여주경희 체육관||8858811|경기 여주군 여주읍 하리 186-4|
점봉 체육관||8813025|경기 여주군 여주읍 점봉리 317-1|
산호태권도 체육관||8827461|경기 여주군 대신면 율촌리 344-7|
오학경희 체육관||885-8810|경기 여주군 북내면 오학리 285-7|
여주용인대한국 체육관||8840806|경기 여주군 여주읍 홍문리 384|
호반태권도장||031-884-3200|경기 여주군 여주읍 교리 호반리젠시빌상가2층203호|
북내태권도장||8826654|경기 여주군 북내면 당우리 193-26|
안양튼튼태권도 체육관||4422548|경기 안양시 만안구 안양3동 900-22|
구룡 체육관||471-9090|경기 안양시 만안구 석수1동 182-2 석수대림상가304호|
안양상무 체육관||4737337|경기 안양시 만안구 석수동 805번지 석수주공빌 상가 2층 202호|
LG연현 체육관||031-471-1337|경기 안양시 만안구 석수동 LG빌라지A동상가3층|
국제태권도아카데미||0314230108|경기 안양시 동안구 관양1동 1432-2 성원빌딩3층|
평촌 체육관||031-382-5005|경기 안양시 동안구 부흥동부영A상가304호|
새마을신화 체육관||4464327|경기 안양시 만안구 안양9동 994-6|
대림고려태권도 체육관||0314747844|경기 안양시 만안구 석수1동 대림상가210호|
홍익인성교육태권도장||031-382-2905|경기 안양시 동안구 평촌동 896-6 초원부영A상가|
명지대국일태권도장||4436580|경기 안양시 만안구 안양2동 837-6|
석사경희월드태권도 체육관||4667774|경기 안양시 동안구 비산동 1155 임곡주공A단지내상가4층|
범계태권도장||031-454-7333|경기 안양시 동안구 호계2동 921-5  2층|
명지대왕호태권도장||3883909|경기 안양시 동안구 비산3동 255-2|
연천우리태권도 체육관||0318326564|경기 연천군 전곡읍 전곡6리 3반 299-6|
시온태권도장||0318349992|경기 연천군 연천읍 차탄리 62-5|
오산으뜸 체육관||374-0662|경기 오산시 수청동 15-11|
유일 체육관||374-1020|경기 오산시 가수동 293-3|
운암으뜸 체육관||3777941|경기 오산시 운암동 7-1 주공프라자302|
오산태권도 체육관||3748390|경기 오산시 궐동 45-2 2층|
송전특전 체육관||3388663|경기 용인시 이동면 송전리 748-7|
서룡 체육관||0313357766|경기 용인시 역북동|
둥지태권도체육관||031-338-2587|경기 용인시 양지면 590-1|
용인용마 체육관||3367729|경기 용인시 유방동 310-1|
무경태권도 체육관||0312628008|경기 용인시 수지읍 동천리 180-12|
왕산 체육관||031-334-3090|경기 용인시 모현면 왕산리 428-1|
경기 체육관||826-3221|경기도 의정부시 가능동 737-14번지|
금오청도 체육관||031-843-5730|경기 의정부시 신곡2동 부용아파트상가2층|
용호 체육관||031-875-3375|경기 의정부시 가능1동 648-39|
금촌비호태권도 체육관||9448808|경기 파주시 아동동 275-9 파라다이스A종합상가206~208호|
한라태권도 체육관||9420006|경기 파주시 조리면 대원리 한라A상가3층|
남양 체육관||031-356-3855|경기 화성시 남양면 남양리 516-6|
동산도장||233-3544|경기 화성시 병점동 431-9번지 신창프라자 501호|
용인대청송태권도체육관|||여주군 가남면 태평리 141-63|
용인대석사서정태권도장||662-6905|평택시 서정동 265-3|
경희대강현태권도장|||평택시 비전동 832-4|
백암정도 체육관||031-332-6706|경기 용인시 백암면 백암리 456-6|
용인명도태권도 체육관||0313387826|경기 용인시 고림동 235-2|
한체대고려 체육관||287-1366|경기 용인시 기흥읍 상갈리 482,482-1 주공프라자401호|
상지대효태권도||746-8228|강원도 원주시 원문로100번길 35(단계동)|
용인대상무태권도 체육관||333-7800|경기 용인시 처인구 고림동 264-3 이튼상가3층305,306호|
용인신일태권도 체육관||031-275-2225|경기 용인시 기흥구 고매동 344-1|
지성 체육관||0314233600|경기 의왕시 포일동 441-2 삼호상가4층|
우석 체육관||031-462-3252|경기 의왕시 삼동 166-15|
용인대백운태권도 체육관||4225959|경기 의왕시 내손동 622-3|
경원태권도장||8443989|경기 의정부시 의정부4동 221-13|
광정 체육관||0318484345|경기 의정부시 의정부1동 228-4|
정훈 체육관||0318717075|경기 의정부시 호원동 415-3 대영B/D  3F|
프라자충효체육관||873-3841|경기 의정부시 가능1동 619-3|
금오충효태권도장||8730903|경기 의정부시 금오동 284|
경희갈멜태권도 체육관||8521836|경기 의정부시 민락동 576 청구1차A상가3층302호|
