##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@동양생명
동양생명|전북지점|||동양생명|063-464-9485|전라북도 군산시 월명로 213||||||||동양생명 전북지점|상도빌딩 2층 (820-5번지)|||40610
동양생명|수호지점|||동양생명|063-464-9018|전라북도 군산시 월명로 213||||||||동양생명 수호지점|상도빌딩 5층|||40610
동양생명|HB/전북지점|||동양생명|063-281-3500|전라북도 전주시 완산구 홍산로 249||||||||동양생명 HB/전북지점|대신타워 7층|||40610
동양생명|제주고객센터|||동양생명|064-758-1259|제주특별자치도 제주시 도령로 33||||||||동양생명 제주고객센터|현대해상빌딩 6층 (노형동 1294-5)|||40610
동양생명|제주지점|||동양생명|064-758-1259|제주특별자치도 제주시 도령로 33||||||||동양생명 제주지점|현대해상빌딩 6층 (노형동 1294-5)|||40610
동양생명|노형지점|||동양생명|064-7498-380~1|제주특별자치도 제주시 도령로 33||||||||동양생명 노형지점|현대해상화재보험빌딩 제주사옥 12F (1294-5번지)|||40610
동양생명|새천안고객센터|||동양생명|041-562-9280|충청남도 천안시 서북구 불당22대로 86||||||||동양생명 새천안고객센터|마블러스 에스타워6층|||40610
동양생명|서산고객센터|||동양생명|041-666-1031|충청남도 서산시 호수공원8로 3-3||||||||동양생명 서산고객센터|승우빌딩 2층 (1259-2번지)|||40610
동양생명|논산고객센터|||동양생명|041-735-9737|충청남도 논산시 중앙로 422||||||||동양생명 논산고객센터|라임빌딩3층 (1047-10번지) (구 현대증권 빌딩)|||40610
동양생명|새천안지점|||동양생명|041-562-9280|충청남도 천안시 서북구 불당22대로 86||||||||동양생명 새천안지점|마블러스 에스타워6층|||40610
동양생명|서산지점|||동양생명|041-666-1031|충청남도 서산시 호수공원8로 3-3||||||||동양생명 서산지점|승우빌딩 2층 (1259-2번지)|||40610
동양생명|논산지점|||동양생명|041-735-9737|충청남도 논산시 중앙로 422||||||||동양생명 논산지점|라임빌딩3층 (1047-10번지) (구 현대증권 빌딩)|||40610
동양생명|금왕고객센터|||동양생명|043-877-3181|충청북도 음성군 금왕읍 대금로 1499||||||||동양생명 금왕고객센터|덕광빌딩 2F (275-25번지)|||40610
동양생명|청주고객창구|||동양생명|043-221-3928|충청북도 청주시 상당구 사북로 164||||||||동양생명 청주고객창구|우민타워 1층 (15-1번지)|||40610
동양생명|이지스(GS)지점|||동양생명|043-716-1101|충청북도 청주시 서원구 사직대로 108||||||||동양생명 이지스(GS)지점|천만빌딩 5층 (사창동 153-2번지,구하나저축은행빌딩)|||40610
동양생명|금왕사업부|||동양생명|043-877-3181|충청북도 음성군 금왕읍 대금로 1499||||||||동양생명 금왕사업부|덕광빌딩 2F (275-25번지)|||40610
동양생명|금왕지점|||동양생명|043-877-3181|충청북도 음성군 금왕읍 대금로 1499||||||||동양생명 금왕지점|덕광빌딩 2F (275-25번지)|||40610
동양생명|보람지점|||동양생명|043-221-0711|충청북도 청주시 상당구 사북로 164||||||||동양생명 보람지점|우민타워 5층 (15-1번지)|||40610
동양생명|청주지점|||동양생명|043-224-8955|충청북도 청주시 상당구 사북로 164||||||||동양생명 청주지점|우민타워 1층 (15-1번지)|||40610
동양생명|28715|||동양생명||||||||||동양생명 28715|043-252-6200|||40610
