bztypName|pobsAfstrName|pobsBaseAddr|pobsDtlAddr|pobsGnrlTelno
그 외 기타 창작 및 예술관련 서비스업|그린(gr;)n)|서울특별시 강남구 테헤란로 423, 2층 (삼성동, 현대타워)|그린(gr;)n)|020000000
기타 음식료품위주 종합 소매업|그린가든|서울특별시 강남구 역삼로25길 35 (역삼동)|1층|025575051
샐러드 주스|그린고메 GreenGourmet|서울특별시 강남구 논현로102길 6 (역삼동)|1층|0260807573
부동산중개업|그린공인중개사사무소|서울특별시 강남구 강남대로122길 43 (논현동, 그린빌라)|그린공인중개사|025411997
의류|그린나래|서울특별시 강남구 언주로30길 21 (도곡동, 아카데미스위트)|A동 B101-4호|-
생화 분재 전자상거래업(꽃)|그린나래플라워|서울특별시 강남구 선릉로119길 15 (논현동)|더비트빌딩1층 그린나래플라워|-
분식|그린네은쟁반|서울특별시 강남구 남부순환로359길 16 (도곡동)|1층|025717500
당구장업|그린당구크럽|서울특별시 강남구 도곡로 443 (대치동)|지하1층|025693949
수의업,사료|그린동물병원|서울특별시 강남구 역삼로 406|106호|-
양식|그린레시피|서울특별시 강남구 강남대로120길 31 (논현동)|지상층 102호,103호|07077661222
치과병원|그린몰치과의원|서울특별시 강남구 도산대로1길 13 (신사동)|하이텍빌딩 1층 그린몰치과|025482833
샐러드까페|그린벨|서울특별시 강남구 선릉로 717(논현동)|103호 그린벨|0260807160
세탁, 드라이|그린세탁|서울특별시 강남구 봉은사로1길 42-34 (논현동)|1층|025498284
세탁|그린세탁빨래방|서울특별시 강남구 논현로95길 29-8 (역삼동)|1층|025673338
독서실|그린스터디독서실 청당역점|서울특별시 강남구 삼성로 654 (삼성동)|4층|050713221076
공간임대업|그린스터디카페|서울특별시 강남구 삼성로 654 (삼성동)|4층|0269517016
전대업|그린스터디카페|서울특별시 강남구 선릉로126길 12(삼성동)|3층 그린스터디카페|025111660
쑥뜸 쑥좌훈 쑥관련제품|그린쑥뜸방|서울특별시 강남구 선릉로62길 17 (대치동)|4층 그린쑥뜸|025719994
안경|그린안경|서울시 강남구 개포로228(개포동,영원타운)|그린안경|0234610860
생화|그린앤플라워|서울특별시 강남구 테헤란로 131 (역삼동)|지식센터빌딩 B1|0234529435
양약|그린약국|서울특별시 강남구 논현로 835 (신사동)|1층 그린약국|025431275
세탁|그린어스|서울특별시 강남구 삼성로 11 (개포동, 디에이치 아너힐즈)|지하1층 B110호|-
세탁|그린어스|서울특별시 강남구 삼성로 150 (대치동, 한보미도맨션)|173호 그린어스 세탁소|0220516788
음료|그린에이드|서울특별시 강남구 역삼동 강남대로 지하 396|강남역 지하1층 B29호|-
배관 및 냉ㆍ난방 공사업|그린이앤비|서울특별시 강남구 개포로 623 (개포동)|대청타워 1302|0622330919
조경공사(경미한공사)|그린조경|서울특별시 강남구 밤고개로26길 11-12 (율현동)|그린조경|0234128752
냉난방기구|그린코리아|서울시 강남구 양재대로55길 25|1층|025453651
기타종합소매업|그린파트너스|서울특별시 강남구 삼성로 212 (대치동, 은마아파트)|상가동 B블럭217호|0234622666
생화|그린훌라워|서울특별시 강남구 논현로94길 11 (역삼동)|상운빌딩 1층|025499944
한식|그릴1492삼성1호점|서울시 강남구 삼성로91길 36|1층|-
일식|그릴아지사이|서울시 강남구 테헤란로 13길 8-10|1층|025657442
한식|그릴하우스9292|서울시 강남구 도곡로27길 3(역삼동)|1층 그릴하우스9292|025566686
분식|그림|서울특별시 강남구 언주로164길 41 (신사동)|1층|0234420262
놀이미술|그림나무창의미술학원|서울특별시 강남구 자곡로 106 (자곡동)|S플라자 305호 307호|024459685
일식 음식점업|그림나베 학동역점|서울특별시 강남구 논현로132길 29, 1층 (논현동)|그림나베 학동역점|020000000
호프|그림버겐|서울시 강남구 도산대로89길 13(청담동)|1층|-
미술학원|그림아트스튜디오 청담학원|서울특별시 강남구 도산대로70길 38 (청담동)|1-2층|025320370
미술학원|그림아트스튜디오대치한티학원|서울특별시 강남구 선릉로64길 15-8 (대치동)|글로리빌딩3층|025587727
미술학원|그림아트스튜디오미술교습소|서울특별시 강남구 영동대로 22(일원동, 디에이치 자이 개포)|근린생활시설 s101-105|-
어린이집|그림어린이집|서울특별시 강남구 역삼로70길 19-14 (대치동, 대치동 빌라)|101호|07087495899
어린이 미술체험|그림으로 그린세상|서울특별시 강남구 일원로3길 24 (일원동)|1층 그림으로 그린세상|025447268
미술|그미술아뜰리에|서울특별시 강남구 개포로110길 15 (일원동, 우성7차아파트)|상가 2층 201호|0211111111
분식|그윽|서울시 강남구 논현로 79길 57|1층|-
한식|그집|서울특별시 강남구 영동대로 221|107호|-
한식|그집갈비탕|서울특별시 강남구 개포로 230 (개포동)|1층 그집갈비탕|025730606
의류세탁|그집세탁소|서울특별시 강남구 언주로 314 (역삼동)|B114|025670924
한식|그집향로|서울특별시 강남구 삼성로84길 29 (대치동)|1층(  대치동)|025622112
양약|극풍당약국|서울특별시 강남구 선릉로 654 (삼성동)|예인빌딩|025404556
한식|근식당|서울특별시 강남구 압구정로28길 22-6 (신사동)|1층 근식당|025467992
한식 일반 음식점업|근이네 조개전골|서울특별시 강남구 남부순환로 2615, 116호, 117호 (도곡동, 극동스타클래스)|근이네 조개전골|020000000
교습소|글과문장논술교습소|서울특별시 강남구 선릉로130길 20 (삼성동, 래미안삼성2차아파트)|305호|0234438870
기관 구내식당업|글라스 커피|서울특별시 강남구 테헤란로 534 글라스타워 지하1층 글라스커피|글라스 커피|020000000
안경, 렌즈|글라스스토리(논현경복점)|서울특별시 강남구 언주로 604 (논현동, ACROHILLS논현)|(아크로힐스상가) 123호|025456661
안경,렌즈|글라스스토리(학동점)|서울특별시 강남구 언주로150길 41 (논현동)|1층|5535102
렌즈,안경|글라스안경 강남세곡점|서울특별시 강남구 헌릉로 569 (세곡동)|강남리더스프라자 107호|0234118500
식품잡화휴게음식|글라스타워매점|서울특별시 강남구 테헤란로 534 (대치동)|지하1층아케이트내|025575270
그 외 자동차용 신품 부품 제조업|글라스틴트(청담센터)|서울특별시 강남구 도산대로55길 46(청담동)|지하1층|-
안경|글래스빌|서울특별시 강남구 선릉로 312 (대치동)|108호 글래스빌안경원|025554260
기타 미용업|글램네일|서울특별시 강남구 선릉로68길 15 (대치동)|102호|-
의류,잡화,악세사리|글램핏|서울특별시 강남구 논현로149길 35 (논현동)|동보빌딩 301호|0260325155
성형외과의원|글로리성형외과의원|서울특별시 강남구 강남대로 616 (신사동)|신사미타워 12층|025149522
화훼|글로리플라워스카페|서울특별시 강남구 광평로34길 25-1 (수서동)|수서동514-10|0222268925
통신기기|글로벌|서울특별시 강남구 테헤란로 101|E12호, 글로벌(역삼동, 강남지하상가)|025371048
부동산 중개 및 대리업|글로벌공인중개사사무소|서울특별시 강남구 테헤란로47길 25 (역삼동)|글로벌공인중개사사무소|025468209
어학서적|글로벌문화원|서울특별시 강남구 테헤란로5길 11 (역삼동)|유빌딩3층|025631942
성형외과, 무역(의약품,의료기기)|글로벌성형외과|서울특별시 강남구 언주로 846 (신사동)|8층 글로벌성형외과|025141133
외국어학원|글로벌어학원|서울특별시 강남구 테헤란로5길 11 (역삼동)|유빌딩 4층|025631942
보습학원|글로벌퍼스트학원|서울특별시 강남구 삼성로57길 19 (대치동)|3층|025696212
미술학원|글로아이|서울특별시 강남구 도곡로 521 (대치동)|601호(대치동, 대치프라자2 6층)|025681038
볼링|글로우스트라이크|서울특별시 강남구 도산대로 232 (논현동, 청학아파트)|A동 지하1층 글로우스트라이크|07076857685
피부관리|글루타플러스스킨엔바디|서울특별시 강남구 언주로 408|B층 10호|-
비알콜음료점업|글린커피|서울특별시 강남구 개포로21길 7 (개포동)|1층 101호|025732170
서점|글벗서점|서울특별시 강남구 도곡로 516 (대치동)|삼성상가지하3호|025578910
커피 전문점|글투커피 뱅뱅사거리점|서울특별시 강남구 도곡로1길 7(역삼동)|1층|07077857214
스튜디오|금강|서울특별시 강남구 학동로12길 14 (논현동)|105호 금강|025087943
혁화및신발류|금강 강남본점|서울특별시 강남구 강남대로 500(논현동)|1층|025418081
부동산중개 및 컨설팅|금강공인중개사사무소|서울특별시 강남구 남부순환로 2917 (대치동)|1층 116호 (대치동)|025658088
가정용 세탁업|금강세탁|서울특별시 강남구 봉은사로74길 18 (삼성동)|지상1층동 102호|025538881
세탁|금강세탁소|서울특별시 강남구 압구정로 151 (압구정동, 현대아파트)|신현대상가 1동 지하1층 2호|025431427
세탁|금강세탁소|서울특별시 강남구 영동대로 230 (대치동, 우성1차아파트)|대치우성아파트상가 201호|025686488
한식|금강식당|서울 강남구 봉은사로30길 62 (영우빌딩)|1층|025672959
양약|금강약국|서울특별시 강남구 압구정로 151(압구정동, 현대아파트)|금강약국|025445527
생닭,계란,오리|금강유통|서울특별시 강남구 논현동 162-15|1층|025447278
기타잡화|금강족발전문점|서울시  강남구  삼성로 212, 은마종합상가 A56-3호|금강족발전문점|025565172
기타 자동차 신품 부품 및 내장품 판매업|금강차유리|서울특별시 강남구 역삼로11길 3-3|(역삼동)|0200000000
철근|금강철물건재|서울특별시 강남구 압구정로 216 (신사동)|1층|-
한식|금까스|서울특별시 강남구 자곡로 192(자곡동)|106호|024511982
자동차정비|금남자동차공업 주식회사|서울특별시 강남구 테헤란로14길 17 (역삼동)|건물|025642500
귀금속, 시계|금란장|서울특별시 강남구 삼성로 212 (대치동, 은마아파트)|은마상가 183|-
음식업|금별맥주|서울특별시 강남구 압구정로2길 49 (신사동)|강남구 압구정로2길 49.|5128988
한식|금복당|서울특별시 강남구 봉은사로68길 7 (삼성동)|1층 금복당|0260813147
한식 일반 음식점업|금봉시식당|서울특별시 강남구 논현로28길 45 1층|금봉시식당|020000000
수학학원|금비수학학원|서울특별시 강남구 선릉로62길 17|4층|0263961100
귀금속 도소매, 판매, 매입|금사랑금거래소(강남점)|서울특별시 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)|상가동 지1층 115호|025635525
인삼제품|금산수삼|서울특별시 강남구 강남대로124길 13(논현동)|금산수삼|025480956
조리 반찬류 소매업|금산인삼|서울특별시 강남구 삼성로 212, 비동 23호 (대치동, 은마상가)|금산인삼|020000000
기타잡화|금산인삼|서울특별시 강남구 삼성로 212-2(대치동)|은마종합상가 B23호  금산인삼|025564745
한의원|금섬한의원|서울특별시 강남구 선릉로130길 20 (삼성동, 래미안삼성2차아파트)|403,404호|0234447533
부동산중개업|금성공인중개사사무소|서울특별시 강남구 개포로 508 (개포동)|소망빌딩 105호|024512323
부동산|금성공인중개사사무소|서울특별시 강남구 봉은사로78길 23 (삼성동, 대경빌라)|102호|5678338
부동산중개|금성공인중개사사무소|서울특별시 강남구 삼성로 212 (대치동, 은마아파트)|A-178호 (대치동, 은마상가)|025525300
부동산중개 및 컨설팅|금성공인중개사사무소|서울특별시 강남구 학동로20길 22 (논현동)|1층 101호(논현동)|025494524
한식|금성스테이크|서울특별시 강남구 압구정로46길 5-12|1층|025474872
한식 일반 음식점업|금성스테이크부대찌개|서울특별시 강남구 언주로174길 26(신사동)|1층 2호|025474872
사업시설 유지ㆍ관리 서비스업|금성양행 웍스|서울특별시 강남구 압구정로36길 34-4 (신사동)|203호|-
유리임가공 잡철|금성유리|서울특별시 강남구 논현로18길 10-19 (개포동)|개포동|-
인테리어|금성인테리어|서울특별시 강남구 삼성로 151 (대치동, 선경아파트)|선경아파트상가 B1|025541367
커피전문점|금성커피|서울특별시 강남구 도곡로3길 22 (역삼동)|1층|-
부동산중개업|금성파라곤공인중개사사무소|서울특별시 강남구 학동로 338 (논현동, 강남파라곤)|S동 B102호|34480087
창작예술품|금속공예화랑 갤러리오|서울시 강남구 압구정로 29길 72-1|A-1-3호|-
화장품피부관리|금송이오후의테라피|서울특별시 강남구 논현로119길 24 (논현동)|101호|025445355
한식|금수강산|서울특별시 강남구 삼성로92길 27 (삼성동)|1층|-
일반음식점|금식당|서울특별시 강남구 선릉로161길 22(신사동)|지하 금식당|07047993604
중식|금용|서울시 강남구 선릉로112길 46|(삼성동)|0234443336
의복 액세서리 및 모조 장신구 도매업|금은빵|서울특별시 강남구 논현로151길 41,|1층 101호 (신사동)|020000000
한의원|금초한의원|서울특별시 강남구 도곡로 441 (대치동)|1층 금초한의원|025667533
주거용건물 임대업|금춘화|서울특별시 강남구 개포로110길 50 (일원동, 래미안 루체하임)|104동 2401호|-
커피 전문점|금커피 별빙수|서울특별시 강남구 논현로67길 32 (역삼동)|1층 104호|025537009
커피 전문점|금커피별빙수|서울특별시 강남구 봉은사로37길 43(논현동)|지상1층|-
부동산중개|금탑공인중개사사무소|서울특별시 강남구 삼성로 212 (대치동, 은마아파트)|B-109호|025082255
부동산중개업|금탑부동산|서울특별시 강남구 일원로3길 28 (일원동)|일원동 1층 금탑부동산|024458089
한복|금홍|서울특별시 강남구 학동로88길 5 (삼성동, 진흥아파트)|진흥상가 7|025451053
중식|금홍 짬뽕|서울시 강남구 논현로149길 35|금홍짬뽕(논현동, 동보빌딩)|025166224
영어교육|긍정영어교습소|서울특별시 강남구 도곡로 413 (대치동, 삼환 SO GOOD)|102호|025154149
족발|기대만족본점|서울특별시 강남구 강남대로118길 37 (논현동)|지하|025460717
베이커리|기로베이커리카페|서울특별시 강남구 선릉로69길 7 (역삼동)|지하1층 기로베이커리카페|025656649
미술교습|기린과파렛트미술교습소|서울특별시 강남구 헌릉로570길 30 (세곡동)|프로데코 세곡 301호|0222073111
캐비닛,일반가구|기린인테리어|서울시 강남구 학동로4길 24(논현동)|1층|025119001
전기, 철물 재료|기린인테리어|서울특별시 강남구 선릉로 107길 25|1층|025685948
일식|기무|서울특별시 강남구 논현로 333 (역삼동)|지상1층|-
커피숍|기무스|서울특별시 강남구 학동로6길 19 (논현동)|기무스샌드위치|025476699
가구 인테리어|기분좋은 가구 침구|서울특별시 강남구 선릉로 301 (역삼동)|865-28|025673681
네일아트|기분좋은네일|서울특별시 강남구 역삼로 306 (역삼동, 개나리 래미안)|제상가동 제2층 202호|0264046740
의류, 잡화|기빙플러스 수서점|서울특별시 강남구 광평로 280 (수서동)|제지하2층 117-1호(수서동, 로즈데일빌딩)|024510231
일반음식|기쁜우리좋은날|서울특별시 강남구 헌릉로569길 21-30 (세곡동)|106호|0234110274
양약 담배 의약품 의료용품|기쁨약국|서울특별시 강남구 개포로 228 (개포동)|1층|025741087
분식|기쁨이네 분식|서울 강남구 밤고개로34길 4|세곡상가 3블럭 내 점포5호 (세곡동)|024450921
치과병원|기쁨정원치과병원|서울특별시 강남구 밤고개로1길 10 (수서동, 수서현대벤쳐빌)|3층 315호|025682879
약국|기쁨주는약국|서울특별시 강남구 광평로 281 (수서동)|효성노틸러스빌딩2층|0261813933
한식|기세기|서울특별시 강남구 강남대로118길 8 (논현동)|1층|-
일반음식|기세끼|서울특별시 강남구 강남대로152길 42 (신사동)|지하1층|025414577
개인맞춤양장, 의류, 구두, 악세사리, 전자상거래업|기센|서울특별시 강남구 논현로153길 62 (신사동)|B01|025183704
일식|기소야|서울시 강남구 테헤란로87길58|지하2층A16호|0234668456
한의원|기운드림한의원|서울특별시 강남구 도곡로 408 (대치동)|408호 (대치동 디마크 빌딩)|0234110555
자동차전문수리|기은오토플랜|서울특별시 강남구 논현로18길 23 (개포동)|기은오토플랜|025793517
수산물 (대게판매)|기장올바른대게 강남점|서울특별시 강남구 도산대로 176(논현동)|1층 102호 (논현동, 대광빌딩)|025479113
전자상거래 소매업|기주헬스앤라이프|서울특별시 강남구 테헤란로25길 6-9 (역삼동)|510호|-
한식 일반 음식점업|기찬메밀|서울특별시 강남구 선릉로112길 50, 지하1층 (삼성동)|기찬메밀|020000000
음악학원|기타와드럼|서울특별시 강남구 개포로82길 13-17 (개포동)|대화빌딩 3층 기타와드럼|0234112597
조리 반찬류 소매업|기호(KIHO)|서울특별시 강남구 학동로 323, 지하2층 B202호 (논현동)|기호(KIHO)|020000000
건강기능식품|기호식품주식회사|서울특별시 강남구 도산대로53길 13 (신사동)|1층|0220397861
인터넷pc방,만화방|긱스타 피씨 카페|서울특별시 강남구 선릉로93길 18 (역삼동)|신성프라자 지하 1층 긱스타피씨카페|07040159033
한식|길농원|서울특별시 강남구 테헤란로108길 28 (대치동)|길농원|025533384
김밥 및 기타 간이 음식점업|길동우동|서울특별시 강남구 강남대로118길 12, 1층 104호 (논현동, 부경빌딩)|길동우동|020000000
한식 일반 음식점업|길동우동 신사역점|서울특별시 강남구 강남대로 594 (논현동)|지상1층|-
기타음식|길버트버거|서울특별시 강남구 도산대로15길 47(신사동)|지하1층|025465453
미술학원|길샘미술학원|서울특별시 강남구 강남대로84길 8 (역삼동)|5층 길샘미술학원|025690815
경인쇄|길성사|서울시 강남구 테헤란로 322|1층 123호|025617077
카센터|길우사|서울특별시 강남구 강남대로122길 23 (논현동)|1층 길우사|025484747
한식 일반 음식점업|김가네|서울특별시 강남구 강남대로150길 12 (논현동)|김가네|020000000
분식|김가네|서울특별시 강남구 논현로150길 37 (논현동)|1층|025421219
분식|김가네|서울특별시 강남구 언주로 313 (역삼동)|1층  6-가호  김가네|0234251717
분식 김밥집|김가네|서울특별시 강남구 영동대로 211 (대치동)|1층김가네|025561511
단일식|김가네 개포2호점|서울특별시 강남구 선릉로6길 9 (개포동)|1층|-
분식|김가네 김밥|서울시 강남구 논현로28길 27|신우빌딩, 101호|0220571677
김밥|김가네 김밥|서울특별시 강남구 일원로5길 24 (일원동)|1층|0222263151
김밥 및 기타 간이 음식점업|김가네 압구정점|서울특별시 강남구 논현로171길 15 카로시티1 1층102호 김가네압구정점|김가네 압구정점|020000000
김밥 및 기타 간이 음식점업|김가네김밥|서울특별시 강남구 선릉로 713 1층 김가네김밥|김가네김밥|020000000
분식|김가네김밥|서울특별시 강남구 압구정로2길 53 (신사동)|1층|025114832
분식|김가네김밥|서울특별시 강남구 압구정로50길 7 (신사동)|지상1층15호|025430050
김밥 및 기타 간이 음식점업|김가네김밥|서울특별시 강남구 학동로101길 33 청담상가105호 김가네김밥|김가네김밥|020000000
분식|김가네김밥 수서역점|서울특별시 강남구 광평로 280(수서동,로즈데일오피스텔)|지하 2층 3호 김가네김밥 수서역점|0222263000
분식|김가네김밥테헤란로점|서울시 강남구 대치동 942-13|102|025555998
한식 일반 음식점업|김가네순대국|서울특별시 강남구 강남대로42길 31 지하|김가네순대국|020000000
한식|김가면옥|서울시 강남구 언주로 98길 9|1층(역삼동)|025014993
한식|김가솜씨|서울특별시 강남구 강남대로128길 38 (논현동)|1층|025189466
음악학원|김강산 댄스 스튜디오|서울특별시 강남구 선릉로161길 11 종빌딩 4층 김강산 댄스스튜디오|김강산 댄스 스튜디오|020000000
한의원|김건웅한의원|서울특별시 강남구 학동로 423 (청담동)|청우빌딩 205호|025441236
식료품소매업|김경애떡방|서울특별시 강남구 삼성로 212|1층 은마상가지하 에이블럭 38-1호2호|025576464
부동산중개업|김경화공인중개사사무소|서울특별시 강남구 선릉로6길 17 (개포동)|1층 102호(개포동)|025758955
정신과|김계희 정신건강의학과의원|서울특별시 강남구 테헤란로 101 (역삼동)|이즈타워13층 1301호|025566300
치킨|김군네 통닭집|서울특별시 강남구 학동로101길 15 (청담동)|1층 김군네통닭집|025489285
치킨|김군네통닭집|서울특별시 강남구 논현로150길 24 (논현동)|1층|025449285
임대|김금숙|서울특별시 강남구 언주로 313 (역삼동)|106호. 나호|025548239
일반 교과학원|김기수국어대한교육학원|서울특별시 강남구 선릉로62길 39 (대치동)|2층 일부(202호)|0264942529
미용업|김나현 헤어|서울특별시 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)|107호|025566725
일식|김남완초밥|서울시 강남구 테헤란로 20길 19|102호|025631230
치과|김능세치과의원|서울특별시 강남구 선릉로 654 (삼성동)|예인빌딩 2층 김능세치과의원|025459581
커피|김대기커피스쿨|서울시 강남구 역삼로83길 22|1층 101호|07044150200
퍼스널트레이닝|김대현피티스튜디오|서울특별시 강남구 도산대로51길 33 (신사동)|지하1층 김대현피티스튜디오|0269523558
초등 중등 영어|김도현뉴미디어영어학원|서울특별시 강남구 선릉로 340 (대치동)|6층 김도현 뉴미디어 영어학원|-
한식|김돈이|서울시 강남구 학동로 443|지하1층|0234445123
한식|김돈이|서울특별시 강남구？봉은사로33길 13？(논현동)|1층 101호|025426263
공인회계사|김동수세무회계사무소|서울특별시 강남구 강남대로132길 27 (논현동)|까사솔 102호|025493709
한식 일반 음식점업|김동진장호왕곱창|서울특별시 강남구 삼성로84길 15 (대치동, 지하1층)|김동진장호왕곱창|020000000
한식|김둘레순대국선릉점|서울특별시 강남구 테헤란로43길 19 (역삼동)|성지빌딩1층|025555494
제과점|김록훈베이커리|서울시 강남구 도산대로8길 23|1층2호|025817795
휴게음식|김말자김밥|서울특별시 강남구 학동로 342 (논현동)|302호|0230149228
세무사|김명수세무회계사무소|서울특별시 강남구 삼성로 550 (삼성동)|303호(삼성동,은성빌딩)|025662003
한식|김명자 낙지마당|서울시 강남구 논현로 56, 1층 (개포동)|1층|-
한식 일반 음식점업|김명자굴국밥삼성3호점|서울특별시 강남구 삼성로96길 9 (삼성동, 대린빌딩)|지하1층|025696540
미요멉|김미덕미욤실|서울특별시 강남구 학동로101길 26 (청담동)|삼익쇼핑153호|025126223
세무사|김미라세무회계사무소|서울특별시 강남구 삼성로 755 (청담동)|금성빌딩3층|025182838
한식|김미영앤드집밥|서울시 강남구 역삼로 519|1층|025017420
미용업|김미영헤어샵|서울시 강남구 영동대로112길 61|김미영헤어샵|025477469
일반의원|김미진  내과의원|서울특별시 강남구 역삼로 306 (역삼동, 개나리래미안)|4층 404-406호|025681312
미용|김민지헤어샵|서울시 강남구 개포로303|202호 현대1차상가|0234611331
김밥,고로케|김밥, 고로케 귀신|서울특별시 강남구 선릉로 312|지상1층 10호(대치동)|-
분식, 한식|김밥까페 압구정점|서울특별시 강남구 도산대로35길 46 (신사동, 리갈팰리스)|1층105호|0234422023
분식|김밥나라|서울특별시 강남구 강남대로120길 40 (논현동)|1층|025477270
분식|김밥대학|서울특별시 강남구 논현로16길 17|1층 104호|025728874
음식|김밥마을|서울특별시 강남구 양재대로33길 21 (일원동)|1층  김밥마을|0234122692
간이음식|김밥세상25|서울시 강남구 광평로51길 8|104호|024456070
한식 일반 음식점업|김밥월드 본점|서울특별시 강남구 논현로71길 21, 지상1층 (역삼동)|김밥월드 본점|020000000
김밥 및 기타 간이 음식점업|김밥월드 언주역점|서울특별시 강남구 언주로107길 22, 1층 (역삼동)|김밥월드 언주역점|020000000
분식|김밥천국|서울시 강남구 남부순환로378길 14|김밥천국|025726038
분식|김밥천국|서울시 강남구 역삼로 521|대치동|025530219
일반조리판매|김밥천국|서울특별시 강남구 개포로 225-2 (개포동)|1층|025771848
간이음식업|김밥천국|서울특별시 강남구 논현로 841 (신사동)|제이비미소빌딩 101호|0234485009
김밥 및 기타 간이 음식점업|김밥천국|서울특별시 강남구 밤고개로1길 10 10 17-8|김밥천국|020000000
한식|김밥천국|서울특별시 강남구 삼성로 238 (대치동)|1층|5568482
일반음식점|김밥천국|서울특별시 강남구 역삼로 143 (역삼동)|102호|025533236
한식|김밥천국|서울특별시 강남구 역삼로 143 (역삼동)|102호|025533236
한식|김밥천국|서울특별시 강남구 테헤란로77길 6 (삼성동)|1층 김밥천국|025571990
분식|김밥천국|서울특별시 강남구 테헤란로83길 14 (삼성동)|삼성역두산위브센티움 지상1층 103|025669322
김밥 및 기타 간이 음식점업|김밥천국|서울특별시 강남구 테헤란로88길 10 (대치동, 지상1층 106호)|김밥천국|020000000
분식|김밥천국 강남구청역점|서울특별시 강남구 학동로 342 (논현동)|지상1층 104호|30149696
분식|김밥천국대치역점|서울특별시 강남구 삼성로 155 (대치동)|대치퍼스트빌딩 1층 123호 김밥천국|025549662
분식|김밥킹자곡점|서울특별시 강남구 자곡로 192 (자곡동)|107호 1층|024459595
독일어학원 서적 유학원|김범식독일어학원|서울특별시 강남구 테헤란로 119 (역삼동)|9층 김범식독일어학원|025527937
세무사|김병기세무회계사무소|서울특별시 강남구 도곡로 231 (역삼동)|성보빌딩 301호|025649364
치과의원|김병찬치과의원|서울특별시 강남구 압구정로 224 (신사동)|2층 203호|025441220
단과학원|김보겸수학전문학원|서울특별시 강남구 자곡로 114 (자곡동)|404호(자곡동)|0234146004
필라테스|김보경필라테스|서울특별시 강남구 압구정로 461 (청담동)|네이쳐포엠 205호|-
미용|김복용헤어아트|서울시 강남구 남부순환로 359길16|김복용헤어아트|0234612948
김치볶음밥전문점|김볶키친|서울특별시 강남구 봉은사로25길 24 (논현동)|1층 김볶키친|025117933
한식|김봉남 포장마차|서울특별시 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)|101호|025419292
일반음식점|김봉남포장마차 가로수길근처점|서울특별시 강남구 도산대로17길 12(신사동)|1층 김봉남포장마차 가로수길근처점|0232179292
한식 일반 음식점업|김봉남포차 영동시장점|서울특별시 강남구 봉은사로1길 32|1층 김봉남포차영동시장점|0200000000
점포|김봉수부동산|서울특별시 강남구 삼성로 155 (대치동)|319,320호|025551520
신경정신과|김봉수의원|서울특별시 강남구 삼성로 155 (대치동)|319,320호|025551520
심리상담|김봉수학습클리닉|서울특별시 강남구 삼성로 155 (대치동)|319호|025551520
주택임대|김부임|서울특별시 강남구 개포로110길 21 (일원동, 현대4차아파트)|현대4차현대211|-
한식|김북순큰남비집|서울특별시 강남구 압구정로2길 15|1층|025439024
부동산중개업|김성민공인중개사무소|서울특별시 강남구 강남대로112길 12 (논현동)|1층|-
일반 교과학원|김성은영어학원|서울특별시 강남구 봉은사로67길 30, 2층 (삼성동)|김성은영어학원|020000000
치과의원|김성훈치과의원|서울특별시 강남구 선릉로86길 31 (대치동)|롯데골드로즈 2차 2층 201호|0220382805
심리치료|김성희음악치료연구소|서울특별시 강남구 역삼로 546 (대치동)|덕일빌딩 402호|025580417
미용실|김성희헤어몬드|서울특별시 강남구 역삼로15길 6 (역삼동)|101호 김성희헤어몬드|025011325
바둑교습소|김수용프로바둑교습소|서울특별시 강남구 삼성로 212 (대치동, 은마아파트)|은마상가 B316호|025550421
미용|김수진미용실|서울특별시 강남구 역삼로52길 14 (역삼동)|204|025664221
온라인 교육학원|김승국통역학원|서울특별시 강남구 테헤란로4길 38-4,|4층 (역삼동)|020000000
일반미용업|김승미헤어|서울특별시 강남구 선릉로130길 56 (삼성동)|동서상가 1층|025467550
피부미용|김시안에스테틱|서울특별시 강남구 강남대로120길 30(논현동)|202호|0269250452
기타 미용업|김쌤 네일살롱|서울특별시 강남구 역삼로 555 김쌤네일살롱|김쌤 네일살롱|020000000
한식 일반 음식점업|김앤유특산품요리|서울특별시 강남구 도곡로3길 20-10, 1층 101호 (역삼동)|김앤유특산품요리|020000000
일반 교과학원|김앤홍영어|서울특별시 강남구 테헤란로10길 38, 102호 (역삼동)|김앤홍영어|020000000
제과점업|김영모과자점 강남구청점|서울특별시 강남구 선릉로126길 6 (삼성동)|지하1층|025415484
제과점|김영모과자점 대치점|서울특별시 강남구 남부순환로 2927 (대치동)|1층 108호,109호 지하1층B121(대치동,대치클래시아)|025687003
제과,빵 도소매|김영모과자점 도곡타워점|서울특별시 강남구 언주로30길 10 (도곡동)|1층|0234602005
세무사 부동산중개업|김영수세무회계사무소|서울특별시 강남구 언주로 122 (도곡동)|710호|025535134
한의원|김영신한의원|서울특별시 강남구 개포로 506 (개포동)|204호(청우빌딩)|0234111075
내과|김영찬내과|서울특별시 강남구 도산대로 333 (신사동)|케이플러스타워 5층 김영찬내과|0234448875
한식|김영희 강남동태찜 자곡점|서울특별시 강남구 자곡로 201|1층|-
한식|김영희 강남동태찜 자곡점|서울특별시 강남구 자곡로 201|상가동 101호,102호(일부), 104호 (자곡동, 강남 더샵 라르고)|024455227
