##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@놀부보쌈
놀부보쌈|전남화순점|||놀부보쌈|061-371-8800|전남 화순군 화순읍 만연로 126-1||예약가능;포장가능;배달가능;주차가능|11:30   24:30|||||놀부보쌈 전남화순점||||81018
놀부보쌈|전북고창점|||놀부보쌈|063-564-4567||전북 고창군 고창읍 681-145|예약불가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 전북고창점||||81018
놀부보쌈|전북김제점|||놀부보쌈|063-544-6868||전북 김제시 검산동 1069-6|예약불가능;포장가능;배달불가능;주차가능|10:00   22:00|||||놀부보쌈 전북김제점||||81018
놀부보쌈|전주덕진점|||놀부보쌈|063-255-5539||전북 전주시 덕진구 덕진동2가 681-4|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 전주덕진점|2층;2층|||81018
놀부보쌈|전주아중점|||놀부보쌈|063-245-6789||전북 전주시 덕진구 우아동1가 1089-3|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 전주아중점||||81018
놀부보쌈|정읍수성점|||놀부보쌈|063-532-5908||전북 정읍시 수성동 933-3|예약불가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 정읍수성점||||81018
놀부보쌈|조치원점|||놀부보쌈|044-866-5382|충남 연기군 조치원읍 행복 12길 3||예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 조치원점||||81018
놀부보쌈|종로5가점|||놀부보쌈|02-742-6979||서울 종로구 인의동 28-6|예약불가능;포장가능;배달불가능;주차불가능|11:00   22:00|||||놀부보쌈 종로5가점||||81018
놀부보쌈|중화산점|||놀부보쌈|063-227-4314||전북 전주시 완산구 중화산동2가 533-8|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 중화산점||||81018
놀부보쌈|증미역점|||놀부보쌈|02-3665-1300||서울 강서구 염창동 240-21|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 증미역점|311호;311호|||81018
놀부보쌈|창원내서점|||놀부보쌈|055-253-5382||경남 마산시 내서읍 407|예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 창원내서점||||81018
놀부보쌈|창원점|||놀부보쌈|055-284-0788||경남 창원시 용호동 73-49|예약가능;포장가능;배달가능;주차불가능|11:00   23:00|||||놀부보쌈 창원점|창원오피스텔 205호;창원오피스텔 205호|||81018
놀부보쌈|천안신불당점|||놀부보쌈|041-522-3555|충청남도 천안시 서북구 불당19로 95||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 천안신불당점|201호;201호|||81018
놀부보쌈|천안쌍용점|||놀부보쌈|041-579-1588||충남 천안시 서북구 쌍용동 435-4|예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 천안쌍용점||||81018
놀부보쌈|천안펜타포트점|||놀부보쌈|041-546-7805||충남 천안시 서북구 불당동 1289|예약불가능;포장가능;배달불가능;주차가능|11:00   22:00|||||놀부보쌈 천안펜타포트점|5층 16호,17호;5층 16호,17호|||81018
놀부보쌈|청주복대점|||놀부보쌈|043-236-1377|충청북도 청주시 흥덕구 진재로 90||예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 청주복대점||||81018
놀부보쌈|청주용암점|||놀부보쌈|043-293-8383||충북 청주시 상당구 용암동 1605|예약가능;포장가능;배달가능;주차가능|11:00   24:00|||||놀부보쌈 청주용암점|누리타워 1층 102;누리타워 1층 102|||81018
놀부보쌈|충남당진송산점|||놀부보쌈|041-354-0240|충청남도 당진시 송산면 송산로 785||예약가능;포장가능;배달가능;주차가능|10:00   23:00|||||놀부보쌈 충남당진송산점|1층 1호;1층 1호|||81018
놀부보쌈|충남태안점|||놀부보쌈|041-674-3118|충남 태안군 태안읍 군청8길 42-6||예약불가능;포장가능;배달가능;주차가능|10:00   23:00|||||놀부보쌈 충남태안점||||81018
놀부보쌈|충북감곡점|||놀부보쌈|043-882-5382||충북 음성군 감곡면 537-1|예약불가능;포장가능;배달가능;주차가능|11:00   22:30|||||놀부보쌈 충북감곡점|2층;2층|||81018
놀부보쌈|충북혁신도시점|||놀부보쌈|043-881-5383|충청북도 음성군 맹동면 원중로 1430||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 충북혁신도시점|203호;203호|||81018
놀부보쌈|충주점|||놀부보쌈|043-848-4199||충북 충주시 교현2동 613-10|예약가능;포장가능;배달가능;주차가능|11:00   24:00|||||놀부보쌈 충주점||||81018
놀부보쌈|통영죽림점|||놀부보쌈|055-642-7005|경남 통영시 광도면 죽림4로 41-11||예약불가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 통영죽림점||||81018
놀부보쌈|파주교하점|||놀부보쌈|031-941-6566|경기도 파주시 청석로 260||예약불가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 파주교하점|트리플메디칼타워 207;트리플메디칼타워 207|||81018
놀부보쌈|파주적성점|||놀부보쌈|031-958-5388||경기도 파주시 적성면 80-6|예약불가능;포장가능;배달불가능;주차가능|11:00   22:00|||||놀부보쌈 파주적성점||||81018
놀부보쌈|평촌오비즈타워점|||놀부보쌈|031-450-3688||경기 안양시 동안구 관양동 813|예약불가능;포장가능;배달가능;주차가능|11:00   10:00|||||놀부보쌈 평촌오비즈타워점|오비즈타워 2층;오비즈타워 2층|||81018
놀부보쌈|평택팽성점|||놀부보쌈|031-652-5382|경기도 평택시 팽성읍 부용로55번길 13||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 평택팽성점|1층;1층|||81018
놀부보쌈|포항대이점|||놀부보쌈|054-272-4111|||예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 포항대이점||||81018
놀부보쌈|포항두호점|||놀부보쌈|054-231-7879|||예약불가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 포항두호점|(포항 북구 대곡로 55);(포항 북구 대곡로 55)|||81018
놀부보쌈|포항양덕점|||놀부보쌈|054-244-5382||경상북도 포항시 북구 양덕동 2038|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 포항양덕점||||81018
놀부보쌈|포항초곡점|||놀부보쌈|054-262-3385|경상북도 포항시 북구 흥해읍 초곡지구로58번길 52||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 포항초곡점|135동 510호;135동 510호|||81018
놀부보쌈|포항흥해점|||놀부보쌈|054-262-5382||경북 포항시 북구 흥해읍 남성리 250-5|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 포항흥해점|1층;1층|||81018
놀부보쌈|현풍테크노점|||놀부보쌈|053-616-5325||대구 달성군 유가면 봉리 615|예약가능;포장가능;배달불가능;주차가능||||||놀부보쌈 현풍테크노점||||81018
놀부보쌈|화랑대역점|||놀부보쌈|02-971-6007||서울 노원구 공릉동 89-1|예약가능;포장가능;배달가능;주차가능|11:30   23:00|||||놀부보쌈 화랑대역점|대덕프라자2층 202,203호;대덕프라자2층 202,203호|||81018
놀부보쌈|화성동탄산업단지점|||놀부보쌈|031-377-6848||경기 화성시 동탄면 방교리 829-4|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 화성동탄산업단지점|센터프라자 202호;센터프라자 202호|||81018
놀부보쌈|화성조암점|||놀부보쌈|031-351-1030||경기도 화성시 우정읍 805-3|예약불가능;포장가능;배달불가능;주차가능|11:30   23:00|||||놀부보쌈 화성조암점|102호;102호|||81018
