##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@코넥스기업
파이널데이터||||코넥스기업|02-3438-6600|서울특별시 강남구 학동로 175||||||||파이널데이터|7층 (논현동,미디어센타빌딩)|||210203
파인이엠텍||||코넥스기업|031-447-2335|경기도 안양시 만안구 덕천로 38||||||||파인이엠텍|3층|||210203
판도라티비||||코넥스기업|070-4484-7100|경기도 성남시 분당구 대왕판교로644번길 49||||||||판도라티비|DTC타워 11층|||210203
펨토바이오메드||||코넥스기업|031-622-8501|경기도 성남시 분당구 판교로228번길 17||||||||펨토바이오메드||||210203
포레스팅블록체인||||코넥스기업|02-570-1905|서울특별시 송파구 정의로8길 13||||||||포레스팅블록체인|6층 (문정동)|||210203
포스코건설||||코넥스기업|054-223-6114|경상북도 포항시 남구 대송로 180||||||||포스코건설|(괴동동)|||210203
포앤티||||코넥스기업|031-458-2131|경기도 군포시 흥안대로 18번길 35||||||||포앤티|(금정동)|||210203
포인트엔지니어링||||코넥스기업|041-546-5131|충청남도 아산시 둔포면 아산밸리로 89||||||||포인트엔지니어링||||210203
프로테옴텍||||코넥스기업|02-6968-5277|서울특별시 강서구 양천로 401||||||||프로테옴텍|강서한강자이타워 A동 702호|||210203
플럼라인생명과학||||코넥스기업|02-3497-1840|서울특별시 서초구 방배로 285||||||||플럼라인생명과학|5층 (한샘방배)|||210203
피노텍||||코넥스기업|02-522-3558|서울특별시 서초구 양재천로9길 1||||||||피노텍|3층 (양재동,용두빌딩)|||210203
피엔아이컴퍼니||||코넥스기업|070-8610-5333|제주특별자치도 제주시 첨단로 245-2||||||||피엔아이컴퍼니||||210203
피엔에이치테크||||코넥스기업|031-8021-1890|경기도 용인시 기흥구 동백중앙로16번길 16-25||||||||피엔에이치테크|804호 (중동,대우프론티어밸리1단지)|||210203
피케이밸브||||코넥스기업|055-268-3777|경상남도 창원시 성산구 공단로 80||||||||피케이밸브|(신촌동)|||210203
피피아이||||코넥스기업|062-972-0116|광주광역시 북구 첨단과기로 345||||||||피피아이|(대촌동)|||210203
하나투어리스트||||코넥스기업|1577-1212|서울시 종로구 인사동5길 41||||||||하나투어리스트|(공평동)|||210203
하이투자증권||||코넥스기업|051-554-5111|부산시 동래구 온천장로 121||||||||하이투자증권|(온천동)|||210203
한국비엔씨||||코넥스기업|070-7116-0059|대구광역시 달서구 성서공단로11길 62||||||||한국비엔씨|(호산동) 대구테크노파크벤처공장 1호관 405호|||210203
한국우사회||||코넥스기업|054-370-8000|경북 청도군 화양읍 남성현로 348||||||||한국우사회||||210203
한국지네틱팜||||코넥스기업|031-835-7792|경기도 연천군 백학면 장백로 877||||||||한국지네틱팜||||210203
한중엔시에스||||코넥스기업|054-337-5050|경북 영천시 채신1공단길 53||||||||한중엔시에스||||210203
현대아산||||코넥스기업|02-3669-3838|강원도 고성군 현내면 화진포서길 10||||||||현대아산||||210203
효성캐피탈||||코넥스기업|1588-9688|서울시 서초구 반포대로 235||||||||효성캐피탈|(반포4동 63-7)|||210203
휘라포토닉스||||코넥스기업|062-600-0000|광주광역시 북구 첨단벤처소로38번길 11-5||||||||휘라포토닉스|(월출동)|||210203
휴럼||||코넥스기업|02-3281-3688|서울특별시 금천구 가산디지털2로 115||||||||휴럼|416호 (가산동,대륭테크노타운 3차)|||210203
휴벡셀||||코넥스기업|031-776-3690|경기도 성남시 중원구 사기막골로 124||||||||휴벡셀|101~105호 (상대원동,에스케이엔테크노파크 메가센터동)|||210203
IBK투자증권||||코넥스기업|02-6915-5000|서울 영등포구 국제금융로 6길 11||||||||IBK투자증권|(여의도동)|||210203
KBS미디어||||코넥스기업|02-6939-8045|서울특별시 마포구 매봉산로 45||||||||KBS미디어|(상암동)|||210203
KC산업||||코넥스기업|031-883-8684|경기도 여주시 가남읍 가남로 465||||||||KC산업||||210203
LPK로보틱스||||코넥스기업|032-341-1645|인천광역시 계양구 아나지로 402||||||||LPK로보틱스|(작전동)|||210203
LS전선||||코넥스기업|02-2189-9114|경기도 안양시 동안구 엘에스로 127||||||||LS전선|LS타워 (호계동)|||210203
SGA임베디드||||코넥스기업|070-7410-9319|서울특별시 송파구 법원로11길 25||||||||SGA임베디드|에이동 908호 (문정동,에이치비지니스파크)|||210203
SK건설||||코넥스기업|02-3499-2028|서울특별시 종로구 인사동7길 32||||||||SK건설|(관훈동)|||210203
TS트릴리온||||코넥스기업|02-785-8296|서울특별시 영등포구 양평로 96||||||||TS트릴리온|1층,6층,8층 (양평동4가,티에스빌딩)|||210203
