##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@골프장
진주||||골프장|055-758-0400|경남 진주시 진성면 진성로464번길 82||퍼블릭:18||||||진주|(구천리,진주 컨트리클럽)|||50206
창원||||골프장|055-288-4112|경남 창원시 의창구 대봉로 137||회원제:18||||||창원|(봉림동,(주)창원컨트리클럽)|||50206
천룡||||골프장|043-536-1007|충북 진천군 이월면 진안로 347-123||회원제:27;퍼블릭:9||||||천룡|(신계리,천룡컨트리클럽)|||50206
천안상록||||골프장|041-560-9001|충청남도 천안시 동남구 수신면 수신로 576||퍼블릭:27||||||천안상록||||50206
청평마이다스||||골프장|031-589-9000|경기 가평군 설악면 다락재로 73-111||회원제:18||||||청평마이다스|(이천리,청평마이다스골프장)|||50206
캐슬렉스||||골프장|02-480-5600||경기 하남시 감이동 260-1|회원제:18||||||캐슬렉스||||50206
캐슬렉스제주||||골프장|064-793-6688|제주특별자치도 서귀포시 안덕면 평화로 1241||회원제:18;퍼블릭:9||||||캐슬렉스제주||||50206
코리아||||골프장|031-334-7111||경기도 용인시 처인구 이동면 서리 784-7|회원제:27;퍼블릭:9||||||코리아||||50206
코스카||||골프장|043-870-1000|충북 음성군 음성읍 동음로 318||퍼블릭:27||||||코스카||||50206
큐로||||골프장|031-799-6000|경기 광주시 곤지암읍 오향길 180||퍼블릭:18||||||큐로|(오향리)|||50206
크라운||||골프장|064-784-4811|제주특별자치도 제주시 조천읍 북흘로 144||회원제:18;퍼블릭:9||||||크라운||||50206
크리스탈밸리||||골프장|031-589-5000|경기도 가평군 상면 대보간선로 602-111||회원제:18||||||크리스탈밸리||||50206
클럽모우||||골프장|033-439-9122|강원도 홍천군 서면 장락동길 111||퍼블릭:27||||||클럽모우||||50206
클럽비전힐스||||골프장|031-595-3355|경기 남양주시 화도읍 마치로 226-220||회원제:18||||||클럽비전힐스|(녹촌리,(주)비전힐스)|||50206
킹스데일||||골프장|043-870-4100|충북 충주시 주덕읍 기업도시3로 2||퍼블릭:18||||||킹스데일|(화곡리,킹스데일)|||50206
타미우스||||골프장|064-793-0707|제주특별자치도 제주시 애월읍 화전길 201||회원제:27||||||타미우스||||50206
타이거||||골프장|031-958-8900|경기도 파주시 파평면 술이홀로 1857-100||퍼블릭:18||||||타이거||||50206
태광||||골프장|1877-6001|경기도 용인시 기흥구 흥덕4로 77||회원제:27;퍼블릭:9||||||태광|(영덕동)|||50206
태릉||||골프장|02-970-7320|서울특별시 노원구 화랑로 574||회원제:18||||||태릉|(공릉동)|||50206
태안비치||||골프장|041-670-7000|충청남도 태안군 근흥면 갈음이길 77||회원제:18||||||태안비치||||50206
태인||||골프장|063-532-7200|전북 정읍시 태인면 상증길 6-22||퍼블릭:18||||||태인||||50206
테디밸리||||골프장|064-793-1000|제주특별자치도 서귀포시 안덕면 한창로 365||회원제:18||||||테디밸리||||50206
통도파인이스트||||골프장|055-370-1300|경남 양산시 하북면 신평남부길 78-130||회원제:36||||||통도파인이스트||||50206
티클라우드||||골프장|031-869-7770|경기 동두천시 평화로 3202||회원제:18||||||티클라우드|(하봉암동)|||50206
파가니카||||골프장|033-261-6556|강원 춘천시 남면 소주고개로 145-10||퍼블릭:18||||||파가니카|(후동리)|||50206
파미힐스||||골프장|054-971-9900|경북 칠곡군 왜관읍 봉계로 263||회원제:36||||||파미힐스|(매원리,파미힐스CC)|||50206
파인리즈||||골프장|1577-6399|강원도 고성군 토성면 잼버리동로 267||퍼블릭:27||||||파인리즈||||50206
파인밸리||||골프장|033-573-0874|강원도 삼척시 근덕면 미근로 1629||퍼블릭:18||||||파인밸리||||50206
파인비치||||골프장|061-530-7700|전라남도 해남군 화원면 시아로 224||퍼블릭:18||||||파인비치||||50206
파인스톤||||골프장|041-350-0124|충청남도 당진시 송산면 무수들길 90||퍼블릭:18||||||파인스톤||||50206
파인크리크||||골프장|031-672-0071|경기도 안성시 양성면 안성맞춤대로 2417-13||퍼블릭:27||||||파인크리크||||50206
파인힐스||||골프장|061-750-9000|전라남도 순천시 주암면 송광사길 99||퍼블릭:27||||||파인힐스||||50206
파주||||골프장|031-959-9999|경기도 파주시 법원읍 화합로 306||퍼블릭:18||||||파주||||50206
팔공||||골프장|053-982-8080~5|대구시 동구 팔공산로 237길 186||회원제:18||||||팔공||||50206
88||||골프장|031-287-8811/~6|경기 용인시 기흥구 석성로521번길 169||회원제:36||||||88|(청덕동,88컨트리클럽)|||50206
페럼||||골프장|031-887-7000|경기 여주시 점동면 점동로 181||퍼블릭:18||||||페럼|(사곡리)|||50206
포천아도니스||||골프장|031-530-9100|경기도 포천시 신북면 포천로 2499||회원제:27;퍼블릭:9||||||포천아도니스||||50206
포천힐스||||골프장|031-538-7000|경기도 포천시 군내면 반월산성로375번길 34||퍼블릭:27||||||포천힐스||||50206
푸른솔포천||||골프장|031-850-3000|경기도 포천시 가산면 금우로 276||퍼블릭:27||||||푸른솔포천||||50206
프리스틴밸리||||골프장|031-589-2000|경기도 가평군 설악면 유명로 1243-199||회원제:18||||||프리스틴밸리||||50206
프린세스||||골프장|041-851-6300|충청남도 공주시 정안면 방자들길 81-50||퍼블릭:18||||||프린세스||||50206
플라자CC/설악||||골프장|033-630-5511|강원 속초시 미시령로2983번길 111||회원제:18||||||플라자CC 설악|(장사동)|||50206
플라자CC/용인||||골프장|031-332-1122|경기도 용인시 처인구 남사면 봉무로153번길 79||회원제:36||||||플라자CC 용인||||50206
플레이어스||||골프장|033-250-5000|강원 춘천시 동산면 새술막길 438||퍼블릭:27||||||플레이어스|(군자리)|||50206
핀크스||||골프장|064-792-5200|제주특별자치도 서귀포시 안덕면 산록남로 863||회원제:18;퍼블릭:9||||||핀크스|(상천리)|||50206
필로스||||골프장|031-531-2003|경기 포천시 일동면 운악청계로 1507||퍼블릭:27||||||필로스|(기산리)|||50206
하이원||||골프장|033-590-7300|강원도 정선군 고한읍 고한7길 399||퍼블릭:18||||||하이원||||50206
한라산||||골프장|064-754-5678|제주특별자치도 제주시 선돌목동길 56-70||퍼블릭:18||||||한라산||||50206
한성||||골프장|031-284-3831/~6|경기 용인시 기흥구 구교동로 151||회원제:27||||||한성|(마북동,한성컨트리클럽)|||50206
한양||||골프장|031-969-0810|경기 고양시 덕양구 고양대로1643번길 164||회원제:36||||||한양|(원당동)|||50206
한원||||골프장|031-373-7111/~4|경기도 용인시 처인구 남사면 전나무골길2번길 94||회원제:27||||||한원||||50206
함평엘리체||||골프장|061-320-7800|전남 함평군 학교면 서당매길 242||퍼블릭:27||||||함평엘리체||||50206
해비치(서울)||||골프장|031-579-3000|경기도 남양주시 화도읍 재재기로190번길 160||회원제:18||||||해비치(서울)||||50206
해비치(제주)||||골프장|064-766-6220|제주특별자치도 서귀포시 남원읍 원님로399번길 319||회원제:18;퍼블릭:18||||||해비치(제주)||||50206
해슬리나인브릿지||||골프장|031-887-9900|경기 여주시 명품1로 76||회원제:18||||||해슬리나인브릿지|(연라동)|||50206
해운대||||골프장|051-726-8000|부산광역시 기장군 정관면 병산2로 265||회원제:27||||||해운대||||50206
해운대비치||||골프장|051-726-0707|부산광역시 기장군 기장읍 대변로 74||회원제:18||||||해운대비치|(해운대비치 골프앤리조트)|||50206
해피니스||||골프장|061-330-5000|전라남도 나주시 다도면 다도로 171-60||회원제:18;퍼블릭:9||||||해피니스||||50206
화산||||골프장|031-329-7114|경기도 용인시 처인구 이동면 화산로 239||회원제:18||||||화산|(화산리,화산C.C)|||50206
화성상록||||골프장|031-371-0100|경기 화성시 풀무골로60번길 80||퍼블릭:27||||||화성상록|(중동)|||50206
화순||||골프장|061-371-0900|전남 화순군 도곡면 천태로 1000-151||회원제:27||||||화순||||50206
화순엘리체||||골프장|061-373-5511|전남 화순군 춘양면 장곡길 55||회원제:18||||||화순엘리체||||50206
휘닉스평창||||골프장|1577-0755|강원도 평창군 봉평면 태기로 227-84||회원제:18;퍼블릭:6||||||휘닉스평창|일원|||50206
휘슬링락||||골프장|070-8121-0100|강원 춘천시 남산면 동촌로 501||회원제:27||||||휘슬링락|(행촌리,휘슬링락CC)|||50206
힐드로사이||||골프장|033-439-3300|강원 홍천군 남면 한서로 2840||퍼블릭:18||||||힐드로사이|(화전리)|||50206
