##NAME|TYPE|SUBNAME|TELNUM|ADDR|FATHER|SOURCE2@@교회
별양교회|합동||02-504-0070|경기도 과천시 별양동 6-1|한재희 목사|한국컴퓨터선교회
삼포교회|기감||02-504-1999|경기도 과천시 주암동 247|임대성 목사|한국컴퓨터선교회
새과천교회|개혁합신||02-503-0389|경기도 과천시 원문동 3|김윤기 목사|한국컴퓨터선교회
생명교회|합동보수B||02-504-5062|경기도 과천시 부림동 14-11|김창현 목사|한국컴퓨터선교회
선바위교회|통합||02-507-5847|경기도 과천시 과천동 365-2|장천익 목사|한국컴퓨터선교회
시온성교회|기감||02-502-9694|경기도 과천시 과천동 379-21|윤명훈 목사|한국컴퓨터선교회
아세아선교교회|오순절||02-867-8333|경기도 과천시 과천동 1004-305|이혜숙 목사|한국컴퓨터선교회
영광교회|기장||02-502-5152|경기도 과천시 별양동 13 병원B/D|신요섭 목사|한국컴퓨터선교회
영광교회|합동정신||02-503-4209|경기도 과천시 별양동 20-6|이문의 목사|한국컴퓨터선교회
예수의작은교회|합동정통||02-502-3918|경기도 과천시 과천동 451-1|정선자 목사|한국컴퓨터선교회
은천교회|기침||02-504-1004|경기도 과천시 중앙동 주공1단지 종합상가|이진석 목사|한국컴퓨터선교회
주암교회|통합||02-503-4583|경기도 과천시 주암동 18-11|장순자 목사|한국컴퓨터선교회
한백교회|기장||02-503-0355|경기도 과천시 별양동 1-4|김진호 목사|한국컴퓨터선교회
한샘교회|개혁합신||02-504-2330|경기도 과천시 별양동 주공A|김재성 목사|한국컴퓨터선교회
황금교회|통합||02-504-2492|경기도 과천시 과천동 산43-1|강인자 목사|한국컴퓨터선교회
가성교회|개혁||02-681-2475|경기도 광명시 광명6동 348-20|김영릉 목사|한국컴퓨터선교회
가은교회|기장||02-895-1203|경기도 광명시 하안동2단지 681-4교육문화센터4층|정언용 목사|한국컴퓨터선교회
가학교회|합동||02-689-9125|경기도 광명시 가학동 1023|박용주 목사|한국컴퓨터선교회
갈릴리교회|합동||02-685-0647|경기도 광명시 광명동 732-1|황인규 목사|한국컴퓨터선교회
갈보리교회|기침||02-892-1335|경기도 광명시 하안동 상업지구 3-9|이근선 목사|한국컴퓨터선교회
강성교회|합동정통||02-898-5609|경기도 광명시 소하2동 903-2|강형석 목사|한국컴퓨터선교회
개명교회|합동||02-617-1101|경기도 광명시 철산2동 79|송기일 목사|한국컴퓨터선교회
개봉교회|기감||02-685-4419|경기도 광명시 광명동 112-9|최기순 목사|한국컴퓨터선교회
개봉교회|기성||02-612-2418|경기도 광명시 광명5동 172-1|계성철 목사|한국컴퓨터선교회
개봉성민교회|통합||02-899-6508|경기도 광명시 소하2동 913-3|송형종 목사|한국컴퓨터선교회
거성교회|합동정통||02-625-6332|경기도 광명시 철산1동 56-151|배왕건 목사|한국컴퓨터선교회
경천교회|합동보수C||02-681-9226|경기도 광명시 광명3동 105-13|이광호 목사|한국컴퓨터선교회
계명성교회|기장||02-619-5790|경기도 광명시 광명6동 759-5|고완철 목사|한국컴퓨터선교회
광남교회|통합||02-682-3029|경기도 광명시 노온사동 576-9|신태의 목사|한국컴퓨터선교회
광명교회|통합||02-686-6295|경기도 광명시 철산동 554|김만중 목사|한국컴퓨터선교회
광명교회|기감||02-899-8936|경기도 광명시 소하2동 883-6|이원형 목사|한국컴퓨터선교회
광명교회|합동총회||02-615-1876|경기도 광명시 광명2동 45-9|박태열 목사|한국컴퓨터선교회
광명교회|기장||02-612-4500|경기도 광명시 광명7동 304-12|고명수 목사|한국컴퓨터선교회
광명교회|기성||02-897-7529|경기도 광명시 하안1동 598-8|이광훈 목사|한국컴퓨터선교회
광명교회|성공회||02-2686-0091|경기 광명시 노온사동 373-1|고영돈 목사|한국컴퓨터선교회
광명갈릴리교회|대신||02-684-8901|경기도 광명시 하안동 주공4단지고층A상가1|황치준 목사|한국컴퓨터선교회
광명남부교회|통합||02-681-0473|경기도 광명시 가학동 869|황종협 목사|한국컴퓨터선교회
광명동산교회|합동정통||02-897-1487|경기도 광명시 하안1동 597-11|조상호 목사|한국컴퓨터선교회
광명만민교회|대신||02-683-0914|경기도 광명시 광명1동 12-162|최동준 목사|한국컴퓨터선교회
광명사랑의교회|기침||02-617-0209|경기도 광명시 철산동 441|박성규 목사|한국컴퓨터선교회
광명서광교회|합동||02-689-0115|경기도 광명시 광명4동 158-777|송영식 목사|한국컴퓨터선교회
광명성산교회|합동||02-613-8273|경기도 광명시 광명1동 서능연립102|신완균 목사|한국컴퓨터선교회
광명소망교회|합동통합||02-684-0132|경기도 광명시 철산3동 472-30|송철육 목사|한국컴퓨터선교회
광명소하교회|그리스도||02-892-4103|경기도 광명시 소하1동 701-3|김덕순 목사|한국컴퓨터선교회
광명시민교회|기성||02-681-2805|경기도 광명시 광명동 751-1 형제B/D|임병환 목사|한국컴퓨터선교회
광명시온교회|합동||02-618-4993|경기도 광명시 광명2동 100-2|이정만 목사|한국컴퓨터선교회
광명양문교회|합동||02-808-9948|경기도 광명시 소하1동 706-15|정성기 목사|한국컴퓨터선교회
광명임마누엘교회|합동정통||02-686-5544|경기도 광명시 광명5동 226-2|손영래 목사|한국컴퓨터선교회
광명제일교회|기감||02-687-5506|경기도 광명시 광명6동 741-5|우병삼 목사|한국컴퓨터선교회
광명제일교회|고려||02-689-4754|경기도 광명시 광명1동 5-33|백준봉 목사|한국컴퓨터선교회
광명주님의교회|통합||02-612-1278|경기도 광명시 철산2동 255-1|지재봉 목사|한국컴퓨터선교회
광명중앙교회|기성||02-805-2056|경기도 광명시 하안동고충 주송A2단지종교부지3호|조남국 목사|한국컴퓨터선교회
광명중앙교회|통합||02-614-0198|경기도 광명시 광명7동 중앙A상가|이종엽 목사|한국컴퓨터선교회
광명중앙교회|합동보수B||02-618-5121|경기도 광명시 철산4동 66-8|임봉천 목사|한국컴퓨터선교회
광명중앙교회|합동개혁B||02-612-1959|경기도 광명시 광명4동 49-82|임정웅 목사|한국컴퓨터선교회
광림교회|합동정통||02-687-9588|경기도 광명시 광명동 158-373|김태희 목사|한국컴퓨터선교회
광문교회|대신||02-688-4256|경기도 광명시 광명6동 324-20|노흥래 목사|한국컴퓨터선교회
광민교회|합동||02-618-7833|경기도 광명시 광명6동 320-25|유재석 목사|한국컴퓨터선교회
광복교회|기침||02-685-0818|경기도 광명시 광명3동 136-11|김정원 목사|한국컴퓨터선교회
광복교회|기성||02-611-4891|경기도 광명시 광명1동 5-28|최경수 목사|한국컴퓨터선교회
광복교회|개혁||02-614-5249|경기도 광명시 광명2동 45-9|박태열 목사|한국컴퓨터선교회
광석교회|대신||02-803-3135|경기도 광명시 하안동 3-18 인서B/D|남용철 목사|한국컴퓨터선교회
광성교회|대신||02-613-0539|경기도 광명시 하안동 765|조건해 목사|한국컴퓨터선교회
광성중앙교회|합동정통||02-614-2446|경기도 광명시 철산동 58 우성A|고석균 목사|한국컴퓨터선교회
광은교회|합동정통||02-681-1090|경기도 광명시 광명5동 288-127|김한배 목사|한국컴퓨터선교회
광일교회|개혁||02-617-1004|경기도 광명시 광명1동 10-27|장영광 목사|한국컴퓨터선교회
광일교회|기성||02-685-3678|경기도 광명시 광명6동 353-4|정수철 목사|한국컴퓨터선교회
광천교회|합동중앙||02-686-9472|경기도 광명시 광명1동 12-15|서금자 목사|한국컴퓨터선교회
광천교회|고려||02-686-1473|경기도 광명시 광명6동 739|허호성 목사|한국컴퓨터선교회
구름산교회|기장||02-807-4584|경기도 광명시 소하1동 209-8|권의구 목사|한국컴퓨터선교회
군인교회|호헌||02-686-3519|경기도 광명시 철산2동 213-3|하태륜 목사|한국컴퓨터선교회
극동교회|합동보수C||02-689-9050|경기도 광명시 광명2동 104-2 세종B/D|노양섭 목사|한국컴퓨터선교회
기둥교회|개혁||02-757-2942|경기도 광명시 광명7동 301-103|선맹기 목사|한국컴퓨터선교회
나눔교회|기침||02-808-6936|경기도 광명시 하안동 중심상업지구2-7|김지선 목사|한국컴퓨터선교회
나눔의교회|개혁||02-618-3697|경기도 광명시 광명7동 312|한성수 목사|한국컴퓨터선교회
남광교회|통합||02-892-0091|경기도 광명시 하안동 8단지 종교부지 8호|조재호 목사|한국컴퓨터선교회
남산교회|오순절||02-689-3416|경기도 광명시 광명3동 33-70|석동호 목사|한국컴퓨터선교회
늘기쁜교회|합동정통||02-687-7370|경기도 광명시 광명6동 7334-23|이명희 목사|한국컴퓨터선교회
늘사랑교회|통합||02-893-2867|경기도 광명시 하안동 상업업무지역 3-26 삼희빌딩|이용길 목사|한국컴퓨터선교회
늘샘교회|합동||02-806-3222|경기도 광명시 소하2동 1098|남무섭 목사|한국컴퓨터선교회
늘푸른교회|합동||02-681-5402|경기도 광명시 광명2동 51-13|이기훈 목사|한국컴퓨터선교회
능력의교회|합동||02-614-8375|경기도 광명시 광명7동 747-5|임순빈 목사|한국컴퓨터선교회
다사랑교회|기침||02-617-1400|경기도 광명시 철산동 367-2 한신A단지|유상채 목사|한국컴퓨터선교회
단비교회|통합||02-686-0226|경기도 광명시 광명6동 158-21|원창희 목사|한국컴퓨터선교회
대광교회|합동정통||02-899-4528|경기도 광명시 일직동 212|구영화 목사|한국컴퓨터선교회
대로교회|합동||02-892-2035|경기도 광명시 하안동 하안A809/702|김상훈 목사|한국컴퓨터선교회
대명교회|기침||02-613-3118|경기도 광명시 철산1동 56-21|전대하 목사|한국컴퓨터선교회
대양교회|통합||02-688-7076|경기도 광명시 광명4동 158-252|강재구 목사|한국컴퓨터선교회
대원교회|합동||02-612-0978|경기도 광명시 광명4동 158-669|김영민 목사|한국컴퓨터선교회
대은교회|합동정통||02-685-9887|경기도 광명시 광명2동 47-8|배경휘 목사|한국컴퓨터선교회
대흥교회|합동정통||02-616-2448|경기도 광명시 광명7동 743-2|하상진 목사|한국컴퓨터선교회
동산교회|합동||02-689-1032|경기도 광명시 철산2동 151 단독필지C호|최성용 목사|한국컴퓨터선교회
동산교회|개혁||02-615-3406|경기도 광명시 광명7동 41-248|국중춘 목사|한국컴퓨터선교회
동산교회|합동||02-858-0798|경기도 광명시 하안동 53현대빌딩|강수옥 목사|한국컴퓨터선교회
동성교회|합동||02-681-6097|경기도 광명시 광명7동 307-53|이광진 목사|한국컴퓨터선교회
동성교회|대신||02-683-4592|경기도 광명시 광명7동 720-5|이광섭 목사|한국컴퓨터선교회
두길리교회|예장||032-613-4055|경기도 부천시 소사구 옥길동 122|김태주 목사|한국컴퓨터선교회
만나교회|통합||02-682-1192|경기도 광명시 광명1동 71-11|장경문 목사|한국컴퓨터선교회
만남교회|합동정통||02-688-6989|경기도 광명시 철산2동 210-2|장승우 목사|한국컴퓨터선교회
말씀교회|합동보수C||02-685-8197|경기도 광명시 광명6동 305-58|김주빈 목사|한국컴퓨터선교회
목양교회|개혁||02-897-0121|경기도 광명시 소하2동 1240-1|강   일 목사|한국컴퓨터선교회
목양교회|합동||02-809-6563|경기도 광명시 하안동 702-4|이관수 목사|한국컴퓨터선교회
목양교회|합동진리||02-687-8532|경기도 광명시 광명6동 374-54|이병복 목사|한국컴퓨터선교회
물댄동산교회|기감||02-611-1004|경기도 광명시 광명7동 295-18|이명환 목사|한국컴퓨터선교회
믿음교회|합동정통||02-689-8156|경기도 광명시 광명7동 316-17|김종필 목사|한국컴퓨터선교회
방주교회|기하성||02-808-3784|경기도 광명시 하안동 단독필지130|이선우 목사|한국컴퓨터선교회
방주교회|기하성||02-897-1686|경기도 광명시 하안동 단독필지 130호|이바울 목사|한국컴퓨터선교회
백합교회|기감||02-687-3025|경기도 광명시 철산3동 472-43|김창연 목사|한국컴퓨터선교회
벌말교회|통합||02-681-0473|경기도 광명시 가학동 909-1|황종협 목사|한국컴퓨터선교회
베다니교회|통합||02-892-0019|경기도 광명시 하안3동상업무역지역4-16신영B/D|김기문 목사|한국컴퓨터선교회
벧엘교회|통합||02-898-1941|경기도 광명시 일직동 254-1|강선신 목사|한국컴퓨터선교회
벧엘교회|합동정통||02-684-7322|경기도 광명시 철산3동 주공A 1310-503|정인화 목사|한국컴퓨터선교회
벧엘교회|기하성||02-613-2609|경기도 광명시 광명7동 306-15|박윤자 목사|한국컴퓨터선교회
벧엘교회|보수개혁||02-625-8839|경기도 광명시 광명3동 22-4|이기반 목사|한국컴퓨터선교회
벧엘교회|오순절||02-686-7401|경기도 광명시 광명6동 324-1|배정순 목사|한국컴퓨터선교회
복임제일교회|보수개혁||02-681-3551|경기도 광명시 광명1동 75-9|오종산 목사|한국컴퓨터선교회
부강교회|기감||02-804-0179|경기도 광명시 하안동 중심상업지역 3-25|김요한 목사|한국컴퓨터선교회
부활의교회|기감||02-806-0091|경기도 광명시 하안동 중심상업지역 4-15|이영우 목사|한국컴퓨터선교회
빌립보교회|개혁||02-891-7873|경기도 광명시 하안2동 상업지역 34-3|성우경 목사|한국컴퓨터선교회
빛과소금의교회|합동||02-898-4847|경기도 광명시 하안동 499-13|이철우 목사|한국컴퓨터선교회
사도교회|기감||02-618-8881|경기도 광명시 광명7동 307-48|김병섭 목사|한국컴퓨터선교회
사랑의교회|기감||02-897-5949|경기도 광명시 소하2동 1236-8|이원철 목사|한국컴퓨터선교회
산곡교회|합동||02-683-6838|경기도 광명시 광명1동 71-27|강은수 목사|한국컴퓨터선교회
산돌교회|보수합동||02-632-4082|경기도 광명시 철산3동 229|이순재 목사|한국컴퓨터선교회
삼성교회|개혁||02-809-7094|경기도 광명시 하안동 단독필지 325|정정석 목사|한국컴퓨터선교회
삼천리교회|기하성B||02-897-2252|경기도 광명시 하안1동 322-4|홍광표 목사|한국컴퓨터선교회
삼흥교회|합동정통||02-685-8132|경기도 광명시 철산3동 241-4|정마암 목사|한국컴퓨터선교회
새벽교회|합동||02-687-2408|경기도 광명시 철산3동 441 그랜드프라자 빌딩 504|권광수 목사|한국컴퓨터선교회
새빛교회|개혁||02-809-5632|경기도 광명시 하안동 주공A|박판규 목사|한국컴퓨터선교회
새한교회|통합||02-687-0959|경기도 광명시 광명2동 106-4|장삼석 목사|한국컴퓨터선교회
생수교회|개혁||02-618-4916|경기도 광명시 광명3동 159-39|김성만 목사|한국컴퓨터선교회
서광교회|예성||02-613-8184|경기도 광명시 광명6동 320-27|박축복 목사|한국컴퓨터선교회
서광명교회|기하성||02-617-0762|경기도 광명시 광명6동 338-29|박용열 목사|한국컴퓨터선교회
서림교회|고려||02-894-8241|경기도 광명시 소하2동 911-22|배극수 목사|한국컴퓨터선교회
서머나교회|고려||02-895-2161|경기도 광명시 하안3동 중심지구 3-19|홍록두 목사|한국컴퓨터선교회
서면중앙교회|개혁합신||02-803-0972|경기도 광명시 소하2동 911-7|김상봉 목사|한국컴퓨터선교회
서문교회|합동||02-617-2356|경기도 광명시 광명3동 158-64|설태수 목사|한국컴퓨터선교회
서문교회|고려||02-683-9388|경기도 광명시 광명4동 158-870|김정삼 목사|한국컴퓨터선교회
서부제일교회|기성||02-892-6601|경기도 광명시 소하1동 11-18|최중호 목사|한국컴퓨터선교회
석암교회|기감||02-893-9271|경기도 광명시 하안동 중심상업지역 3-29|최기연 목사|한국컴퓨터선교회
선교교회|개혁||02-688-9146|경기도 광명시 광명5동 171-3|임원실 목사|한국컴퓨터선교회
선교교회|합동중앙||02-617-3806|경기도 광명시 광명1동 12-170|이점순 목사|한국컴퓨터선교회
선목교회|호헌||02-896-1525|경기도 광명시 하안동 상업지역|김정일 목사|한국컴퓨터선교회
선목교회|합동||02-529-9737|경기도 광명시 하안동 주공 A1313/1209|최옥석 목사|한국컴퓨터선교회
섬기는교회|대신||02-2619-1718|경기 광명시 광명4동 158-847 (4층)|김찬우 목사|한국컴퓨터선교회
성광교회|기장||02-688-8172|경기도 광명시 광명4동 158-550|김석봉 목사|한국컴퓨터선교회
성광교회|대신||02-805-5360|경기도 광명시 소하1동 49-2|심상윤 목사|한국컴퓨터선교회
성대교회|합동중앙||02-689-0538|경기도 광명시 광명2동 63-24|이을범 목사|한국컴퓨터선교회
성도교회|기하성||02-896-1077|경기도 광명시 하안3동 260-6|빈성진 목사|한국컴퓨터선교회
성민교회|합동||02-611-1295|경기도 광명시 광명7동 304-100|유석근 목사|한국컴퓨터선교회
성산교회|합동||02-684-0332|경기도 광명시 광명1동 11-1|신완균 목사|한국컴퓨터선교회
성신교회|예성||02-899-4648|경기도 광명시 소하2동 863-19|이윤형 목사|한국컴퓨터선교회
서문교회|고신||010-9181-3235|경기 시흥시 장곡동 819-2|이정출 목사|한국컴퓨터선교회
성은교회|예성||02-803-6324|경기도 광명시 소하1동 8-108|임홍달 목사|한국컴퓨터선교회
성지교회|성장||02-804-0001|경기도 광명시 소하동 336|박진명 목사|한국컴퓨터선교회
성화교회|합동||02-809-8853|경기도 광명시 소하1동 11-7|한인원 목사|한국컴퓨터선교회
세만교회|나사렛||02-684-7035|경기도 광명시 광명4동 158-121|하남칠 목사|한국컴퓨터선교회
세계로교회|합동정통||02-805-8930|경기도 광명시 하안동 33-1 다래B/D 603호|김영두 목사|한국컴퓨터선교회
소망교회|기하성||02-689-6384|경기도 광명시 광명2동 114-6|장봉익 목사|한국컴퓨터선교회
소망교회|호헌||02-613-3100|경기도 광명시 광명6동 244-20|이종상 목사|한국컴퓨터선교회
소망의집교회|호헌||02-807-8983|경기도 광명시 하안4동 30|주찬양 목사|한국컴퓨터선교회
소명교회|합동||02-617-7383|경기도 광명시 광명7동 724-7|박성헌 목사|한국컴퓨터선교회
소명교회|기감||02-619-7126|경기도 광명시 광명7동 337-1|리제훈 목사|한국컴퓨터선교회
소하동교회|기하성||02-897-2383|경기도 광명시 소하2동 1242-8 용성B/D|김기수 목사|한국컴퓨터선교회
소하제일교회|통합||02-804-7001|경기도 광명시 소하1동 34-73|최정석 목사|한국컴퓨터선교회
수도방주교회|합동||02-804-8933|경기도 광명시 하안1동 단독필지 주공A 108-1412|박해욱 목사|한국컴퓨터선교회
승리교회|합동중앙||02-618-2356|경기도 광명시 철산4동 464-6|이영실 목사|한국컴퓨터선교회
신광명교회|합동정통||02-897-2385|경기도 광명시 하안1동 583-8|박계환 목사|한국컴퓨터선교회
신성교회|합동||02-684-6556|경기도 광명시 광명2동 106-4|백남호 목사|한국컴퓨터선교회
신성교회|기감||02-897-7796|경기도 광명시 소하2동 947-2|윤여인 목사|한국컴퓨터선교회
신원교회|합동정통||02-611-5845|경기도 광명시 광명4동 158-621|류시교 목사|한국컴퓨터선교회
신은교회|합동정통||02-686-6670|경기도 광명시 광명7동 중앙하이츠A 2차상가203호|황무영 목사|한국컴퓨터선교회
신일교회|합동정통||02-683-2440|경기도 광명시 철산2동 66-16|김순엽 목사|한국컴퓨터선교회
신일교회|대신||02-899-3055|경기도 광명시 소하2동 1268-2|최남열 목사|한국컴퓨터선교회
안디옥교회|기감||02-891-1314|경기도 광명시 소하1동 118-3|백근기 목사|한국컴퓨터선교회
애광교회|개혁합신||02-805-2948|경기도 광명시 소하1동 30|성경철 목사|한국컴퓨터선교회
양무리교회|통합||02-673-4120|경기도 광명시 광명동 295-11|심덕웅 목사|한국컴퓨터선교회
양문교회|합동정통||02-615-4153|경기도 광명시 광명4동 158-851|이태수 목사|한국컴퓨터선교회
어부교회|대신||02-807-0239|경기도 광명시 소하1동 47-7|김진호 목사|한국컴퓨터선교회
언약의교회|합동정통||02-612-6536|경기도 광명시 광명2동 116-17|유관영 목사|한국컴퓨터선교회
에덴교회|기침||02-688-1164|경기도 광명시 광명2동 102-17|김병부 목사|한국컴퓨터선교회
엘림교회|통합||02-615-9258|경기도 광명시 광명1동 17-14|최윤석 목사|한국컴퓨터선교회
열린교회|오순절||02-617-8640|경기도 광명시 광명4동 158|박지균 목사|한국컴퓨터선교회
열린교회|대신||02-897-8987|경기도 광명시 소하2동 1240-2|강남기 목사|한국컴퓨터선교회
열린문교회|합동||02-879-2513|경기도 광명시 소하2동 1243-8|김재승 목사|한국컴퓨터선교회
열림교회|기하성B||02-683-3949|경기도 광명시 광명5동 262-21|박종애 목사|한국컴퓨터선교회
영광교회|기감||02-619-4221|경기도 광명시 가학동 529-1|류도형 목사|한국컴퓨터선교회
영광교회|기성||02-616-7533|경기도 광명시 철산동 상가업무지역1-51|송창원 목사|한국컴퓨터선교회
영광교회|기하성||02-683-0193|경기도 광명시 광명4동 158-987|신성순 목사|한국컴퓨터선교회
영광교회|합동중앙||02-837-7690|경기도 광명시 철산2동 204-5|황영웅 목사|한국컴퓨터선교회
영문교회|합동||02-687-5061|경기도 광명시 철산2동 205-3|최일성 목사|한국컴퓨터선교회
영산교회|예성||02-612-9972|경기도 광명시 철산2동 141-1|이광현 목사|한국컴퓨터선교회
영생교회|합동중앙||02-803-3198|경기도 광명시 철산4동 466-7|김길상 목사|한국컴퓨터선교회
영성교회|합동중앙||02-892-2632|경기도 광명시 하안동 1-4|최유영 목사|한국컴퓨터선교회
영성교회|기감연합||02-688-5904|경기도 광명시 광명5동 165|최옥순 목사|한국컴퓨터선교회
영성교회|장신||02-681-8063|경기도 광명시 광명3동 158-109|박수일 목사|한국컴퓨터선교회
영지교회|기장||02-898-9417|경기도 광명시 소하2동 927-10|우희문 목사|한국컴퓨터선교회
예닮교회|합동정통||02-618-8648|경기도 광명시 광명6동 419-6|정병국 목사|한국컴퓨터선교회
예동교회|대신||02-898-1439|경기도 광명시 소하2동 1075-6|김일명 목사|한국컴퓨터선교회
예본교회|예성||02-612-3841|경기도 광명시 철산2동 169-3|이광흠 목사|한국컴퓨터선교회
예수인교회|기침||02-616-3704|경기도 광명시 광명4동 158-469|박창운 목사|한국컴퓨터선교회
예수제일교회|합동정통||02-899-0422|경기도 광명시 소하2동 320-4|지일환 목사|한국컴퓨터선교회
예찬교회|합동정통||02-892-9396|경기도 광명시 소하1동 203-7|임정희 목사|한국컴퓨터선교회
옥토중앙교회|합동||02-804-3418|경기도 광명시 하안1동 고층주공A|오순절 목사|한국컴퓨터선교회
온사교회|통합||02-618-9023|경기도 광명시 노온사동 373-1|노신복 목사|한국컴퓨터선교회
운양교회|예성||02-2686-1031|경기도 광명시 광명동 12-36|이상화 목사|한국컴퓨터선교회
원광명교회|기장||02-618-6173|경기도 광명시 광명7동 575-8|성춘식 목사|한국컴퓨터선교회
은광교회|합동||02-682-0520|경기도 광명시 광명7동 20B9L|김충식 목사|한국컴퓨터선교회
은광교회|기감||02-681-1446|경기도 광명시 철산1동 56-8|정택연 목사|한국컴퓨터선교회
은광교회|대신||02-898-0821|경기도 광명시 하안1동 768|이남태 목사|한국컴퓨터선교회
은천교회|합동||02-684-2090|경기도 광명시 광명5동 278-1|조근환 목사|한국컴퓨터선교회
은혜교회|기감||02-898-7763|경기도 광명시 소하1동 48-13|이원구 목사|한국컴퓨터선교회
일심교회|통합||02-898-5619|경기도 광명시 소하2동 313-29|윤광국 목사|한국컴퓨터선교회
임마누엘교회|합동정통||02-686-3923|경기도 광명시 광명4동 158-645|조상재 목사|한국컴퓨터선교회
장수교회|기성||02-689-1749|경기도 광명시 철산2동235-3주공8단지교육센타|이희석 목사|한국컴퓨터선교회
전원교회|합동진리||02-897-3068|경기도 광명시 하안1동 단독필지 168|박명숙 목사|한국컴퓨터선교회
정도교회|합동||02-686-1462|경기도 광명시 철산2동 100-10|김봉옥 목사|한국컴퓨터선교회
정락교회|합동정통||02-683-3694|경기도 광명시 광명6동 365-34|강말웅 목사|한국컴퓨터선교회
제일큰교회|합동||02-894-0019|경기도 광명시 하안동 주공A 10310-207A310/207|김순봉 목사|한국컴퓨터선교회
제자교회|통합||02-685-9269|경기도 광명시 철산2동 103|엄대성 목사|한국컴퓨터선교회
조은교회|합동||02-683-6838|경기도 광명시 광명5동 175-8현대101호|강은수 목사|한국컴퓨터선교회
주사랑교회|합동정통||02-615-4290|경기도 광명시 철산2동 주공10단지 가동상가|김주문 목사|한국컴퓨터선교회
중앙교회|기하성||02-612-2305|경기도 광명시 광명7동 736-4|이성호 목사|한국컴퓨터선교회
중앙교회|통합||02-867-8554|경기도 광명시 하안1동 595-4|김양례 목사|한국컴퓨터선교회
중원교회|합동정통||02-625-8291|경기도 광명시 광명4동 158-900|권영구 목사|한국컴퓨터선교회
진리교회|합동정통||02-896-7202|경기도 광명시 소하동 730-1|장동국 목사|한국컴퓨터선교회
진명교회|통합||02-681-0304|경기도 광명시 광명6동 750|차동제 목사|한국컴퓨터선교회
진흥교회|대신||02-897-3277|경기도 광명시 소하2동 1236-4|김봉세 목사|한국컴퓨터선교회
찬양교회|보수개혁||02-682-8036|경기도 광명시 철산3동 223-3|민희라 목사|한국컴퓨터선교회
찬양교회|합동정통||02-614-1763|경기도 광명시 광명7동 296-11|이부종 목사|한국컴퓨터선교회
창대교회|합동||02-683-6110|경기도 광명시 광명3동 150-13|임운희 목사|한국컴퓨터선교회
창대교회|대신||02-675-9839|경기도 광명시 철산2동 철산주공상가|강윤종 목사|한국컴퓨터선교회
창성교회|대신||02-897-0982|경기도 광명시 하안동 단독필지 57|황두섭 목사|한국컴퓨터선교회
철산교회|합동||02-686-3658|경기도 광명시 철산2동 161|김원식 목사|한국컴퓨터선교회
철산교회|기감||02-898-8565|경기도 광명시 하안동 701주공5단지 종교부지5호|박준하 목사|한국컴퓨터선교회
철산교회|기침||02-809-1838|경기도 광명시 하안동 13-4 주공A9단지|이준용 목사|한국컴퓨터선교회
철산광명교회|그리스도||02-611-2430|경기도 광명시 철산2동 204-5|함기룡 목사|한국컴퓨터선교회
철산중앙교회|합동||02-683-4734|경기도 광명시 철산4동 464-5|김형동 목사|한국컴퓨터선교회
철산흰돌교회|통합||02-614-2935|경기도 광명시 철산3동 224|고익종 목사|한국컴퓨터선교회
초대교회|합동||02-806-9726|경기도 광명시 소하1동 55-35 중앙빌딩|이남동 목사|한국컴퓨터선교회
초원독립문교회|기성||02-897-6865|경기도 광명시 소하2동 896-9|천명철 목사|한국컴퓨터선교회
축복교회|합동||02-2681-1740|경기 광명시 광명7동 301-34|명영관 목사|한국컴퓨터선교회
충만교회|예성||02-613-2660|경기도 광명시 철산4동 489-43|정갑수 목사|한국컴퓨터선교회
충성교회|기하성||02-618-1527|경기도 광명시 철산4동 466-3|권충택 목사|한국컴퓨터선교회
충진교회|기감||02-613-7701|경기도 광명시 광명7동 730|신중한 목사|한국컴퓨터선교회
태광교회|기감||02-897-0691|경기도 광명시 소하2동 1242-10|전희주 목사|한국컴퓨터선교회
큰무리광명교회|개혁||02-625-5402|경기도 광명시 광명6동 346-31|임윤환 목사|한국컴퓨터선교회
평강교회|합동||02-804-3634|경기도 광명시 하안3동 개명빌딩|남기덕 목사|한국컴퓨터선교회
평강교회|기침||02-803-8366|경기도 광명시 하안3동 고층주공A|오인제 목사|한국컴퓨터선교회
평강교회|합동정통||02-898-8916|경기도 광명시 소하2동 924-24|안중영 목사|한국컴퓨터선교회
평강교회|예성||02-689-7436|경기도 광명시 광명4동 158-422|유선호 목사|한국컴퓨터선교회
평화교회|합동보수B||02-898-0045|경기도 광명시 하안동 24-7|주영초 목사|한국컴퓨터선교회
평화제일교회|예성||02-898-7579|경기도 광명시 소하2동 901-3|유병렬 목사|한국컴퓨터선교회
큰나라교회|합동정통||02-689-5302|경기도 광명시 철산4동 509-267 성화빌딩5층|조주원 목사|한국컴퓨터선교회
하나교회|합동정통||02-619-9522|경기도 광명시 광명2동 60-11|이종만 목사|한국컴퓨터선교회
하나로교회|대신||02-616-7049|경기도 광명시 철산1동 56-22|김인식 목사|한국컴퓨터선교회
하안교회|기장||02-898-9264|경기도 광명시 하안1동 산96-10|이석석 목사|한국컴퓨터선교회
하안교회|개혁합신||02-807-1004|경기도 광명시 하안4동 주공A|김용재 목사|한국컴퓨터선교회
하안광림교회|기감||02-897-7274|경기도 광명시 하안1동 578|서정일 목사|한국컴퓨터선교회
