IDX|NAME|BRANCH|TELL|ADDR|TIME|YCORD|XCORD
552|토프레소|개봉점|02-2683-2333|서울특별시 구로구 개봉로 59|서울 구로구 개봉동 403-54|37.490995318868414|126.85571500766544
549|토프레소|부천 역곡북부역점|032-347-7942|경기 부천시 지봉로 116|경기 부천시 역곡동 108|37.4883097105|126.8123141434
548|토프레소|낙성대역점|02-888-5033|서울특별시 관악구 봉천로 576|서울 관악구 봉천동 1629-2|37.477046136583006|126.96131539813811
547|토프레소|천안 신부점|041-557-3320|충청남도 천안시 동남구 천안천8길 53-5|충남 천안시 동남구 신부동 972|36.82198563384153|127.15604338359344
546|토프레소|방학역점|02-956-0266|서울특별시 도봉구 도봉로150길 27|서울 도봉구 방학동 716-2|37.666167373694115|127.04474429509638
539|토프레소|일산 후곡점|031-915-0882|경기도 고양시 일산서구 일산로 557|경기 고양시 일산서구 일산동 1062|37.6781417108|126.766035279
538|토프레소|울진 연호점|054-781-5425|경상북도 울진군 울진읍 연호로 23|경북 울진군 울진읍 읍내리 542-5|36.99375465489874|129.40379739496598
537|토프레소|청원 오창점|043-216-1080|충청북도 청주시 청원구 오창읍 과학산업5로 118-2|충북 청주시 청원구 오창읍 각리 652-1|36.70802905647452|127.41557416490994
535|토프레소|청주 복대점|043-238-1356|충청북도 청주시 흥덕구 진재로55번길 13-2|충북 청주시 흥덕구 복대동 2504|36.63620901665425|127.42839329884613
531|토프레소|광명점|02-2066-5484|경기도 광명시 광명로 823|경기 광명시 광명동 346-46|37.47291973717004|126.85099041035721
528|토프레소|포항 쌍용점|054-272-3008|경상북도 포항시 북구 중흥로 133|경북 포항시 북구 죽도동 675-11|36.01672995459517|129.3529346526547
526|토프레소|김해점|055-336-2522|경상남도 김해시 가락로 88|경남 김해시 서상동 71-1|35.23426682638036|128.88157567604406
519|토프레소|동광양점|061-795-5007|전라남도 광양시 무등길 11|전남 광양시 중동 1453-3|34.94652568639898|127.68866101343572
514|토프레소|당산점|02-2676-5441|서울특별시 영등포구 영중로 145|서울 영등포구 영등포동8가 76-1|37.5293807701103|126.90507778711081
511|토프레소|성남 수진점|031-758-6632|경기도 성남시 수정구 산성대로 201|경기 성남시 수정구 수진동 2206|37.43771877911663|127.1403520925741
509|토프레소|동해점|033-535-2466|강원도 동해시 한섬로 113-8|강원 동해시 천곡동 874|37.52220353745919|129.11657792152488
508|토프레소|의정부 롯데마트점|031-852-7008|경기도 의정부시 산단로76번길 115|경기 의정부시 용현동 526-4|37.74347852696998|127.08444756151212
507|토프레소|광양 창덕점|061-763-1400|전라남도 광양시 광양읍 용강로 28|전남 광양시 광양읍 용강리 894|34.97204212092066|127.6096486953908
503|토프레소|역삼점|070-4194-2605|서울특별시 강남구 테헤란로34길 14|서울 강남구 역삼동 718-30|37.50065654102682|127.04019522975497
502|토프레소|당진 송악점|041-352-7076|충청남도 당진시 송악읍 신복운로6길 8-1|충남 당진시 송악읍 복운리 1637-2|36.94155391900692|126.7819146782132
500|토프레소|울산 신정점|052-257-7267|울산광역시 남구 중앙로 210-1|울산 남구 신정동 582-3|35.53979793226464|129.31251324928067
497|토프레소|강동성심병원점|02-476-5788|서울특별시 강동구 성안로 170|서울 강동구 길동 384-5|37.53808927130928|127.13604523480155
496|토프레소|광주 북구청점|062-525-9800|광주광역시 북구 서방로 4|광주 북구 중흥동 361-5|35.17342083838158|126.91339825380815
495|토프레소|울진 북면점|054-783-1203|경상북도 울진군 북면 울진북로 2095|경북 울진군 북면 부구리 159-27|37.10333409214121|129.3738875805953
493|토프레소|강릉 교동점|033-644-7751|강원도 강릉시 솔올로5번길 49|강원 강릉시 교동 1882-6|37.763975319374175|128.87695487810583
492|토프레소|고양 국립암센터점|031-902-9070|경기도 고양시 일산동구 일산로 324|경기 고양시 일산동구 마두동 857-2|37.664431711609474|126.78457741163242
491|토프레소|평택 포승점|031-686-9853|경기도 평택시 포승읍 여술로43번길 3|경기 평택시 포승읍 도곡리 1138-12|36.98918758660524|126.84673848070537
489|토프레소|청주 서원대점|043-297-2453|충청북도 청주시 서원구 서원남로44번길 8|충북 청주시 서원구 모충동 230-4|36.62261739035901|127.48324233372733
486|토프레소|방이시장점|02-418-3955|서울특별시 송파구 백제고분로48길 11|서울 송파구 방이동 145-2|37.51152568718781|127.11463110571357
482|토프레소|청주 용암점|070-7785-6678|충청북도 청주시 상당구 중흥로 54-1|충북 청주시 상당구 용암동 1592-3|36.610350611949045|127.5034083921386
481|토프레소|안산 중앙점|031-413-3535|경기도 안산시 단원구 고잔로 76|경기 안산시 단원구 고잔동 533-3|37.31876966187681|126.83488033225426
479|토프레소|인천 현대유비스병원점|032-890-5592|인천광역시 남구 독배로 503|인천 남구 숭의동 340-1|37.461508977450805|126.64294500133077
478|토프레소|태평로점|02-736-7003||서울 중구 정동 2-3|37.568904931502985|126.97569730902673
477|토프레소|양산 웅상점|-||삼호동 681-8|35.4119591671|129.1653088351
474|토프레소|평택호점|031-681-6974|경기도 평택시 현덕면 평택호길 131|경기 평택시 현덕면 권관리 328-15|36.91998344576434|126.91942078660118
471|토프레소|평택점|031-650-8212|경기도 평택시 중앙로 46|경기 평택시 평택동 35-3|36.994299999936146|127.0879594169992
469|토프레소|보령점|041-936-6385||충남 보령시 궁촌동 347|36.3425337543342|126.58996304908211
468|토프레소|은평점|02-353-1516|서울특별시 은평구 은평로9길 3|서울 은평구 응암동 89-38|37.60062761193437|126.92118657150499

