##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@문화센터_서울연극재단
공간222||||문화센터|070-7562-9980|서울특별시 성북구 동소문로 24|서울특별시 성북구 동소문동2가 222|||||SPACE222||공간222|광명빌딩;B1 공간222|||100203
경향아트힐||||문화센터||서울시 중구 정동길 3||||||KYUNGHYANG ARTHILL||경향아트힐|경향아트힐|||100203
성북마을극장||||문화센터|010-3385-4155|서울특별시 성북구 동소문로20다길 10|서울특별시 성북구 동선동1가 4-7|||||seongbukmauel theater||성북마을극장|(동선동1가)|||100203
몬스덕||||문화센터|070-8704-4416||서울시 영등포구 문래동 2가 30-2|||||monsduck||몬스덕||||100203
만리동/예술인주택||||문화센터|070-4232-1206|서울특별시 중구 만리재로27길 69|서울특별시 중구 만리동2가 218-105|||||Mallidong Artists Cooperative||만리동 예술인주택||||100203
스텀프(홍대)||||문화센터|02-783-1001|서울시 마포구 와우산로21길 20-11|서울시 마포구 서교동 358-121|||||STUMP||스텀프(홍대)|지하1층;지하1층|||100203
해우소/소극장||||문화센터|010-9874-0834|서울시 성북구 동소문로 20나길 24||||||Haewooso theater||해우소 소극장||||100203
서촌공간/서로||||문화센터|02-730-2502|서울시 종로구 필운대로 7길 12|서울시 종로구 옥인동 62|||||space-seoro||서촌공간 서로||||100203
소극장/산울림||||문화센터||서울 마포구 와우산로 157||||||Sanwoollim Little Theater||소극장 산울림||||100203
국화소극장||||문화센터|02-882-5707||서울 동작구 상도2동 170-26|||||Kookhwa Theater||국화소극장|지하1층|||100203
더/시어터||||문화센터|02-743-3382|서울시 종로구 대학로 3길 10||||||the  theater||더 시어터|고운빌딩 지하1,2층|||100203
안똔체홉극장||||문화센터|02-555-6311|서울특별시 강남구 봉은사로104길 10|서울특별시 강남구 삼성동 160-21|||||Anton Chekhov theater||안똔체홉극장|동화빌딩|||100203
극장/드라폼||||문화센터|02-1600-7393||서울시 양천구 신정4동 917-21|||||Draform Theater||극장 드라폼|에센빌딩 지하1층|||100203
신촌/현대백화점/유플렉스/제이드홀||||문화센터|02-3145-2233||서울시 서대문구 창천동 30-33|||||jadehall||신촌 현대백화점 유플렉스 제이드홀||||100203
씨어터/송||||문화센터|070-8843-0088|서울특별시 서초구 법원로 3길 22||||||Theatre Song||씨어터 송|영인빌딩 B1|||100203
예술나무씨어터||||문화센터|||서울시 구로구 구로5동 501|||||artstree theater||예술나무씨어터|나인스에비뉴 B1 예술나무씨어터|||100203
롯데카드/아트센터||||문화센터|02-6357-0001||서울 마포구 서교동 490|||||LOTTE CARD ART CENTER||롯데카드 아트센터|메세나 폴리스 2층 롯데카드 아트센터;메세나 폴리스 2층 롯데카드 아트센터|||100203
국립/과천/과학관/어울림/홀||||문화센터|02-3677-1500||경기 과천시 과천동 758|||||Gwacheon National Science Museum, Harmony Hall||국립 과천 과학관 어울림 홀||||100203
전자쌀롱/독각귀홀||||문화센터|070-7405-0759|서울시 용산구 한강로 3가 16-9||||||jeonja salon dokkakki||전자쌀롱 독각귀홀|전자랜드 신관 광장층 34호|||100203
블러섬랜드||||문화센터|||서울시 마포구 서교동 403-1|||||blossomland||블러섬랜드|4층|||100203
구리아트홀/유채꽃(소극장)||||문화센터|031-550-8800|경기도 구리시 아차산로 453|경기도 구리시 교문동 390|||||||구리아트홀 유채꽃(소극장)|구리아트홀;구리아트홀|||100203
구리아트홀/코스모스(대극장)||||문화센터|031-550-8800|경기도 구리시 아차산로 453|경기도 구리시 교문동 390|||||||구리아트홀 코스모스(대극장)|구리아트홀;구리아트홀|||100203
홍대/포스트극장||||문화센터|02-337-5961||서울특별시 마포구 창전동 5-92|||||hongik post theater||홍대 포스트극장||||100203
서강대학교/메리홀/소극장||||문화센터|02-705-8743||서울특별시 마포구 신수동 1|||||||서강대학교 메리홀 소극장||||100203
플래툰/쿤스트할레||||문화센터|3447-1191||서울특별시 강남구 논현동 97-22|||||PLATOON KUNSTHALLE||플래툰 쿤스트할레||||100203
흰물결/화이트홀||||문화센터|02-535-7119||서울특별시 서초구 서초동 1720-8|||||white hall||흰물결 화이트홀|흰물결빌딩 5층|||100203
양주문화예술회관||||문화센터|||경기도 양주시 광적면 광석리 132|||||Yangju Cultural Art Hall||양주문화예술회관|양주문화예술회관|||100203
도봉구민회관/대공연장||||문화센터|02-901-5000|서울시 도봉구 창동역길 23||||||||도봉구민회관 대공연장||||100203
빛과/소리아트홀||||문화센터|02-2637-0315||서울시 서초구 서초4동 1687-2|||||||빛과 소리아트홀|중앙 서초프라자 B3 빛과 소리아트홀|||100203
안양아트센터/소공연장(수리홀)||||문화센터|031-687-0500|경기도 안양시 만안구 문예로 36번길 16||||||||안양아트센터 소공연장(수리홀)||||100203
안양아트센터/대공연장(관악홀)||||문화센터|031-687-0500|경기도 안양시 만안구 문예로 36번길 16||||||||안양아트센터 대공연장(관악홀)||||100203
디큐브아트센터||||문화센터|02-2211-3000|서울시 구로구 경인로 662||||||||디큐브아트센터||||100203
블루스퀘어/삼성전자홀||||문화센터|1544-1591||서울시 용산구 한남동 727-56|||||BLUE SQUARE||블루스퀘어 삼성전자홀||||100203
블루스퀘어/삼성카드홀||||문화센터|1544-1591||서울시 용산구 한남동 727-56|||||BLUE SQUARE||블루스퀘어 삼성카드홀||||100203
동서울아트홀||||문화센터|||서울시 광진구 구의동 595|||||DONGSEOULARTHALL||동서울아트홀|지하2층|||100203
시네코아/비밥/전용관||||문화센터|02-766-0815|서울시 종로구 삼일대로 386||||||CINECORE BIBAP THEATRE||시네코아 비밥 전용관|(관철동 33-1)|||100203
동서울아트홀||||문화센터|02-3436-7777||서울광진구 구의동 595|||||Dongseoul Art Hall||동서울아트홀||||100203
압구정/로데오/극장||||문화센터|02-511-1776||서울특별시 강남구 신사동 657-32|||||RodeoTheater||압구정 로데오 극장|지하1층|||100203
강남아트홀||||문화센터|02-537-5510||서울시 서초구 서초동 1307|||||GangNam Art Hall||강남아트홀|성우빌리지 B1|||100203
슈퍼맨아트홀||||문화센터|010-6595-3458||서울시 마포구 서교동 394-44|||||SupermanArtHall||슈퍼맨아트홀|서교제일빌딩 지하|||100203
안산문화예술의전당||||문화센터|080-481-4000|경기도 안산시 단원구 화랑로 312||||||ansanartcenter||안산문화예술의전당|안산문화예술의전당|||100203
용산/랜드/시네마||||문화센터|02-707-4960|서울시 용산구 한강로 3가 16-9||||||Land Cinema||용산 랜드 시네마|용산전자랜드|||100203
경복궁아트홀||||문화센터|02-735-0506||서울시 종로구 효자동 70-1|||||gyeongbokgungarthall||경복궁아트홀||||100203
성수아트홀||||문화센터|02-2204-7574||서울 성동구 성수동1가 656-323|||||SungSu ArtHall||성수아트홀||||100203
NH아트홀||||문화센터|1599-2299||서울 중구 충정로1가 85|||||NHARTHALL||NH아트홀|NH아트홀|||100203
가톨릭청년회관/다리/CY씨어터||||문화센터|070-8668-5796|서울특별시 마포구 월드컵북로2길 49|서울시 마포구 동교동 158-2|||||cycdari CY Theater||가톨릭청년회관 다리 CY씨어터||||100203
서울점프전용극장||||문화센터|02-722-3995|서울시 종로구 돈화문로 13|서울시 종로구 관수동 59-7|||||||서울점프전용극장||||100203
가야극장||||문화센터|02-6364-4888|서울특별시 서대문구 경기대로9안길 58-1|서울특별시 서대문구 충정로3가 58-1|||||-||가야극장|구세군빌딩 1층|||100203
CTS아트홀||||문화센터|02-6333-2503|서울특별시 동작구 노량진로 100|서울특별시 동작구 노량진동 27-2|||||ctsarthall||CTS아트홀|B2층|||100203
CGV팝아트홀||||문화센터|02-2068-7886||서울시 영등포구 영등포 4가 441-10|||||||CGV팝아트홀|경방 타임스퀘어 CGV 7층 CGV 팝아트홀|||100203
북촌아트홀||||문화센터|02-988-2258|서울특별시 종로구 창덕궁길 29-4|서울시 종로구 원서동 157-1|||||Bukchon Art Hall||북촌아트홀||||100203
성북동비둘기/연극실험실/“일상지하”||||문화센터|02-766-1774|서울특별시 성북구 성북로 106|서울시 성북구 성북동 100-1|||||SB theatre lab||성북동비둘기 연극실험실 “일상지하”|지하|||100203
토탈미술관||||문화센터|02-379-7037 / 3994|서울특별시 종로구 평창32길 8|서울시 종로구 평창동 465-16|||||Total Museum of Contemporary Art||토탈미술관||||100203
서울남산국악당||||문화센터|02-2261-0512~5|서울특별시 중구 퇴계로34길 28|서울시 중구 필동 2가 84-1호 남산골 한옥마을내 서울남산국악당 |||||Seoul Namsan Treditional Theater||서울남산국악당||||100203
코우스(한국문화의/집)||||문화센터|02-3011-1720|서울특별시 강남구 테헤란로92길 12-9|서울시 강남구 대치동 944-22|||||KOUS||코우스(한국문화의 집)||||100203
연세대학교/노천극장||||문화센터|02-2123-3818~9|서울시 서대문구 성산로 262||||||||연세대학교 노천극장|연세대학교 노천극장|||100203
상명아트센터/계당홀||||문화센터|02-2287-7186~7|서울특별시 종로구 홍지문2길 20|서울시 종로구 홍지동 7|||||sangmyung art center||상명아트센터 계당홀|상명아트센터 U B204;상명아트센터 U B204|||100203
상명아트센터/콘서트홀||||문화센터|02-2287-7186~7|서울특별시 종로구 홍지문2길 20|서울시 종로구 홍지동 7|||||sangmyung art center||상명아트센터 콘서트홀|상명아트센터 U B204;상명아트센터 U B204|||100203
KT&G상상아트홀||||문화센터|02-3404-4314|서울특별시 강남구 영동대로 416|서울시 강남구 대치동 1002|||||KT&G SANGSANG ARTHALL||KT&G상상아트홀|코스모타워 3층;코스모타워 3층|||100203
서울월드컵경기장/마당놀이전용극장||||문화센터|02-747-5161||서울시 마포구 성산동 서울월드컵경기장 북측광장 마당놀이전용극장 |||||||서울월드컵경기장 마당놀이전용극장||||100203
우리금융아트홀||||문화센터|02-410-1653||서울시 송파구 방이동 88-2|||||Wooriarthall||우리금융아트홀|올림픽공원 우리금융아트홀|||100203
윤당아트홀2관||||문화센터|02-546-8095~6|서울특별시 강남구 언주로 844|서울시 강남구 신사동 634-10|||||YOONDANG ARTHALL||윤당아트홀2관|윤당빌딩;윤당빌딩|||100203
윤당아트홀1관||||문화센터|02-546-8095~6|서울특별시 강남구 언주로 844|서울시 강남구 신사동 634-10|||||YOONDANG ARTHALL||윤당아트홀1관|윤당빌딩;윤당빌딩|||100203
관악문화관도서관||||문화센터|02-887-6814|서울특별시 관악구 문화길 17||||||Gwanak cultural center & library||관악문화관도서관|(신림9동 209-1)|||100203
갤러리/쿠오리아||||문화센터|02-709-7425|서울특별시 용산구 한강대로72길 3|서울시 용산구 남영동 131-1|||||-||갤러리 쿠오리아|해태제과본사 1,2,3층;해태제과본사 1,2,3층|||100203
서울미동초등학교체육관||||문화센터|02-364-6524||서울특별시 서대문구 충정로동 29|||||-||서울미동초등학교체육관|(미근동 36)번지|||100203
문화일보갤러리||||문화센터|02-3701-5755|서울특별시 중구 새문안로 22||||||MUNHWAILBO GALLERY||문화일보갤러리||||100203
서대문아트홀||||문화센터|02-362-3820|서울특별시 서대문구 충정로 76|서울시 서대문구 미근동 163|||||-||서대문아트홀||||100203
양천/문화회관/대극장||||문화센터|02-2646-5870|서울특별시 양천구 목동서로 367||||||YANGCHEON CITY HALL||양천 문화회관 대극장|(신정동 322번지)|||100203
명동예술극장||||문화센터|02-1644-2003||서울시 종로구 명동 1가 54|||||MYEONGDONG THEATER||명동예술극장||||100203
금나래아트홀||||문화센터|02-2627-2981~5|||||||Geumnarae Art Hall||금나래아트홀|서울시 금천구 시흥동 벚꽃심리길 375번지 금천구청 내|||100203
창동문화체육센터||||문화센터|02-901-5216 /02-901-5225||서울시 도봉구 창4동 1-6|||||Changdong Sports Culture Complex||창동문화체육센터||||100203
더/스테이지||||문화센터|02-312-9940|서울시 서대문구 연세로 8-1|서울시 서대문구 창천동 18-29|||||The Stage||더 스테이지|(창천동 버티고빌딩 B2);버티고빌딩 B2층|||100203
영등포아트홀||||문화센터|02-2670-4080|서울시 영등포구 제물포길 213||||||Yeongdeungpo Art Hall||영등포아트홀||||100203
송파문화원||||문화센터|02-414-0354|서울특별시 송파구 올림픽로 44|서울특별시 송파구 잠실동 84|||||Songpa Cultural Center||송파문화원|(138-220)|||100203
서초구민회관||||문화센터|02-570-6550|서울특별시 서초구 강남대로 201|서초구 양재동 25|||||Seocho Hall||서초구민회관||||100203
노원문화예술회관||||문화센터|02-3392-5721|서울 특별시 노원구 무수동길 181||||||Nowon Art Center||노원문화예술회관|(139-861) 노원문화예술회관|||100203
삼각산/문화예술회관||||문화센터|02-901-6324|서울특별시 강북구 가오길 82||||||Samgaksan Culture & Art Center||삼각산 문화예술회관|(수유6동 360-10) (우)142-882|||100203
동대문구문화회관||||문화센터|02-2127-5090|동대문구 답십리길 210||||||Dongdaemun-Gu Culture Center||동대문구문화회관|- 2 (답십리동 산2-121|||100203
중랑구민회관||||문화센터|02-2207-6130||중랑구 면목4동 378-5|||||Jungnang-Gu Hall||중랑구민회관||||100203
강남구민회관||||문화센터|02-3430-1150||서울 강남구 대치2동 509-2|||||Gangnam-gu Hall||강남구민회관||||100203
서대문문화회관||||문화센터|02-360-8551|서울 서대문구 백련사길 19||||||Seodaemun-gu Culture Facilities||서대문문화회관|(홍은3동 산26-155번지) 서대문문화회관|||100203
은평문화예술회관||||문화센터|02-350-5201|||||||Eun-Pyeong Culture Art Center||은평문화예술회관||||100203
마포아트센터||||문화센터|02-3274-8600|서울특별시 마포구 대흥로20길 28|서울 마포구 대흥동 30-3|||||Mapo Arts Center||마포아트센터||||100203
구로아트밸리/예술극장||||문화센터|02-2029-1700||서울시 구로구 구로5동 101|||||Guroartsvalley Theater||구로아트밸리 예술극장||||100203
전통연희상설극장/광화문아트홀||||문화센터|02-722-3416|서울특별시 종로구 인왕산로1길 21|서울시 종로구 사직동 284-1|||||Gwanghwamun Art Hall||전통연희상설극장 광화문아트홀||||100203
국립중앙박물관/극장용||||문화센터|02-2077-9724||서울시 용산구 용산동6가 168-6|||||Theater Yong||국립중앙박물관 극장용||||100203
스튜디오/동숭무대||||문화센터|02-941-7042||서울시 강북구 미아5동 482-2|||||Studio Dongsung Stage||스튜디오 동숭무대|(142-105)|||100203
시네마/정동/1관||||문화센터|02-778-9817||서울시 중구 정동 스타식스 정동 아트홀 |||||Cinema Jeongdong 1||시네마 정동 1관||||100203
홍대/고스트/씨어터||||문화센터|02-325-5715|서울특별시 마포구 홍익로 25|서울시 마포구 서교동 356-1|||||Ghost Theater||홍대 고스트 씨어터|지하2~3층;지하2~3층|||100203
홍대/비보이/전용극장||||문화센터|02-323-5233|서울특별시 마포구 와우산로 121|서울시 마포구 서교동 338-8|||||B-boy||홍대 비보이 전용극장|삼진제약빌딩 4층 SJ비보이즈;삼진제약빌딩 4층 SJ비보이즈|||100203
쉐라톤/그랜드/워커힐호텔/워커힐씨어터||||문화센터|02-455-5000|서울시 광진구 아차성길 175||||||Sheraton Grand Walkerhill Hotel Walkerhill Theatre||쉐라톤 그랜드 워커힐호텔 워커힐씨어터|(광장동 산21) 쉐라톤 그랜드 워커힐|||100203
숙명아트센터/씨어터S||||문화센터|02-715-6358||서울시 용산구 청마동 2가 53-12|||||Sookmyung Art Center - Theater S||숙명아트센터 씨어터S|숙명여자대학교 르네상스플라자 B205|||100203
애경아트홀||||문화센터|02-861-3337||서울특별시 구로구 구로5동 573|||||Aekyung Art Hall||애경아트홀|애경 백화점 내 5층|||100203
암사어린이/극장||||문화센터|02-481-8808|서울특별시 강동구 올림픽로 930|서울시 강동구 암사동 116-22|||||Amsa Children Theater||암사어린이 극장|(암사동 선사유적지 근처)|||100203
아트홀/봄||||문화센터|02-810-5084|서울특별시 동작구 여의대방로54길 18|서울시 동작구 대방동 345-1|||||Art Hall bom||아트홀 봄|서울여성플라자 1층 아트홀 봄;서울여성플라자 1층 아트홀 봄|||100203
미아리고개/예술극장||||문화센터|02-3291-5540||성북구 돈암동 51-49호 |||||||미아리고개 예술극장||||100203
씽크아트홀||||문화센터|02-6282-5777|서울특별시 서초구 신반포로 176|서울시 서초구 반포동 센트럴시티 파미에파크 2F 씽크타운 |||||Think Art Hall||씽크아트홀|센트럴시티 파미에파크 2F 씽크타운|||100203
썬프라자아트홀||||문화센터|02-833-3100|서울특별시 영등포구 신길로 41|서울시 영등포구 대림동 909-2|||||Sunplaza Art Hall||썬프라자아트홀|(썬프라자백화점) 2층;(썬프라자백화점) 2층|||100203
신도림/테크노마트/프라임아트홀||||문화센터|02-2102-4909||서울 구로구 구로5동 3-25|||||Prime Art Hall||신도림 테크노마트 프라임아트홀||||100203
서울교육문화회관/대극장||||문화센터|02-571-8100|서울특별시 서초구 바우뫼로12길 70|서울시 서초구 양재동 202|||||Seoul KyoYuk MunHwa HoeKwan||서울교육문화회관 대극장||||100203
유니버설아트센터||||문화센터|2204-1030|서울특별시 광진구 천호대로130길 58|서울시 광진구 능동 25|||||Universal Arts Center||유니버설아트센터||||100203
유시어터||||문화센터|3444-0651~4||서울시 강남구 청담2동 22-13|||||You Theater||유시어터||||100203
이화여고/100주년/기념관||||문화센터|777-4257~8|서울특별시 중구 정동길 26|서울시 중구 정동 32|||||EWHA 100th Memorial Hall||이화여고 100주년 기념관||||100203
전쟁기념관/문화극장||||문화센터|322-4111|서울특별시 용산구 이태원로 29|서울시 용산구 용산동 1가 8|||||The War Memorial of Korea- Cultural Theater||전쟁기념관 문화극장||||100203
정동극장||||문화센터|02-751-1500|서울시 중구 정동길 41||||||Chongdong Theater||정동극장|(정동 8-11) (재) 정동극장|||100203
세실극장||||문화센터|736-7600|서울특별시 중구 세종대로19길 16|서울시 중구 정동 3-7|||||Cecil Theater||세실극장||||100203
충무아트홀/대극장||||문화센터|02-2230-6600|서울특별시 중구 퇴계로 387|서울특별시 중구 흥인동 131|||||Chungmu Art Hall - Grand Theater||충무아트홀 대극장|충무아트홀|||100203
코엑스아트홀||||문화센터|6000-6790/0114|서울특별시 강남구 영동대로 513|서울시 강남구 삼성동 159|||||Coex Art Hall||코엑스아트홀|코엑스본관 2층;코엑스본관 2층|||100203
프란치스코/교육회관||||문화센터|6364-2200|서울특별시 중구 정동길 9|서울시 중구 정동 17|||||Franciscan Education Center||프란치스코 교육회관||||100203
한전아트센터||||문화센터|2105-8133|서울시 서초구 쑥고개길 34||||||Kepco Art Center||한전아트센터||||100203
BREAK/OUT/전용관||||문화센터|722-3995|서울특별시 종로구 삼일대로 386|서울시 종로구 관철동 33-1|||||Break Out Theater||BREAK OUT 전용관|시네코아빌딩 9층;시네코아빌딩 9층|||100203
IBK점프전용관||||문화센터|722-3995|서울특별시 종로구 삼일대로 386|서울시 종로구 관철동 33-1|||||IBK Jump Theater||IBK점프전용관|시네코아빌딩 9층;시네코아빌딩 9층|||100203
KS/청담아트홀||||문화센터|3442-4842|서울특별시 강남구 선릉로 806|서울시 강남구 청담동 86|||||Chungdam Art Hall||KS 청담아트홀|I&H 빌딩 3층;I&H 빌딩 3층|||100203
KT&G상상아트홀||||문화센터|3404-4311~4|서울특별시 강남구 영동대로 416|서울시 강남구 대치동 1002|||||KT&G Sangsang Art Hall||KT&G상상아트홀|코스모타워3층|||100203
LIG아트홀||||문화센터|6900-3900|서울특별시 강남구 테헤란로 117|서울시 강남구 역삼동 649-11|||||LIG art Hall||LIG아트홀|LIG타워 지하2층|||100203
코엑스/오디토리움/대극장||||문화센터|6000-0114|서울특별시 강남구 영동대로 513|서울시 강남구 삼성동 무역센터 코엑스 신관 3층 |||||COEX Auditorium Theater||코엑스 오디토리움 대극장|무역센터 코엑스 신관 3층|||100203
충무아트홀/소극장블루||||문화센터|02-2230-6600|서울특별시 중구 퇴계로 387|서울특별시 중구 흥인동 131|||||Chungmu Art Hall - Small Theater Blue||충무아트홀 소극장블루|충무아트홀|||100203
충무아트홀/중극장블랙||||문화센터|02-2230-6600|서울특별시 중구 퇴계로 387|서울특별시 중구 흥인동 131|||||Chungmu Art Hall - Midium Theater Black||충무아트홀 중극장블랙|충무아트홀|||100203
동국대학교/이해랑/예술극장||||문화센터|2260-8901~2|서울특별시 중구 서애로3길 25|서울시 중구 필동 3가 26|||||-||동국대학교 이해랑 예술극장||||100203
LG아트센터||||문화센터|2005-0114|서울특별시 강남구 논현로 508|서울시 강남구 역삼동 679|||||LG Arts Center||LG아트센터||||100203
예술의전당/토월극장||||문화센터|580-1300|서울시 서초구 남부순환로 2406||||||Seoul Arts Center Towol Theater||예술의전당 토월극장||||100203
예술의전당/자유소극장||||문화센터|580-1300|서울시 서초구 남부순환로 2406||||||Seoul Arts Center Jayu Theater||예술의전당 자유소극장||||100203
예술의전당/오페라극장||||문화센터|580-1300|서울시 서초구 남부순환로 2406||||||Seoul Arts Center Opera Theater||예술의전당 오페라극장||||100203
소극장/가변||||문화센터|747-8573|서울특별시 성북구 삼선교로18길 6|서울시 성북구 삼선3가 5-2|||||-||소극장 가변|지하1층;지하1층|||100203
세종문화회관/M씨어터||||문화센터|399-1111|서울특별시 종로구 세종대로 지하175|서울시 종로구 세종로 81-3|||||Sejong M Theater||세종문화회관 M씨어터||||100203
세종문화회관/대극장||||문화센터|399-1111|서울특별시 종로구 세종대로 지하175|서울특별시 종로구 세종로 81-3|||||Sejong Center||세종문화회관 대극장||||100203
성동문화회관/소월아트홀||||문화센터|2292-6400|서울특별시 성동구 왕십리로 281|서울특별시 성동구 행당동 142-16|||||Sowol Art Hall||성동문화회관 소월아트홀||||100203
서울패션아트홀||||문화센터|3670-4567|. 서울특별시 중구 마장로 22|서울시 중구 신당동 251-7|||||Seoul Fashion & Art Hall||서울패션아트홀|서울패션센터 5층;서울패션센터 5층|||100203
서울퍼포밍아트홀||||문화센터|3274-8500|서울특별시 마포구 대흥로20길 28|서울시 마포구 대흥동 30-3|||||Seoul Performing Arts Hall||서울퍼포밍아트홀||||100203
서강대학교/메리홀(대극장)||||문화센터|705-8743|서울특별시 마포구 백범로 35|서울시 마포구 신수동 1|||||Sogang University Mary Hall||서강대학교 메리홀(대극장)||||100203
삼일로창고극장||||문화센터|319-8020||서울시 중구 저동1가 1-20|||||Changgo Theatre||삼일로창고극장||||100203
사.춤전용관||||문화센터|3676-7616/7617||서울시 종로구 낙원동 284-6|||||Sa-Choom Theater||사.춤전용관|낙원빌딩 5층 502호|||100203
백암아트홀||||문화센터|559-1333|서울특별시 강남구 테헤란로113길 7|서울시 강남구 삼성동 170-5|||||Baekam Art Hall||백암아트홀||||100203
문화일보홀||||문화센터|3701-5754|서울특별시 중구 새문안로 22|서울시 중구 충정로1가 68|||||Munhwailbo Hall||문화일보홀|문화일보 홀|||100203
열림홀||||문화센터|010-4742-3511|서울특별시 종로구 김상옥로 37|서울시 종로구 연지동 136-25|||||openhall||열림홀|가나의집 B2|||100203
목동/브로드홀||||문화센터|2647-8175|서울특별시 양천구 목동동로 233|서울특별시 양천구 목동 923-5|||||Broad Hall||목동 브로드홀||||100203
샤롯데씨어터||||문화센터|411-5011/1644-0078|서울특별시 송파구 올림픽로 240|서울시 송파구 잠실동 40-1|||||Charlotte Theater||샤롯데씨어터||||100203
우림청담씨어터||||문화센터|02-569-0655|서울특별시 강남구 선릉로 806|서울시 강남구 청담동 86외 1.|||||Woolim Theater||우림청담씨어터|I&H빌딩 지하2,3층 (학동사거리,구 키네마 극장)|||100203
서울열린극장/창동||||문화센터|994-1465|서울특별시 도봉구 노해로69길 132|서울특별시 도봉구 창동 1-6|||||Seoul Open Theater CHANG DONG||서울열린극장 창동||||100203
명동난타극장||||문화센터|318-6004|서울특별시 중구 명동길 26|서울시 중구 명동2가 50-14|||||명동아트센터||명동난타극장(구.명동아트센터)||||100203
롯데월드/예술극장||||문화센터|411-0668|서울특별시 송파구 올림픽로 240|서울시 송파구 잠실동 40-1|||||Lotteworld Art Theater||롯데월드 예술극장||||100203
인산아트홀||||문화센터|569-8576|서울특별시 강남구 영동대로 407|서울시 강남구 대치동 949-1|||||로빈아트홀||인산아트홀(구.로빈아트홀)|코니빌딩 지하1층;코니빌딩 지하1층|||100203
라트어린이극장||||문화센터|560-0999|서울특별시 강남구 분당수서로 164|서울시 강남구 도곡동 514-1|||||LATT Children`s Theatre||라트어린이극장||||100203
떼아뜨르추||||문화센터|3142-0538~9||서울시 마포구 동교동 358-116|||||-||떼아뜨르추||||100203
두레홀/4관||||문화센터|02-741-5978|서울특별시 종로구 대학로12길 15|서울시 종로구 동숭동 1-54|||||Doore Hall 4||두레홀 4관||||100203
두산아트센터/연강홀||||문화센터|708-5001~3|서울특별시 종로구 종로33길 15|서울시 종로구 연지동 270|||||Doosan Art Center Yonkang Hall||두산아트센터 연강홀||||100203
두산아트센터/스페이스111||||문화센터|708-5001|서울특별시 종로구 종로33길 15|서울시 종로구 연지동 270|||||DooSan Art Center Space 111||두산아트센터 스페이스111||||100203
동양아트홀||||문화센터|515-6510|서울특별시 강남구 도산대로 108|서울시 강남구 논현동 1-3|||||Dongyang Art Hall||동양아트홀|렉스타워 B1;렉스타워 B1|||100203
동방예술극장||||문화센터|712-3865|서울특별시 마포구 신촌로20길 19|서울시 마포구 노고산동 33-22|||||-||동방예술극장||||100203
돔아트홀||||문화센터|3437-2002|서울특별시 광진구 능동로 216|서울시 광진구 능동 18|||||Dom Art Hall||돔아트홀||||100203
나루아트센터||||문화센터|02-2049-4700|서울시 광진구 능동로 375||||||Naru Art Center||나루아트센터|광진문화예술회관|||100203
국립극장/KB청소년/하늘극장||||문화센터|02-2280-4114~5|서울시 중구 당충단길 158||||||The National Theater of Korea : KB Haneul Youth Theaater||국립극장 KB청소년 하늘극장||||100203
국립극장/해오름||||문화센터|02-2280-4114~5|서울시 중구 당충단길 158||||||The National Theater of Korea : Studio Hae||국립극장 해오름||||100203
국립극장/별오름||||문화센터|02-2280-4114~5|서울시 중구 당충단길 158||||||The National Theater of Korea : Studio Byeol||국립극장 별오름||||100203
국립극장/달오름||||문화센터|02-2280-4114~5|서울시 중구 당충단길 158||||||The National Theater of Korea : Studio Dal||국립극장 달오름||||100203
