##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@변호사
법무법인/의암||||변호사|6929-0610|서울 강남구 테헤란로8길 33||||||||법무법인 의암|4층 (역삼동,청원빌딩)|||91604
법무법인/거산||||변호사|2607-6200|서울 서초구 서초대로40길 41||||||||법무법인 거산|4층 (서초동,대호IR빌딩)|||91604
법무법인/카이로||||변호사|6972-1638|서울 서초구 법원로4길 31||||||||법무법인 카이로|3층 (서초동,대원빌딩)|||91604
법무법인/송경||||변호사|3471-1040|서울 강남구 테헤란로 322||||||||법무법인 송경|704호 (역삼동,한신인터밸리24빌딩)|||91604
법무법인/한음||||변호사|534-9876|서울 서초구 서초중앙로 154||||||||법무법인 한음|2층 (서초동,화평빌딩)|||91604
법무법인/신의||||변호사|535-9114|서울 서초구 반포대로 79||||||||법무법인 신의|4층 (서초동,개념원리빌딩)|||91604
법무법인/울림||||변호사|6365-0607|서울 강남구 영동대로 607||||||||법무법인 울림|13층 (삼성동,랜드마크빌딩)|||91604
법무법인/올흔||||변호사|3481-2700|서울 강남구 선릉로 704||||||||법무법인 올흔|2층 (청담동,청담벤처프라자)|||91604
법무법인/대원씨앤씨||||변호사|042-485-2345|대전 서구 둔산중로78번길 26||||||||법무법인 대원씨앤씨|401호 (둔산동,민석타워)|||91604
법무법인/법승||||변호사|782-9980|서울 서초구 서초대로 269||||||||법무법인 법승|302호 (서초동,부림빌딩)|||91604
법무법인/루츠||||변호사|6010-9900|서울 서초구 법원로3길 15||||||||법무법인 루츠|102호 (서초동,영포빌딩)|||91604
법무법인/명석||||변호사|02-3482-1230|서울 서초구 반포대로30길 39||||||||법무법인 명석|3층 (서초동,덕촌빌딩)|||91604
법무법인/정앤정||||변호사|053-742-0300|대구 수성구 동대구로 356||||||||법무법인 정앤정|2층 (범어동,상영빌딩)|||91604
법무법인/파랑||||변호사|043-294-9410|충북 청주시 서원구 산남로70번길 14||||||||법무법인 파랑|501호 (산남동,하이탑빌딩)|||91604
법무법인/동천||||변호사|031-334-1600|경기 용인시 처인구 명지로 81||||||||법무법인 동천|203호 (역북동,용인상공회의소)|||91604
법무법인/중앙법률원||||변호사|6277-0150|서울 영등포구 국제금융로6길 26||||||||법무법인 중앙법률원|11층 (여의도동,한국노총빌딩)|||91604
신성합동/법무법인||||변호사|3486-7300|서울 서초구 서초중앙로24길 16||||||||신성합동 법무법인|8층 (서초동,KM타워)|||91604
법무법인/다한||||변호사|534-2114|서울 서초구 반포대로30길 82||||||||법무법인 다한|5층 (서초동,우서빌딩)|||91604
법무법인/더/가디언즈||||변호사||서울 서초구 서초대로46길 3||||||||법무법인 더 가디언즈|3층 (서초동) (서초동,빌딩 sm)|||91604
법무법인/타임||||변호사|583-7203|서울 서초구 서초대로 286||||||||법무법인 타임|407호 (서초동,서초프라자)|||91604
법무법인/기현||||변호사|778-6200|서울 중구 을지로5길 19||||||||법무법인 기현|19층 (수하동,FERRUM TOWER)|||91604
법무법인/이지||||변호사|3477-3422|서울 서초구 서초중앙로 154||||||||법무법인 이지|7층 (서초동,화평빌딩)|||91604
법무법인/도시와사람||||변호사|591-5553|서울 서초구 서초대로 278||||||||법무법인 도시와사람|5층 (서초동,금화빌딩)|||91604
법무법인/한송||||변호사|2038-8344|서울 서초구 서초중앙로 87||||||||법무법인 한송|5층 (서초동,예성빌딩)|||91604
법무법인/소원||||변호사|032-323-3400|경기 부천시 원미구 상일로 130||||||||법무법인 소원|306호,204호 (상동,부천법조빌딩)|||91604
법무법인/석현||||변호사|1661-1116|서울 서초구 서초대로46길 9||||||||법무법인 석현|3층 (서초동,SM빌딩)|||91604
법무법인/대해||||변호사|051-507-9045,6|부산 연제구 법원로32번길 18||||||||법무법인 대해|301호 (거제동,나래빌딩)|||91604
법무법인/유스트||||변호사|3476-4300|서울 서초구 서초대로41길 14||||||||법무법인 유스트|4층 (서초동,성암빌딩)|||91604
법무법인/효현||||변호사|053-759-6611~3|대구 수성구 동대구로 348-15||||||||법무법인 효현|5층 (범어동,율촌빌딩)|||91604
법무법인/선||||변호사|032-872-7300|인천 남구 소성로163번길 36||||||||법무법인 선|2층 (학익동,흥금빌딩)|||91604
법무법인/진심||||변호사|051-507-2772|부산 연제구 법원로 18||||||||법무법인 진심|1202호 (거제동,세종빌딩)|||91604
법무법인/조앤김||||변호사|595-3030|서울 강남구 테헤란로 116||||||||법무법인 조앤김|12층 (역삼동,동경빌딩)|||91604
법무법인/케이엘파트너스||||변호사|6226-7700|서울 종로구 종로5길 7||||||||법무법인 케이엘파트너스|(청진동,Tower 8)|||91604
법무법인/건율||||변호사|512-5084|서울 강남구 강남대로 508||||||||법무법인 건율|4층 (논현동,영동월드빌딩)|||91604
법무법인/율천||||변호사||부산 연제구 법원로 20||||||||법무법인 율천|1202호 (거제동,로제스티빌딩)|||91604
법무법인/우방||||변호사|6238-7005|서울 서초구 법원로 16||||||||법무법인 우방|5층 506호 (서초동,정곡빌딩동관)|||91604
법무법인/카이로스||||변호사|032-327-2020|경기 부천시 상일로 126||||||||법무법인 카이로스|301호,305호,306호,308호 (상동,뉴법조타운)|||91604
법무법인/리앤킴||||변호사|6959-7678|서울 서초구 서초대로 250||||||||법무법인 리앤킴|401호,402호 (서초동,스타갤러리브릿지)|||91604
법무법인/한마루||||변호사|6053-2739|서울 서초구 반포대로 108||||||||법무법인 한마루|5층 (서초동,양원빌딩)|||91604
법무법인/온새미로||||변호사|522-6551|서울 서초구 서초중앙로22길 54||||||||법무법인 온새미로|5층 (서초동,신포빌딩)|||91604
법무법인예율||||변호사|3474-5455|서울 서초구 서초대로 326||||||||법무법인예율|802호 (서초동,모인터빌딩)|||91604
법무법인/율담||||변호사|051-507-9007|부산 연제구 법원남로15번길 13||||||||법무법인 율담|2층 (거제동,시티빌딩)|||91604
법무법인/수성||||변호사|508-2217|서울 강남구 논현로80길 7||||||||법무법인 수성|1층 (역삼동,레트로빌딩)|||91604
법무법인/정훈||||변호사|062-223-7877|광주 동구 지산로63번길 3||||||||법무법인 정훈|2층 (지산동,요천빌딩)|||91604
법무법인/폴라리스||||변호사|556-0110|서울 강남구 테헤란로 623||||||||법무법인 폴라리스|6층 (삼성동,삼성빌딩)|||91604
법무법인/명륜||||변호사|585-6700|서울 서초구 서초대로50길 18||||||||법무법인 명륜|2층 (서초동,유성빌딩)|||91604
법무법인/굿윌파트너스||||변호사|501-0001|서울 강남구 봉은사로26길 10||||||||법무법인 굿윌파트너스|2,3층 (역삼동,건양빌딩)|||91604
법무법인/세지원||||변호사|032-567-1600|인천 서구 서곶로 317||||||||법무법인 세지원|3층 (심곡동,태양빌딩)|||91604
법무법인/평원||||변호사|555-6785|서울 강남구 테헤란로 516||||||||법무법인 평원|7층 (대치동,정헌빌딩)|||91604
법무법인/선화||||변호사|584-7500|서울 서초구 서초대로41길 19||||||||법무법인 선화|2층201-1호 (서초동,에이스빌딩)|||91604
법무법인/온세상||||변호사|599-7700|서울 서초구 서초중앙로26길 13||||||||법무법인 온세상|5~7층 (서초동)|||91604
법무법인/로플러스||||변호사|042-472-5566~9|대전 서구 문예로 73||||||||법무법인 로플러스|1003호,1004호 (둔산동,변호사회관)|||91604
법무법인/민심||||변호사|051-507-9030|부산 연제구 법원로 18||||||||법무법인 민심|1105호 (거제동,세종빌딩)|||91604
법무법인/민서||||변호사|597-9945,6|서울 서초구 반포대로30길 11||||||||법무법인 민서|4층 (서초동,경희빌딩)|||91604
법무법인/화론||||변호사|6490-7850|서울 양천구 신월로 389||||||||법무법인 화론|409호,410호 (신정동,남부빌딩)|||91604
법무법인/성공||||변호사|581-8788|서울 서초구 법원로2길 7-4||||||||법무법인 성공|202호 (서초동,동용빌딩)|||91604
법무법인/바다||||변호사|031-388-0380|경기 안양시 동안구 시민대로 287||||||||법무법인 바다|203호204호 (관양동,동양그라테아)|||91604
법무법인/목민||||변호사|594-0874|서울 서초구 반포대로30길 53||||||||법무법인 목민|3층 (서초동,조광빌딩)|||91604
법무법인/정산||||변호사|02-536-7821|서울 서초구 서초중앙로 156||||||||법무법인 정산|8층 (서초동,블루원빌딩)|||91604
법무법인/동연||||변호사|051-911-5601~2|부산 연제구 법원로 28||||||||법무법인 동연|502호,503호 (거제동,법조타운빌딩)|||91604
법무법인/현담||||변호사|031-552-8100|경기 남양주시 경춘로 404||||||||법무법인 현담|201호 (도농동)|||91604
법무법인/아우름||||변호사|3478-0881|서울 서초구 서초대로 53길 21||||||||법무법인 아우름|4층 (서초동,찬형빌딩)|||91604
법무법인/바움||||변호사|585-9002|서울 강남구 테헤란로 114길 20||||||||법무법인 바움|301호 (대치동,삼화빌딩)|||91604
법무법인해송||||변호사|3489-7132|서울 서초구 서초대로 301||||||||법무법인해송|9층 (서초동,동익성봉빌딩)|||91604
법무법인/테미스||||변호사|1600-3916|서울 서초구 반포대로30길 70||||||||법무법인 테미스|5층 (서초동,우성빌딩)|||91604
법무법인/호산||||변호사|379-6235|서울 영등포구 국제금융로 10||||||||법무법인 호산|6층 (여의도동,서울국제금융센터 ONE IFC)|||91604
법무법인/한민앤대교||||변호사|585-9944|서울 서초구 반포대로30길 70||||||||법무법인 한민앤대교|3층 (서초동,우성빌딩)|||91604
법무법인/충청||||변호사|043-241-1111|충북 청주시 서원구 산남로62번길 35||||||||법무법인 충청|602호 (산남동,미소시티II)|||91604
법무법인세광||||변호사|3482-3900|서울 서초구 서초대로 45길 20||||||||법무법인세광|2층~3층 (서초동,변호사교육문화관)|||91604
법무법인/율리||||변호사|053-754-5100|대구 수성구 동대구로 390||||||||법무법인 율리|2층 (범어동,범어타워)|||91604
법무법인/덕민||||변호사|535-0309|서울 서초구 서초대로 264||||||||법무법인 덕민|14층 (서초동,법조타워)|||91604
법무법인/혜||||변호사|711-6400|서울 강남구 삼성로 622||||||||법무법인 혜|3층,4층 (삼성동,대명빌딩)|||91604
법무법인/낮은||||변호사|3477-2222|서울 서초구 서초중앙로26길 13||||||||법무법인 낮은|3층 (서초동)|||91604
법무법인동헌||||변호사||서울 서초구 법원로 1길 5||||||||법무법인동헌|3층 (서초동,우암빌딩)|||91604
법무법인/현||||변호사|3218-8500|서울 강남구 도산대로 139||||||||법무법인 현|5층,6층,13층 (신사동,제이타워) (확장)서울 강남구 도산대로 149,8층 (신사동,진우빌딩)|||91604
법무법인/필로스||||변호사|3478-5400|서울 서초구 서초대로 286||||||||법무법인 필로스|701호 (서초동,서초프라자)|||91604
법무법인/혜명||||변호사|581-1188|서울 서초구 사임당로 17||||||||법무법인 혜명|6층 (서초동,김정문알로에빌딩)|||91604
법무법인/웅비||||변호사|537-2991|서울 서초구 서초대로45길 9||||||||법무법인 웅비|5층 (서초동,우송빌딩)|||91604
법무법인/벗||||변호사|02-598-6100|서울 서초구 서초중앙로22길 46||||||||법무법인 벗|4층 (서초동,선인빌딩)|||91604
법무법인/우리누리||||변호사|3288-0155|서울 서초구 서초대로 53길 23||||||||법무법인 우리누리|2층 (서초동,수성빌딩)|||91604
법무법인/의성||||변호사|523-9200|서울 서초구 서초대로 254||||||||법무법인 의성|1001호,1003호 (서초동,오퓨런스빌딩)|||91604
법무법인/태율||||변호사|6959-6720|서울 서초구 서초대로 251||||||||법무법인 태율|3층 (서초동,삼우빌딩)|||91604
법무법인/감우||||변호사|586-7227|서울 서초구 서초중앙로 41||||||||법무법인 감우|12층 (서초동,대성빌딩)|||91604
법무법인/이인||||변호사|3486-0288|서울 서초구 서초대로 266||||||||법무법인 이인|1204,1205호 (서초동,한승아스트라)|||91604
법무법인/청우||||변호사|560-5139|서울 서초구 강남대로 329||||||||법무법인 청우|19층 (서초동,산학재단빌딩)|||91604
법무법인/이도||||변호사|599-7722|서울 서초구 반포대로30길 90||||||||법무법인 이도|4층 (서초동,우진빌딩)|||91604
법무법인/대원서울||||변호사|3476-1271|서울 서초구 서초대로 265||||||||법무법인 대원서울|301호 (서초동,대신빌딩)|||91604
법무법인/정앤파트너스||||변호사|583-0010|서울 서초구 서초중앙로 52||||||||법무법인 정앤파트너스|5층 (서초동,영진빌딩)|||91604
법무법인/남효||||변호사|051-506-2107~8|부산 연제구 법원북로 67||||||||법무법인 남효|4층 (거제동,도우빌딩)|||91604
법무법인/휘담||||변호사|043-288-2112|충북 청주시 서원구 산남로62번길 34||||||||법무법인 휘담|5층 (산남동,광장빌딩)|||91604
법무법인/한틀||||변호사|031-928-5008|경기 의정부시 녹양로18번길 47-10||||||||법무법인 한틀|1층,3층 (가능동)|||91604
법무법인/전문||||변호사|6959-3282|서울 서초구 서초대로48길 33||||||||법무법인 전문|201호 (서초동,허브원빌딩)|||91604
법무법인/담우||||변호사|3775-3885|서울 강남구 선릉로 157길 24||||||||법무법인 담우|4층 (신사동)|||91604
법무법인/한경||||변호사|3477-3002|서울 서초구 반포대로24길 82||||||||법무법인 한경|2층 (서초동,에벤에셀빌딩)|||91604
법무법인/연||||변호사|063-278-8686|전북 전주시 덕진구 만성서로 78||||||||법무법인 연|5층 (만성동)|||91604
법무법인/에이치스||||변호사|595-5001|서울 서초구 법원로 10||||||||법무법인 에이치스|302호 (서초동,정곡빌딩 남관)|||91604
법무법인/무궁화||||변호사|596-9900|서울 서초구 서초대로51길 27||||||||법무법인 무궁화|3층 (서초동,이산빌딩)|||91604
법무법인/공감/파트너스||||변호사|6959-3336|서울 서초구 서초대로51길 14||||||||법무법인 공감 파트너스|306호 (서초동,JH엘로펌애비뉴빌딩)|||91604
법무법인/베스트로||||변호사|042-476-5400|대전 서구 문예로 73||||||||법무법인 베스트로|1103호 (둔산동,변호사회관)|||91604
법무법인/가헌||||변호사|3486-4222|서울 강남구 테헤란로20길 5||||||||법무법인 가헌|9층 (역삼동,양화빌딩)|||91604
법무법인/형제||||변호사|062-233-8500|광주 동구 동명로 107||||||||법무법인 형제|401호 (지산동,금강빌딩)|||91604
법무법인/태신||||변호사|533-9151|서울 서초구 서초대로50길 18||||||||법무법인 태신|6층 (서초동,유성빌딩)|||91604
법무법인/건양||||변호사|592-3995|서울 서초구 서초중앙로 149-12||||||||법무법인 건양|2층 (서초동,복빌딩)|||91604
법무법인/초석||||변호사|588-6784|서울 서초구 서초대로46길 16||||||||법무법인 초석|3층 (서초동,탑스빌딩)|||91604
법무법인/세상||||변호사|063-275-2766|전북 전주시 덕진구 사평로 24||||||||법무법인 세상|3층 303호 (덕진동1가,대동빌딩)|||91604
법무법인/율전||||변호사|534-8300|서울 서초구 서초대로 265||||||||법무법인 율전|402호 (서초동,대신빌딩)|||91604
법무법인/벼리||||변호사|051-782-9226|부산 해운대구 센텀북대로 60||||||||법무법인 벼리|1407호 (재송동,센텀아이에스타워)|||91604
법무법인/리츠||||변호사|575-3436|서울 서초구 사임당로1길 7||||||||법무법인 리츠|4층 (서초동,세현빌딩)|||91604
법무법인/청담||||변호사|501-4400|서울 영등포구 국제금융로 10||||||||법무법인 청담|5090호 (여의도동,3 IFC)|||91604
법무법인/집현||||변호사|02-3473-5907|서울 서초구 법원로4길 23||||||||법무법인 집현|(서초동,양지빌딩) 4층|||91604
법무법인/시원||||변호사|567-4611|서울 강남구 선릉로 578||||||||법무법인 시원|10층 (삼성동,태정빌딩)|||91604
법무법인/정명||||변호사|02-3473-9800|서울 서초구 서초대로51길 25||||||||법무법인 정명|601호 (서초동,로펌타워)|||91604
법무법인/한승||||변호사|533-7171|서울 서초구 서초대로 264||||||||법무법인 한승|11층 (서초동,법조타워)|||91604
법무법인/예현||||변호사|3462-9903|서울 강남구 테헤란로 439||||||||법무법인 예현|14층 (삼성동,연당빌딩)|||91604
법무법인/청조||||변호사|754-1062|서울 서초구 서초대로 254||||||||법무법인 청조|1406호 (서초동,오퓨런스)|||91604
법무법인/강||||변호사|6959-6195|서울 서초구 반포대로30길 57||||||||법무법인 강|4층 (서초동,우정빌딩)|||91604
법무법인/모악||||변호사|063-275-6007|전북 전주시 기린대로 492||||||||법무법인 모악|9층 (덕진동1가,삼전빌딩)|||91604
법무법인/흥인(興仁)||||변호사|032-872-1650|인천 남구 소성로 159||||||||법무법인 흥인(興仁)|202호,203호 (학익동,현준솔로몬시티)|||91604
법무법인/민율||||변호사|042-471-7171|대전 서구 둔산중로78번길 20||||||||법무법인 민율|304호,405호 (둔산동,명진빌딩)|||91604
법무법인/천명||||변호사|3481-9870|서울 서초구 서초대로 286||||||||법무법인 천명|906호 (서초동,서초프라자)|||91604
법무법인/선인||||변호사|051-506-8551|부산 연제구 법원로 28||||||||법무법인 선인|1306호 (거제동,부산법조타운빌딩)|||91604
법무법인/향법||||변호사|582-0606|서울 서초구 서초중앙로 114||||||||법무법인 향법|6층 (서초동,일광빌딩)|||91604
법무법인/베스트||||변호사|051-505-0800|부산 연제구 법원로 18||||||||법무법인 베스트|801호~804호 (거제동,세종빌딩)|||91604
법무법인/엠케이||||변호사|051-947-2001|부산 연제구 법원남로 16||||||||법무법인 엠케이|304호 (거제동,협성법조빌딩)|||91604
법무법인/유로||||변호사|534-6655|서울 서초구 법원로4길 41||||||||법무법인 유로|3층 (서초동,명광빌딩)|||91604
법무법인/경청||||변호사|063-255-7997|전북 전주시 덕진구 만성동로 60||||||||법무법인 경청|503호 (만성동,리드타워)|||91604
법무법인/알파로||||변호사|031-731-6551|경기 성남시 중원구 산성대로 380||||||||법무법인 알파로|6층 (금광동,동일빌딩)|||91604
법무법인/송천||||변호사|585-1472|서울 서초구 서초대로 274||||||||법무법인 송천|901호 (서초동)|||91604
법무법인/늘푸른||||변호사|052-221-8900~3|울산 남구 법대로8번길 32||||||||법무법인 늘푸른|2층 (옥동,건강빌딩)|||91604
법무법인/우정||||변호사|042-2940~1|대전 서구 둔산로137번길 44||||||||법무법인 우정|904호 (둔산동,서림빌딩)|||91604
법무법인/정림||||변호사|055-283-9911|경남 창원시 성산구 창이대로689번길 10||||||||법무법인 정림|302호 (사파동,성은빌딩)|||91604
법무법인/신유||||변호사|051-506-9762|부산 연제구 법원남로15번길 6||||||||법무법인 신유|4층 (거제동,은하빌딩)|||91604
법무법인/세기||||변호사|585-8387|서울 서초구 반포대로28길 63||||||||법무법인 세기|4층 (서초동,남양빌딩)|||91604
법무법인/지암||||변호사|6959-7360|서울 서초구 서초대로46길 106||||||||법무법인 지암|6층 (서초동,남일빌딩)|||91604
법무법인/에셀||||변호사|6367-9900|서울 서초구 서초대로56길 38||||||||법무법인 에셀|4층 (서초동)|||91604
법무법인/서산||||변호사|041-667-3434|충남 서산시 서해로 3185||||||||법무법인 서산|2층 (예천동,법조빌딩)|||91604
법무법인/율정||||변호사|587-8500|서울 서초구 서초중앙로24길 27||||||||법무법인 율정|321호 (서초동,지파이브센트럴프라자)|||91604
법무법인/장원||||변호사|051-949-0001|부산 연제구 법원로 42||||||||법무법인 장원|301호 (거제동,대한빌딩)|||91604
법무법인/평안||||변호사|6010-6565|서울 서초구 서초대로50길 8||||||||법무법인 평안|12층 (서초동,관정빌딩)|||91604
법무법인/제승||||변호사|3472-3476|서울 서초구 서초중앙로22길 54||||||||법무법인 제승|2층 (서초동,신포빌딩)|||91604
법무법인/숭인||||변호사|537-5361|서울 서초구 강남대로 202||||||||법무법인 숭인|2층,3층 (양재동,모산빌딩)|||91604
법무법인/이선||||변호사|556-7271|서울 서초구 서초중앙로 125||||||||법무법인 이선|503호,504호,505호,508호 (서초동,로이어즈타워)|||91604
법무법인/신영||||변호사|3785-3482|서울 서초구 서초대로55길 3||||||||법무법인 신영|2층 (서초동,애니빌딩)|||91604
법무법인/도시||||변호사|2183-0680|서울 서초구 서초대로49길 5||||||||법무법인 도시|202호 (서초동,승보빌딩)|||91604
유미/법무법인||||변호사|3458-9980|서울 강남구 테헤란로 115||||||||유미 법무법인|13층 (역삼동,서림빌딩)|||91604
법무법인/최상||||변호사|063-904-3300|전북 전주시 완산구 홍산로 275||||||||법무법인 최상|503호 (효자동2가,춘광빌딩)|||91604
법무법인로월드||||변호사|6223-1000|서울 서초구 반포대로 138||||||||법무법인로월드|3층 (서초동,양진빌딩)|||91604
법무법인/새롬||||변호사|044-868-8630||세종 조치원읍 세종로 2449|||||||법무법인 새롬|5층 (서창리,세종방송)|||91604
법무법인/인슈로||||변호사|535-3762|서울 서초구 사임당로17길 91||||||||법무법인 인슈로|202호 (서초동,진진빌딩)|||91604
법무법인/대율||||변호사|525-1935|서울 강남구 논현로85길 7||||||||법무법인 대율|6층 (역삼동,은혜빌딩)|||91604
법무법인/웅지||||변호사|3478-1062|서울 서초구 법원로1길 5||||||||법무법인 웅지|2층1호 (서초동,우암빌딩)|||91604
법무법인/민본||||변호사|031-382-6262|경기 안양시 동안구 관악대로 298||||||||법무법인 민본|4층 (관양동,도명빌딩)|||91604
법무법인/상현||||변호사|581-7001|서울 서초구 반포대로 89||||||||법무법인 상현|4층 (서초동,유민빌딩)|||91604
법무법인/새암||||변호사|523-2583|서울 서초구 서초대로50길 41||||||||법무법인 새암|3층 (서초동,백송빌딩)|||91604
법무법인/온세계||||변호사|2691-3200|서울 양천구 신월로 377||||||||법무법인 온세계|4층 (신정동,진성빌딩)|||91604
법무법인/서울로||||변호사|02-956-0123|서울 서초구 강남대로 210||||||||법무법인 서울로|5충 (양재동,행복빌딩)|||91604
법무법인/현재||||변호사|2693-3004|서울 서초구 강남대로 222-4||||||||법무법인 현재|(양재동,메디컬빌딩)|||91604
법무법인/디딤돌||||변호사|585-8457|서울 서초구 서초대로50길 41||||||||법무법인 디딤돌|4층 (서초동,백송빌딩)|||91604
법무법인/명현||||변호사|031-212-1919|경기 수원시 영통구 매봉로49번길 5||||||||법무법인 명현|2층 (매탄동,명정빌딩)|||91604
법무법인/리더스||||변호사|561-4811|서울 서초구 서초대로 264||||||||법무법인 리더스|4층,13층 9호,11호 (서초동,법조타워)|||91604
법무법인/오현||||변호사|3477-0008|서울 서초구 서초대로42길 41||||||||법무법인 오현|3층 (서초동,안화빌딩)|||91604
법무법인/예평||||변호사|031-211-3738|경기 수원시 영통구 중부대로 304||||||||법무법인 예평|(매탄동,명진빌딩 3층)|||91604
법무법인/민후||||변호사|532-3483|서울 강남구 테헤란로 134||||||||법무법인 민후|11층 (역삼동)|||91604
법무법인/우리로||||변호사|522-4004|서울 서초구 반포대로22길 100||||||||법무법인 우리로|3층 (서초동,삼덕빌딩)|||91604
법무법인/정상||||변호사|031-211-3700|경기 수원시 영통구 월드컵로150번길 4||||||||법무법인 정상|202호,203호 (광교행복프라자)|||91604
법무법인/건우||||변호사|533-7685|서울 서초구 서초중앙로 148||||||||법무법인 건우|4층 (서초동,희성빌딩)|||91604
법무법인/화목||||변호사|583-8400|서울 서초구 서초대로 254||||||||법무법인 화목|10층1009호 (서초동,오퓨런스빌딩)|||91604
법무법인/정의||||변호사|02-2038-7001|서울 강남구 테헤란로 425||||||||법무법인 정의|10층 (삼성동,신일빌딩)|||91604
법무법인바른길||||변호사|062-381-0050|광주 서구 상무중앙로 80||||||||법무법인바른길|1층 (치평동,전문건설회관)|||91604
법무법인/일헌||||변호사|033-747-8050~2|강원 원주시 무실새골길 14||||||||법무법인 일헌|3층 (무실동,법조빌딩)|||91604
법무법인/반석||||변호사|053-763-0007|대구 수성구 달구벌대로 2425||||||||법무법인 반석|4층 (범어동,유한양행빌딩)|||91604
법무법인/인강||||변호사|051-504-5400|부산 연제구 법원로 20||||||||법무법인 인강|1103호 (거제동,동주빌딩)|||91604
법무법인대륙아주||||변호사|563-2900|서울 강남구 테헤란로 317||||||||법무법인대륙아주|12층 (역삼동,동훈타워)|||91604
법무법인/가우||||변호사||경기 성남시 수정구 산성대로 91||||||||법무법인 가우|10층 (수진동,성호빌딩)|||91604
법무법인/금양||||변호사|521-1368|서울 서초구 서초중앙로 149-10||||||||법무법인 금양|2층 (서초동,현빌딩)|||91604
법무법인/서림||||변호사|042-485-0475|대전 서구 둔산로 137번길 44||||||||법무법인 서림|801호,802호 (둔산동,서림빌딩)|||91604
법무법인/동안||||변호사|6291-6730|서울 금천구 가산디지털1로 181||||||||법무법인 동안|315호 (가산동,가산 더블유센터)|||91604
법무법인/성하||||변호사|523-6688|서울 서초구 법원로2길 15||||||||법무법인 성하|505호 (서초동,길도빌딩)|||91604
법무법인/시율||||변호사|062-233-7701|광주 동구 지산로 73||||||||법무법인 시율|(지산동) 402호,403호 (지산동)|||91604
법무법인/송정||||변호사|053-756-4455|대구 수성구 동대구로 337||||||||법무법인 송정|403호 (범어동,화성파크리젠시 상가)|||91604
법무법인/평호||||변호사|599-5156|서울 서초구 서초대로 253||||||||법무법인 평호|200호 (서초동,지천빌딩)|||91604
법무법인/리앤리파트너즈||||변호사|3472-3900|서울 서초구 서초대로 254||||||||법무법인 리앤리파트너즈|1012호 (서초동,오퓨런스빌딩)|||91604
법무법인지안||||변호사|2007-6800|서울 강남구 강남대로 542||||||||법무법인지안|5층 (논현동,영풍빌딩)|||91604
법무법인/감사합니다||||변호사|599-0878|서울 서초구 서초대로 305||||||||법무법인 감사합니다|301호 (서초동,재영빌딩)|||91604
법무법인/이강||||변호사|599-5541|서울 서초구 서초대로 250||||||||법무법인 이강|403호~405호 (서초동,스타갤러리브릿지)|||91604
법무법인/피앤케이||||변호사|597-7367|서울 서초구 서초대로 326||||||||법무법인 피앤케이|2층 (서초동,모인터빌딩)|||91604
법무법인/기풍||||변호사|6255-0777|서울 서초구 서초대로 254||||||||법무법인 기풍|1108호,1109호 (서초동,오퓨런스빌딩)|||91604
법무법인/율하||||변호사|051-952-1001|부산 연제구 법원로 18||||||||법무법인 율하|1101호,1102호,1103호 (거제동,세종빌딩)|||91604
법무법인/세정||||변호사|595-3882|서울 서초구 법원로 16||||||||법무법인 세정|510호 (서초동,정곡빌딩 동관)|||91604
법무법인/미담||||변호사|723-1875|서울 종로구 인사동5길 26||||||||법무법인 미담|5층 (관훈동,홍익빌딩)|||91604
법무법인/매헌||||변호사|3486-9490|서울 서초구 서초중앙로22길 46||||||||법무법인 매헌|5층 (서초동,선인빌딩),서초구 서초중앙로22길 54,6층 (서초동,신포빌딩)|||91604
법무법인/유석||||변호사|051-714-6662|부산 연제구 법원북로 86||||||||법무법인 유석|7층,8층 (거제동,만해빌딩)|||91604
법무법인/로민||||변호사|457-2200|서울 서초구 반포대로30길 82||||||||법무법인 로민|401호 (서초동,우서빌딩)|||91604
법무법인/청송||||변호사|063-278-7300|전북 전주시 덕진구 사평로 32||||||||법무법인 청송|503호 (덕진동1가,동승빌딩)|||91604
법무법인/세령||||변호사|3472-1250|서울 서초구 반포대로 118||||||||법무법인 세령|5층 (서초동,우림빌딩)|||91604
법무법인/로우||||변호사|3476-7011|서울 서초구 법원로2길 14||||||||법무법인 로우|4층 (서초동,정남빌딩)|||91604
법무법인/서율||||변호사|2603-7183|서울 양천구 신월로 374||||||||법무법인 서율|401호~403호 (신정동,도림빌딩)|||91604
법무법인/정석||||변호사|031-384-9933|경기 안양시 동안구 시민대로 187||||||||법무법인 정석|905호 (비산동,안양건설타워)|||91604
법무법인/원진||||변호사|534-2571|서울 서초구 서초대로 278||||||||법무법인 원진|2층 (서초동,금화빌딩)|||91604
법무법인/해창||||변호사|722-0695|서울 종로구 새문안로3길 12||||||||법무법인 해창|701호 (신문로1가,신문로빌딩)|||91604
법무법인/서우||||변호사|02-752-7793|서울 서초구 법원로3길 20-3||||||||법무법인 서우|4층 (서초동,은곡빌딩)|||91604
법무법인/화담||||변호사|591-0089|서울 서초구 서초대로46길 38||||||||법무법인 화담|4층,6층 (서초동,센트라빌딩)|||91604
법무법인/지상||||변호사|598-2515|서울 서초구 반포대로22길 100||||||||법무법인 지상|2층 (서초동,삼덕빌딩)|||91604
