##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@고시원
한영원룸텔||||고시원|02-442-8886||서울시 강동구 명일동 326-7|||||||한영원룸텔|4층|||70205
보보레지던스|선릉점|||고시원|02-558-6262||서울 강남구 대치동 900-4|||||||보보레지던스 선릉점||||70205
스카이고시텔||||고시원|031-376-3797||경기도 오산시 오산동 877-30|||||||스카이고시텔||||70205
행복하우스||||고시원|02-2232-1033||서울시 동대문구 신설동 114-45|||||||행복하우스|(난계로26길 37)|||70205
리빙파크원룸텔||||고시원|02-313-3633||서울시 중구 중림동 128-15|||||||리빙파크원룸텔||||70205
삼성리빙텔|역곡점|||고시원|032-342-9425||경기도 부천시 괴안동 113-6|||||||삼성리빙텔 역곡점|우남타워 6층 (경인로 509)|||70205
happy&house||||고시원|02-453-6969||서울시 광진구 자양동 226-38|||||||happy&house|(아차산로 305 )해피하우스 2층|||70205
심플하우스|중곡점|||고시원|02-455-1171||서울시 광진구 중곡4동 115-1|||||||심플하우스 중곡점||||70205
SL리빙텔||||고시원|051-311-6566||부산시 사상구 괘법동 536-6|||||||SL리빙텔||||70205
하이리빙텔|오리역점|||고시원|031-786-0205||경기도 성남시 분당구 구미동 179|||||||하이리빙텔 오리역점|광림프라자 7층|||70205
예다움원룸텔||||고시원|032-541-7868||인천시 계양구 계산동 1081-4|||||||예다움원룸텔|유연프라자 4층|||70205
소호리빙텔|송파점|||고시원|02-415-6660||서울시 송파구 석촌동 274-14|||||||소호리빙텔 송파점||||70205
메르디앙/리빙텔||||고시원|031-715-7005||경기도 성남시 분당구 수내동 7-4|||||||메르디앙 리빙텔|4층 한도빌딩|||70205
신화고시원||||고시원|032-425-0606||인천시 부평구 십정2동 402-58|||||||신화고시원||||70205
솔고시원||||고시원|02-2060-2999||서울시 구로구 개봉본동 475|||||||솔고시원|영화상가 402호|||70205
부평/BS고시텔||||고시원|032-516-8288||인천시 부평구 부평5동 126-9|신설원룸||||||부평 BS고시텔||||70205
코엠리빙텔|목동점|||고시원|02-2647-7702||서울시 양천구 목4동 793-6|||||||코엠리빙텔 목동점|4층,5층|||70205
쉐르빌리빙텔|역삼점|||고시원|02-568-4703||서울 강남구 역삼동 659-24|||||||쉐르빌리빙텔 역삼점|래성빌딩2,3층|||70205
동일고시원||||고시원|02-875-5525||서울 관악구 신림동 254-104|||||||동일고시원||||70205
아이게스트하우스|대학로점|||고시원|02-762-2100||서울시 종로구 명륜1가 33-72|||||||아이게스트하우스 대학로점|부원빌딩 2층,3층,4층|||70205
오렌지레지던스||||고시원|02-334-7161||서울 마포구 동교동 158-25|||||||오렌지레지던스||||70205
엘리트고시원||||고시원|02-5588-373||서울 강남구 대치4동 922|||||||엘리트고시원||||70205
에이원레지던스||||고시원|02-723-3800||서울시 종로구 관철동 43-6|||||||에이원레지던스||||70205
삼성원룸텔|시흥점|||고시원|031-431-6161||경기도 시흥시 정왕동 1737-3|||||||삼성원룸텔 시흥점|4층|||70205
정자고시텔||||고시원|031-714-0885||경기도 성남시 분당 정자동 (한솔마을) 158-2|||||||정자고시텔|5층 정자고시원|||70205
아름다운싱글홈||||고시원|02-994-7768||서울 강북구 수유3동 174-7호 |||||||아름다운싱글홈||||70205
심플하우스|명지대점|||고시원|02-306-7778||서울 서대문구 홍은동 401-16|||||||심플하우스 명지대점||||70205
드림하우스||||고시원|032-872-4691||인천시 미추홀구 용현동 96-19|||||||드림하우스||||70205
드림고시텔||||고시원|02-813-2033||서울 동작구 본동 190-3|||||||드림고시텔|드림고시텔 2층|||70205
씨티하우스||||고시원|031-711-1300||경기도 성남시 분당 수내동 (푸른마을) 8-3|||||||씨티하우스|가나플라자 5F 씨티하우스|||70205
싱글하우스|중동점|||고시원|032-327-7574||경기도 부천시 원미 중동 1146|||||||싱글하우스 중동점|하이베라스빌딩 2층 싱글하우스|||70205
로뎀빌/리빙텔||||고시원|02-895-0140||서울 금천구 독산동 1007-1호 세광빌딩 2층 로뎀빌 리빙텔 |||||||로뎀빌 리빙텔||||70205
보보스빌||||고시원|02-2247-0010||서울 동대문구 장안동 232-10|||||||보보스빌|보명빌딩 2층|||70205
한솔리빙텔||||고시원|02-817-0355|서울 동작구 등용로 124||||||||한솔리빙텔|삼하빌딩 3층|||70205
스카이/고시텔||||고시원|032-543-2120||인천 계양구 계산동 1083-9|||||||스카이 고시텔||||70205
심플하우스|수내역점|||고시원|031-717-4911||경기도 분당구 수내동 8-4|||||||심플하우스 수내역점|영성라벤더 3층|||70205
캐슬파인|서울대점|||고시원|02-885-0207||서울시 관악구 낙성대동 1625-20|||||||캐슬파인 서울대점|2,3,4층|||70205
라임하우스|신사역/가로수길점|||고시원|070-8160-8887||서울시 강남구 신사동 516-7|||||||라임하우스 신사역/가로수길점||||70205
애플리빙텔||||고시원|031-897-9449||경기도 용인시 수지구 죽전동 1327|||||||애플리빙텔|- 1 월드프라자 501호|||70205
심플하우스|군자역점|||고시원|02-461-5578||서울 광진구 중곡동 638-4|||||||심플하우스 군자역점||||70205
삼성리빙텔|강남점|||고시원|02-512-5173||서울시 서초구 반포동 746-5|||||||삼성리빙텔 강남점||||70205
노블레지던스|잠실역점|||고시원|02-415-5886||서울시 송파구 송파동 57-8|||||||노블레지던스 잠실역점||||70205
노블레지던스|오류동점|||고시원|02-2615-1717||서울 구로구 오류동 38-1|||||||노블레지던스 오류동점|5층|||70205
마이홈고시텔||||고시원|031-707-2208||경기도 성남시 분당구 야탑동 360-3|||||||마이홈고시텔|(장미로 86. 4층)|||70205
로얄리빙텔||||고시원|010-5317-2244||서울 마포구 연남동 226-16|||||||로얄리빙텔||||70205
백마고시텔||||고시원|02-962-0100||서울시 동대문구 회기동 3-144|||||||백마고시텔||||70205
바나바원룸텔||||고시원|02-2066-0693||경기도 광명시 광명5동 290-14|||||||바나바원룸텔||||70205
드림시아고시텔||||고시원|031-714-6545||경기도 성남시 분당구 수내동 8-5|||||||드림시아고시텔|멋자랑맛자랑 4층|||70205
풀옵션/원룸/라임하우스||||고시원|010-8321-5241||서울시 구로구 구로동 1124-55|||||||풀옵션 원룸 라임하우스||||70205
종로/풀하우스/고시원||||고시원|02-2266-1996||서울 종로구 종로5가 231-5|||||||종로 풀하우스 고시원||||70205
라임하우스/구로디지탈단지||||고시원|02-6084-7890||서울 구로구 구로3동 1130-1|||||||라임하우스 구로디지탈단지|3층|||70205
비버리원룸텔||||고시원|02-418-3002|서울시 송파구 석촌호수로 84||||||||비버리원룸텔|(송파구 잠실본동 209-2)|||70205
삼성리빙텔|병점점|||고시원|031-898-5958||경기도 화성시 진안동 914-1|||||||삼성리빙텔 병점점|메인프라자|||70205
드림빌원룸텔|대학로점|||고시원|02-743-2070||서울시 종로구 명륜동 2가 185-1|||||||드림빌원룸텔 대학로점|상지빌딩|||70205
리빙파크|송파역점|||고시원|02-418-1170||서울 송파구 송파2동 98|||||||리빙파크 송파역점||||70205
스마트고시원/SOHO||||고시원|02-522-9831||서울 서초구 서초2동 1358-2|||||||스마트고시원 SOHO|장희빌딩 4,5층|||70205
마이빌원룸텔||||고시원|02-523-5145||서울 서초구 서초2동 1357-55|||||||마이빌원룸텔||||70205
스위트원룸텔||||고시원|02-418-0222||서울 송파구 방이2동 64-8|||||||스위트원룸텔|3층|||70205
파브원룸텔||||고시원|02-470-1159||서울 강동구 성내동 439-6|||||||파브원룸텔||||70205
초코하우스||||고시원|02-515-1403||서울 강남구 삼성동 9-24|||||||초코하우스|동곡빌딩 2층|||70205
건대원룸텔/라임하우스||||고시원|02-446-9988|서울 광진구 자양로 115||||||||건대원룸텔 라임하우스|(자양동 779-12번지)|||70205
지구촌하우스||||고시원|031-719-1933|경기도 성남시 분당구 돌마로 46||||||||지구촌하우스|광천프라자 3층|||70205
해피트리원룸텔||||고시원|02-525-1008||서울시 동작구 사당동 316-1|||||||해피트리원룸텔|3.4층 (사당로16길 27 )|||70205
베스트원룸텔||||고시원|02-2299-2700||서울시 성동구 하왕십리동 966-12|||||||베스트원룸텔|4층|||70205
파인하우스|서울대점|||고시원|02-872-1130||서울시 관악구 봉천동 1599-4|||||||파인하우스 서울대점||||70205
아이비원룸텔||||고시원|02-813-0055||서울시 동작구 상도동 188-40|||||||아이비원룸텔|(상도로 148)|||70205
힐리빙텔||||고시원|02-2236-3237||서울시 중구 황학동 2494|||||||힐리빙텔||||70205
보라매고시원||||고시원|02-814-9289||서울시 동작구 노량진2동 40-38|||||||보라매고시원||||70205
코스모스고시텔||||고시원|02-403-8040||서울 송파구 거여동 133ㅡ19 |||||||코스모스고시텔||||70205
탑레지던스|오리역점|||고시원|031-711-6366|경기도 성남시 분당구 구미로 9번길 13-7.||||||||탑레지던스 오리역점|JW빌딩 7,8층|||70205
e편한고시텔||||고시원|02-2604-4255||서울 강서구 화곡3동 1024-14|||||||e편한고시텔||||70205
코코레지던스|단국대점|||고시원|031-889-2532|경기도 용인시 수지구 대지로 154||여성전용||||||코코레지던스 단국대점|(죽전 성지교회 건물)|||70205
한스고시텔|시청역점|||고시원|031-225-5006|경기도 수원시 팔달구 인계로 108번길 39-12||||||||한스고시텔 시청역점|수림빌딩 3층|||70205
오투원룸텔||||고시원|031-261-7770||경기도 용인시 수지읍 죽전리 305-2|||||||오투원룸텔|죽전프라자 6층|||70205
골든싱글하우스||||고시원|070-4960-3555||경남 창원시 상남동 49-1|||||||골든싱글하우스|명성상가 3층|||70205
메종드빌고시텔||||고시원|02-2678-2453||서울시 영등포구 영등포4가 117-1|||||||메종드빌고시텔||||70205
코코리빙텔|신노량진점|||고시원|02-816-4005||서울시 동작구 노량진동 266-4|||||||코코리빙텔 신노량진점||||70205
마마스홈텔|인하대점|||고시원|032-872-1141||인천시 남구 용현동 182-21|||||||마마스홈텔 인하대점|2층|||70205
웰컴리빙텔||||고시원|010-7270-4862||서울 송파구 가락동 16-17|||||||웰컴리빙텔|웰컴리빙텔|||70205
프라임고시텔||||고시원|02-813-7049||서울 동작구 상도1동 483-14|||||||프라임고시텔||||70205
프라임고시텔||||고시원|02-825-3332||서울시 동작구 노량진2동 40-39|||||||프라임고시텔||||70205
코코레지던스|선릉점|||고시원|02-564-3536||서울시 강남구 삼성동 143-23|||||||코코레지던스 선릉점||||70205
아트원룸텔|공릉역점|||고시원|02-972-2279||서울시 노원구 공릉동 362-26|||||||아트원룸텔 공릉역점|(동일로 1102)|||70205
싱글하우스|부천점|||고시원|032-611-5300||경기도 부천시 원미구 심곡동 130-6|||||||싱글하우스 부천점||||70205
라온리빙텔||||고시원|031-653-2463||경기도 평택시 합정동 971-5|||||||라온리빙텔|5층 (도로명.평택5로34번길 96)|||70205
리빙캐슬|불광역점|||고시원|02-355-0207||서울시 은평구 대조동 15-91|||||||리빙캐슬 불광역점|(3층 4층 5층) : 은평구 통일로65길 11 (한울빌딩)|||70205
3/4/원룸텔||||고시원|031-511-5155||경기도 남양주시 평내동 578-2|||||||3 4 원룸텔|평내프라자 605호|||70205
청솔고시원||||고시원|02-2625-1112||서울 구로구 오류동 34-1|||||||청솔고시원||||70205
리빙캐슬|장승배기점|||고시원|02-823-8022||서울 동작구 상도동 185-1|||||||리빙캐슬 장승배기점|2,3층|||70205
노량진고시텔||||고시원|02-814-0020||서울시 동작구 노량진동 240-46|||||||노량진고시텔||||70205
태성고시원||||고시원|02-2637-7166||서울시 영등포구 문래동3가 77-30|||||||태성고시원||||70205
봄솔리빙텔||||고시원|02-867-0700||서울시 구로구 구로동 104-7|||||||봄솔리빙텔||||70205
Light/house||||고시원|02-823-7676||서울 동작구 상도1동 652|||||||Light house||||70205
청강고시텔||||고시원|032-329-6200||경기도 부천시 원미 상동 406|||||||청강고시텔|(4층)|||70205
리미에르||||고시원|010-3776-9230||경기도 용인시 수지구 풍덕천1동 924|||||||리미에르||||70205
21C싱글하우스||||고시원|02-838-2101||서울시 관악구 신원동 1587-21|||||||21C싱글하우스||||70205
마이빌원룸텔||||고시원|02-762-1919||서울 종로구 종로6가 210-11호 3|||||||마이빌원룸텔|4,5층|||70205
심플하우스|구의점|||고시원|02-452-9336||서울시 광진구 구의동 246-43|||||||심플하우스 구의점||||70205
리빙파크원룸텔||||고시원|02-2253-0992||서울시 종로구 숭인동 200-25|||||||리빙파크원룸텔|3,4층 (종로 384)|||70205
소호리빙텔신사점||||고시원|02-547-8015||서울 서초구 잠원동 24-6|||||||소호리빙텔신사점|성일빌딩 5층|||70205
뉴욕원룸텔||||고시원|032-519-5959||인천 부평구 부평동 182-1|||||||뉴욕원룸텔||||70205
심플하우스|서초역점|||고시원|02-586-5260||서울 서초구 서초동 1523-18|||||||심플하우스 서초역점||||70205
민족통일고시텔||||고시원|02-929-3053|서울시 동대문구 이문로 88||||||||민족통일고시텔||||70205
홈고시텔||||고시원|031-402-2622||경기도 안산시 고잔동 707-4|||||||홈고시텔|한남법조타운 4층 407호|||70205
리빙캐슬|길동점|||고시원|02-474-1148||서울시 강동구 길동 250|||||||리빙캐슬 길동점|3층|||70205
이매고시텔||||고시원|031-707-6022||경기도 성남시 분당 이매동 (이매촌) 115-5한라5층 |||||||이매고시텔||||70205
코코리빙텔|대방점|||고시원|02-833-8895||서울시 영등포구 신길2동 159-50|||||||코코리빙텔 대방점||||70205
아이비하우스||||고시원|02-953-5114||서울시 성북구 안암동5가 86-10|||||||아이비하우스|(도로명 : 안암로 105)|||70205
신세계원룸고시텔||||고시원|031-826-2442||경기도 의정부시 의정부3동 133-54|||||||신세계원룸고시텔||||70205
스타고시텔||||고시원|02-822-4336||서울시 동작구 노량진동 205-14|||||||스타고시텔||||70205
클린원룸텔||||고시원|02-957-1524||서울 동대문구 이문동 96-1|||||||클린원룸텔||||70205
비바레지던스||||고시원|02-434-8842||서울시 중랑구 망우동 487-17|원룸형||||||비바레지던스||||70205
정명고시텔||||고시원|02-571-5335||서울시 강남구 개포동 170|||||||정명고시텔||||70205
벤처원룸텔||||고시원|02-854-3533||서울 관악구 조원동 (신림8동) 519-8|||||||벤처원룸텔||||70205
심플하우스|천호동점|||고시원|02-476-3002||서울 강동구 천호동 402-8|||||||심플하우스 천호동점|4층|||70205
인천/제일고시텔||||고시원|032-434-4533|인천 남동구 백범로 345-2||||||||인천 제일고시텔|2층 제일고시텔|||70205
멤버리빙텔||||고시원|031-942-3109||경기도 파주시 금촌동 767-7|||||||멤버리빙텔||||70205
성전하우스&고시텔||||고시원|031-754-3200||경기도 성남시 중원 성남동 4152|신설||||||성전하우스&고시텔||||70205
신촌원룸텔||||고시원|02-332-8282||서울 서대문구 창천동 52-139|||||||신촌원룸텔||||70205
홍대/찰스고시텔||||고시원|010-6498-1895||서울 마포구 서교동 332-3|||||||홍대 찰스고시텔||||70205
비전하우스||||고시원|02-312-5995||서울시 서대문구 합동 28-43|||||||비전하우스||||70205
탑레지던스|정자점|||고시원|031-716-1103||경기도 성남시 분당구 정자동 159-5|||||||탑레지던스 정자점|백궁프라자II 8층|||70205
프라임원룸텔||||고시원|02-511-3042||서울 강남구 논현동 186-6|||||||프라임원룸텔||||70205
대학고시텔||||고시원|02-2625-3258||서울 구로구 고척동 62|||||||대학고시텔|- 22호 대학고시텔|||70205
노블리빙텔|노원점|||고시원|02-933-0118||서울시 노원구 상계2동 353-1|||||||노블리빙텔 노원점||||70205
리치웰빙텔||||고시원|031-781-8877||경기도 성남시 분당구 야탑동 361-2|||||||리치웰빙텔|우송프라자 2층|||70205
파인하우스교보점||||고시원|02-545-1126||서울시 서초구 반포동 745|||||||파인하우스교보점||||70205
잠잠/고시원||||고시원|02-566-4805||서울 강남구 역삼동 733-8|||||||잠잠 고시원|남국B/D 4층|||70205
심플하우스/강남역|국기원점|||고시원|02-569-4911||서울 강남구 역삼동 636-21|||||||심플하우스 강남역 국기원점||||70205
강북고시원||||고시원|02-999-9678||수유역인근 서울 강북구 수유3동 174-1|||||||강북고시원||||70205
소망고시텔||||고시원|010-5268-0435||경기도 고양시 덕양구 행신동 725|||||||소망고시텔|예일크리닉빌딩 3층|||70205
씨앤에스원룸텔||||고시원|010-2222-4051||서울 성동구 성수2가1동 321-1|||||||씨앤에스원룸텔||||70205
코니하우스압구정로데오점||||고시원|02-516-7900||서울 강남구 신사동 660-13|||||||코니하우스압구정로데오점||||70205
태양고시원||||고시원|032-555-7945|인천시 계양구 계산천 서로 43||||||||태양고시원||||70205
스카이고시원||||고시원|032-348-8882||경기도 부천시 역곡동 81-6|||||||스카이고시원||||70205
멀티하우스/리빙텔||||고시원|02-854-8688||서울시 관악구 신림동 1604-37|||||||멀티하우스 리빙텔||||70205
리빙캐슬암사점||||고시원|02-473-0130||서울 강동구 천호2동 322-32|||||||리빙캐슬암사점||||70205
예술고시원||||고시원|031-474-3733||경기도 안양시 만안구 안양2동 30-37호 |||||||예술고시원||||70205
허브원룸텔|건대점|||고시원|02-2038-3311||서울시 광진구 화양동 2-46|||||||허브원룸텔 건대점|(능동로 149)|||70205
백마고시원||||고시원|032-527-0900||인천시 부평구 부평동 464-28|||||||백마고시원|(부평대로 109번지)|||70205
좋은원룸텔||||고시원|02-6404-8031||서울시 도봉구 창동 134-36|||||||좋은원룸텔||||70205
청문고시텔||||고시원|031-204-0450||수원시 영통구 영통동 1023-3|||||||청문고시텔|(매영로 412)|||70205
코코리빙텔|장승배기점|||고시원|02-822-4001||서울시 동작구 상도2동 358-1|||||||코코리빙텔 장승배기점|2~3층|||70205
클린원룸텔||||고시원|070-4324-5998||서울시 강동구 명일동 326-7|||||||클린원룸텔||||70205
이노리빙텔||||고시원|02-934-4588||서울시 노원구 상계2동 369-5|||||||이노리빙텔||||70205
현대원룸텔||||고시원|032-545-5150||인천시 계양구 계산1동 987-30|||||||현대원룸텔|(도로명 : 계양대로139번길 4)|||70205
Lotus/Flower||||고시원|--||서울 광진구 화양동 2-22|||||||Lotus Flower|2층|||70205
신축오픈/하늘원룸텔||||고시원|02-335-2700||서울시 서대문구 창천동 57-20|||||||신축오픈 하늘원룸텔|명신빌딩 8층|||70205
스타원룸텔||||고시원|02-747-1717||서울 종로구 명륜동3가 154-3|||||||스타원룸텔||||70205
ip레지던스||||고시원|02-363-2833||서울시 서대문구 대현동 60-7|||||||ip레지던스|(이화여대8길 3)|||70205
리빙캐슬|노량진학원가점|||고시원|02-826-2277|서울시 동작구 노량진로 92||||||||리빙캐슬 노량진학원가점|(서울시 동작구 노량진동 27-11)|||70205
마이룸고시텔||||고시원|02-2217-0070||서울시 동대문구 답십리 3동 468-13|||||||마이룸고시텔|우신빌딩 3층|||70205
황토방원룸텔||||고시원|02-766-6300||서울시 종로구 숭인동 189|||||||황토방원룸텔||||70205
미소리빙텔||||고시원|02-323-4066|서울시 마포구 월드컵북로 7길 11||||||||미소리빙텔|(서교동 449-1) 성지빌딩 3층|||70205
리빙파크삼성병원점||||고시원|01-2226-9611||서울시 강남구 일원동 666-3|||||||리빙파크삼성병원점|(도로명 : 일원로9길 28 )|||70205
심플하우스|제기역점|||고시원|02-961-5354||서울 동대문구 제기동 1071|||||||심플하우스 제기역점||||70205
한남/i/BIZ고시원||||고시원|02-793-3635||서울시 용산구 한남2동 737-23|||||||한남 i BIZ고시원|4층|||70205
나이스고시텔||||고시원|02-499-7399||서울 광진구 군자동 356~6 |||||||나이스고시텔||||70205
클린원룸텔||||고시원|02-318-6873||서울시 중구 회현동1가 53-12호 |||||||클린원룸텔||||70205
신세계리빙텔||||고시원|031-889-5400||경기도 용인시 기흥읍 보정동 1195-2|||||||신세계리빙텔|하이프라자 5층|||70205
클린게스트||||고시원|02-470-7456||서울시 강동구 성내동 428-4|||||||클린게스트||||70205
연텔고시원||||고시원|02-813-8130||서울특별시 동작구 노량진1동 163-8|||||||연텔고시원|마본빌딩 3층 (매봉로 178)|||70205
리더고시텔||||고시원|010-4360-7895||서울시 동작구 본동 190-3|||||||리더고시텔||||70205
그린빌원룸텔||||고시원|02-6082-7194||서울특별시 강동구 명일동 312-63|||||||그린빌원룸텔|(양재대로145길 17)|||70205
**오투원룸텔(노량진점)**||||고시원|02-825-0023||서울시 동작구 노량진2동 27-10|||||||**오투원룸텔(노량진점)**||||70205
둥지리빙텔||||고시원|02-904-8949||서울 도봉구 창4동 12|||||||둥지리빙텔|한성B/D 3층|||70205
현대리빙텔||||고시원|031-477-7738||경기도 안양시 호계동 971-10|||||||현대리빙텔||||70205
J&J원룸고시텔||||고시원|02-814-3337||서울 동작구 신대방2동 342-15|||||||J&J원룸고시텔||||70205
모모레지던스||||고시원|031-905-8851||경기도 고양시 장항동 756-3|||||||모모레지던스|크리스탈빌딩 6층|||70205
청석원룸텔||||고시원|02-816-8916|서울시 동작구 상도로 37길 5||||||||청석원룸텔|(동작구 상도1동 667)|||70205
심플하우스|구로역점|||고시원|02-2632-1117||서울 구로구 구로동 612-6|||||||심플하우스 구로역점|미성빌딩 3층|||70205
드림싱글하우스||||고시원|055-274-7778||경남 창원시성산구 상남동 92-2|||||||드림싱글하우스|타임빌딩 601,602호|||70205
A+원룸텔||||고시원|02-911-2295||서울시 성북구 장위동 50-25|||||||A+원룸텔||||70205
레이크팰리스||||고시원|02-424-3307||서울시 송파구 잠실본동 252-12|||||||레이크팰리스||||70205
아일랜드레지던스||||고시원|010-9371-1353||서울시 종로구 숭인동 1395|||||||아일랜드레지던스|3층|||70205
소호리빙텔옥수점||||고시원|02-2292-6677||서울 성동구 옥수동 100|||||||소호리빙텔옥수점||||70205
허브레지던스|경희대점|||고시원|02-966-2822||서울 동대문구 회기동 60-42|||||||허브레지던스 경희대점|3~4층|||70205
코아리빙텔|광희점|||고시원|02-2272-8779||서울시 중구 광희동 1가 98|||||||코아리빙텔 광희점||||70205
쉐르빌리빙텔|노량진점|||고시원|02-812-5799||서울 동작구 노량진1동 323|||||||쉐르빌리빙텔 노량진점|우성아파트상가동 2층|||70205
프라임빌리빙텔||||고시원|02-566-0009||서울 동작구 대방동 339-16|||||||프라임빌리빙텔|한신빌딩 2~5층|||70205
레이크빌원룸텔||||고시원|02-444-2929||서울 광진구 자양동 225-51|||||||레이크빌원룸텔|(아차산로39가길 15)|||70205
분당레지던스||||고시원|010-4586-8658||경기도 성남시 분당 이매동 (이매촌) 146-2|||||||분당레지던스||||70205
프라임웰빙텔||||고시원|02-704-6389||서울 용산구 청파동2가 42-31|숙명여대앞||||||프라임웰빙텔|4층|||70205
토브리빙텔||||고시원|02-456-6234||서울시 광진구 구의1동 243-6|||||||토브리빙텔|3,4층|||70205
삼성원룸텔||||고시원|02-521-0567||서울시 서초구 방배동 910|||||||삼성원룸텔|남주빌딩 4층|||70205
아산레지던스||||고시원|02-487-5505||서울시 송파구 풍납동 392-5|||||||아산레지던스|(도로명,강동대로7길 4)|||70205
신흥시티빌||||고시원|031-876-1800||경기도 의정부시 호원동 119-53|||||||신흥시티빌||||70205
성현고시원||||고시원|031-442-3640||경기도 안양시 만안구 안양동 695-189|||||||성현고시원|2층|||70205
아이원리빙텔|장승배기점|||고시원|02-817-2488|서울시 동작구 상도로 145||||||||아이원리빙텔 장승배기점|(서울시 동작구 상도동 188-5)|||70205
충정로리빙텔||||고시원|02-312-0220||서울 중구 중림동 398-10|||||||충정로리빙텔||||70205
아인스원룸텔|건대점|||고시원|02-456-4200||서울 광진구 자양동 773-9|||||||아인스원룸텔 건대점||||70205
미스터고시원||||고시원|032-214-0930||인천시 남동구 구월동 1199-4|||||||미스터고시원|(독점로29번길 30) 3층 301호|||70205
보정/모젠원룸텔||||고시원|031-264-8589||경기도 용인시 기흥구 보정동 557-10|||||||보정 모젠원룸텔||||70205
파크빌원룸텔|장한평역점|||고시원|02-3394-8400||서울시 동대문구 장안동 418-6|||||||파크빌원룸텔 장한평역점|(4.5층) (한천로2길 87)|||70205
양지고시원||||고시원|032-508-2338||인천시 부평구 부평5동 199-41|||||||양지고시원||||70205
라임하우스|대치/선릉점|||고시원|02-566-0143||서울 강남구 대치동 904-17|||||||라임하우스 대치/선릉점||||70205
코지하우스||||고시원|02-930-1040||서울 노원구 상계5동 389-356|||||||코지하우스|경인빌딩 4층|||70205
아이텔고시원||||고시원|031-392-5279||경기도 군포시 산본동 1142-10|||||||아이텔고시원|(산본로 323번길 15)|||70205
드림리빙텔|명일역점|||고시원|02-427-3330||서울 강동구 명일동 328-2|||||||드림리빙텔 명일역점|명일빌딩 4층 (엘리베이터)|||70205
멤버스원룸텔||||고시원|02-830-8878||서울시 구로구 구로3동 1130-57|||||||멤버스원룸텔||||70205
대원리빙텔||||고시원|031-391-7733||경기도 군포시 산본동 1137-2|||||||대원리빙텔|여명프라자 5층|||70205
가산베스트원룸텔||||고시원|02-830-2202||서울시 구로구 가리봉동 135-3|||||||가산베스트원룸텔|(도로명 : 디지털로20길 6) 1,2,3 층|||70205
웰빙고시텔||||고시원|02-872-0080||서울특별시 관악구 봉천동 912-19|||||||웰빙고시텔||||70205
마이홈리빙|노량진점|||고시원|02-817-9819||서울 동작구 노량진2동 40-32|||||||마이홈리빙 노량진점|마이홈리빙텔 노량진점|||70205
원일고시원&원룸텔||||고시원|02-501-4055||서울 강남구 역삼동 787|||||||원일고시원&원룸텔|2~5층|||70205
등불여성전용고시원||||고시원|02-481-7470||서울 강동구 명일동 312-67|||||||등불여성전용고시원||||70205
코코리빙텔남부터미널점||||고시원|02-3487-6001||서울 서초구 서초동 1459-11|||||||코코리빙텔남부터미널점|청학빌딩 4층|||70205
프라젠리빙텔||||고시원|031-721-6545||경기도 성남시 중원구 성남동 3489|||||||프라젠리빙텔|6층 프라젠리빙텔|||70205
심플하우스|롯데월드점|||고시원|010-8226-3959||서울 송파구 송파동 59-10|||||||심플하우스 롯데월드점||||70205
편한세상고시텔|장승배기점|||고시원||||||||||편한세상고시텔 장승배기점||||70205
원당룸고시텔||||고시원|031-962-4112||경기도 고양시 덕양 주교동 |||||||원당룸고시텔||||70205
중앙고시원||||고시원|02-813-6006||서울 동작구 상도1동 645-1|||||||중앙고시원||||70205
심플하우스|잠실역점|||고시원|02-417-7787||서울 송파구 방이동 63-1|||||||심플하우스 잠실역점||||70205
스타리빙텔||||고시원|02-824-2100||서울시 동작구 노량진동 85-12|||||||스타리빙텔|(노량진로14가길 10)|||70205
심플하우스|가락시장역점|||고시원|02-402-0434||서울 송파구 가락동 81-1|||||||심플하우스 가락시장역점|삼원빌딩 4,5층|||70205
파인하우스||||고시원|02-2232-3671||서울 중구 신당동 366-2|풀옵션 원룸텔||||||파인하우스|나동 2,3,4층|||70205
코지하우스|미금점|||고시원|031-786-0773||경기도 성남시 분당구 금곡동 151|||||||코지하우스 미금점|(도로명 : 돌마로 87)|||70205
청운고시원||||고시원|031-7111-722||경기도 성남시 분당 금곡동 (청솔마을) 151|||||||청운고시원|골드프라쟈703|||70205
사랑리빙텔||||고시원|02-556-1048||서울시 강남구 역삼동 663-15|||||||사랑리빙텔||||70205
네스트원룸텔|신림역점|||고시원|02-877-8863||서울 관악구 신림동 1422-29|||||||네스트원룸텔 신림역점|태양마트 건물 2층|||70205
심플하우스평내점||||고시원|031-511-1303||경기도 남양주시 평내동 578-1|||||||심플하우스평내점||||70205
리빙파크|이수역점|||고시원|02-532-1749||서울시 동작구 사당동 141-47|||||||리빙파크 이수역점||||70205
MY역곡리빙텔||||고시원|032-346-9001||경기도 부천시 괴안동 127-2|||||||MY역곡리빙텔|위드플러스타워8층|||70205
휴먼빌원룸고시텔|강남점|||고시원|02-541-6056||서울시 강남구 논현동 113-21|||||||휴먼빌원룸고시텔 강남점||||70205
유니하우스||||고시원|010-9675-7600||서울시 동작구 노량진동 86-3|||||||유니하우스|(노량진로 14다길 8)|||70205
