##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@자동차운전학원
장용자동차운전전문학원||||자동차운전학원|041-541-1393~4|충청남도 아산시 실옥로 196-7||||||||장용자동차운전전문학원|(실옥동)|||20306
충남/삼성자동차운전전문학원||||자동차운전학원|041-531-2255|충청남도 아산시 온천대로 1790-12||||||||충남 삼성자동차운전전문학원|(남동)|||20306
예산자동차운전전문학원||||자동차운전학원|041-331-4200|충청남도 예산군 오가면 오신로 244||||||||예산자동차운전전문학원|(원천리)|||20306
삼원자동차운전전문학원||||자동차운전학원|041-622-1515|충청남도 천안시 서북구 성거읍 석문길 10-3||||||||삼원자동차운전전문학원|(요방리)|||20306
중앙삼성자동차운전전문학원||||자동차운전학원|041-558-4411|충청남도 천안시 서북구 부대3길 7||||||||중앙삼성자동차운전전문학원|(부대동)|||20306
천안자동차운전전문학원||||자동차운전학원|041-551-2420|충청남도 천안시 서북구 천안대로 962||||||||천안자동차운전전문학원|(두정동)|||20306
반도자동차운전전문학원||||자동차운전학원|041-675-3040|충청남도 태안군 태안읍 서해로 2120||||||||반도자동차운전전문학원|(인평리)|||20306
음성한일자동차운전전문학원||||자동차운전학원|043-872-2396|충청북도 음성군 음성읍 중리길 42||||||||음성한일자동차운전전문학원|(신천리)|||20306
제천자동차운전전문학원||||자동차운전학원|043-642-3551|충청북도 제천시 강저로15길 14||||||||제천자동차운전전문학원|(강제동)|||20306
제천현대자동차운전전문학원||||자동차운전학원|043-647-1164|충청북도 제천시 내토로 959||||||||제천현대자동차운전전문학원|(고암동)|||20306
진천자동차운전전문학원||||자동차운전학원|043-533-3593|충청북도 진천군 진천읍 문화6길 41-1||||||||진천자동차운전전문학원|(장관리)|||20306
교원자동차운전전문학원||||자동차운전학원|043-235-7060|충청북도 청주시 흥덕구 강내면 석화사인길 109-5||||||||교원자동차운전전문학원||||20306
대영자동차운전전문학원||||자동차운전학원|043-218-7701|충청북도 청주시 청원구 내수읍 구성길 17||||||||대영자동차운전전문학원|(구성리)|||20306
상당자동차운전전문학원||||자동차운전학원|043-288-9500|충청북도 청주시 상당구 목련로 106-72||||||||상당자동차운전전문학원|(운동동)|||20306
아주자동차운전전문학원||||자동차운전학원|043-237-9600|충청북도 청주시 서원구 남이면 양촌3길 13||||||||아주자동차운전전문학원|(양촌리)|||20306
청주자동차운전전문학원||||자동차운전학원|043-234-9200|충청북도 청주시 흥덕구 죽천로79번길 4||||||||청주자동차운전전문학원|(복대동)|||20306
충북/금성자동차운전전문학원||||자동차운전학원|043-296-3001|충청북도 청주시 서원구 구룡산로 228||||||||충북 금성자동차운전전문학원|(산남동)|||20306
조양자동차운전전문학원||||자동차운전학원|043-853-5801|충청북도 충주시 샘골길 26||||||||조양자동차운전전문학원|(안림동)|||20306
