##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@대형예술센터
김제문화예술회관||||대형예술센터|063-540-4171|전라북도 김제시 성산길 20||||||||김제문화예술회관||||100204
덕진예술회관||||대형예술센터|063-281-6657|전북 전주시 덕진구 권삼득로 407||||||||덕진예술회관||||100204
부안예술회관||||대형예술센터|063-580-4318|전라북도 부안군 부안읍 예술회관길 11||||||||부안예술회관||||100204
순창향토회관||||대형예술센터|063-650-1645|전라북도 순창군 순창읍 장류로 407-11||||||||순창향토회관||||100204
완주문예회관||||대형예술센터|063-290-2597|전라북도 완주군 용진면 지암로 61||||||||완주문예회관||||100204
익산예술의전당||||대형예술센터|063-859-3315|전라북도 익산시 동서로 490||||||||익산예술의전당||||100204
장수한누리전당||||대형예술센터|063-353-2240|전라북도 장수군 장수읍 한누리로 393||||||||장수한누리전당||||100204
정읍사예술회관||||대형예술센터|063-539-6421|전라북도 정읍시 시기4길 13||||||||정읍사예술회관||||100204
춘향문화예술회관||||대형예술센터|063-620-5720|전라북도 남원시 양림길 43||||||||춘향문화예술회관||||100204
한국소리문화의전당||||대형예술센터|063-270-7800|전라북도 전주시 덕진구 소리로 31||||||||한국소리문화의전당|(덕진동1가)|||100204
전라북도예술회관||||대형예술센터|063-284-4445|전라북도 전주시 완산구 팔달로 161||||||||전라북도예술회관|(경원동1가)|||100204
남도소리울림터||||대형예술센터|061-981-0280|전남 무안군 삼향읍 남악로 222|||||||전남문화관광재단|남도소리울림터|남도소리울림터|||100204
강진군아트홀||||대형예술센터|061-430-3972|전라남도 강진군 강진읍 영랑로1길 9||||||||강진군아트홀||||100204
고흥문화회관||||대형예술센터|061-830-6712|전라남도 고흥군 고흥읍 고흥로 1892-67||||||||고흥문화회관||||100204
곡성레저문화센터||||대형예술센터|061-360-8343|전라남도 곡성군 곡성읍 곡성로 855||||||||곡성레저문화센터||||100204
광양문화예술회관||||대형예술센터|061-797-3838|전라남도 광양시 광양읍 향교길 9-30||||||||광양문화예술회관||||100204
구례문화예술회관||||대형예술센터|061-780-2431|전라남도 구례군 구례읍 양정2길 11||||||||구례문화예술회관||||100204
나주문화예술회관||||대형예술센터|061-339-4612|전라남도 나주시 예향로 4137||||||||나주문화예술회관||||100204
담양문화회관||||대형예술센터|061)380-3464|전라남도 담양군 담양읍 지침6길 29||||||||담양문화회관||||100204
목포시문화예술회관||||대형예술센터|061-270-4031|전라남도 목포시 남농로 102||||||||목포시문화예술회관||||100204
무안군/승달문화예술회관||||대형예술센터|061-450-4081|전라남도 무안군 무안읍 창포로 8||||||||무안군 승달문화예술회관||||100204
보성군문화예술회관||||대형예술센터|061-850-8660|전라남도 보성군 보성읍 송재로 281-9||||||||보성군문화예술회관||||100204
순천문화예술회관||||대형예술센터|061-749-8612|전라남도 순천시 삼산로 16||||||||순천문화예술회관||||100204
여수시민회관||||대형예술센터|061-659-3799|전라남도 여수시 좌수영로 69||||||||여수시민회관|(광무동 42-19)|||100204
영광예술의전당||||대형예술센터|061-350-5691|전라남도 영광군 영광읍 천년로13길 2-34||||||||영광예술의전당||||100204
완도문화예술의전당||||대형예술센터|061-550-5460|전라남도 완도군 완도읍 개포로159번길 55||||||||완도문화예술의전당||||100204
장성문화예술회관||||대형예술센터|061-390-8475|전라남도 장성군 장성읍 문화로 110||||||||장성문화예술회관||||100204
장흥문화예술회관||||대형예술센터|061-860-0357|전라남도 장흥군 장흥읍 읍성로 96||||||||장흥문화예술회관||||100204
진도향토문화회관||||대형예술센터|061-540-6254|전라남도 진도군 진도읍 진도대로 7197||||||||진도향토문화회관||||100204
해남문화예술회관||||대형예술센터|061-530-5452|전라남도 해남군 해남읍 군청길 4||||||||해남문화예술회관||||100204
GS칼텍스/예울마루||||대형예술센터|061-808-7000|전라남도 여수시 예울마루로 100||||||||GS칼텍스 예울마루|(시전동 1003)|||100204
목포시민문화체육센터||||대형예술센터|061-270-8376|전라남도 목포시 부주로 312||||||||목포시민문화체육센터||||100204
여수/진남문예회관||||대형예술센터|061-659-3770|전라남도 여수시 좌수영로 69||||||||여수 진남문예회관||||100204
서귀포예술의전당||||대형예술센터|064-760-3341|제주특별자치도 서귀포시 태평로 270||||||||서귀포예술의전당||||100204
제주아트센터||||대형예술센터|064-728-8953|제주특별자치도 제주시 오남로 231||||||||제주아트센터||||100204
제주문예회관||||대형예술센터|064-710-7632|제주특별자치도 제주시 동광로 69|||||||제주특별자치도문화예술진흥원|제주문예회관|(일도2동)|||100204
