##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@PACADEMY
#신나는피아노음악학원||||음악/미술학원||울산광역시 남구 옥현로 92-17||1|학교교과교습학원;예능(대);음악;예능(중)|||||#신나는피아노음악학원|2층,201호 (무거동)|||20309
와이드너어학원||||외국어학원|052-257-1105|울산광역시 남구 수암로116번길 57||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||와이드너어학원|3층 (야음동)|||20305
와이비엠잉글루신정제1캠퍼스학원||||외국어학원||울산광역시 남구 대암로 96-2||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||와이비엠잉글루신정제1캠퍼스학원|2층 (야음동)|||20305
와이비엠잉글루초중등영어전문학원||||일반학원||울산광역시 남구 중앙로 42||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||와이비엠잉글루초중등영어전문학원|3층 (야음동)|||20315
와이알Y/R탄츠무용학원||||취미학원|052-227-1356|울산광역시 남구 중앙로 170||2|학교교과교습학원;예능(대);무용;예능(중)|||||와이알Y R탄츠무용학원|2층 (달동)|||20313
와이이에스윤선생윤스잉글리시스쿨영어숲어학원||||외국어학원|052-257-0594|울산광역시 남구 돋질로251번길 15||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||와이이에스윤선생윤스잉글리시스쿨영어숲어학원|1513-15번지 2층 (삼산동)|||20305
와이즈만창의영재학원||||일반학원|052-256-0500|울산광역시 남구 문수로 300||9|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||와이즈만창의영재학원|2층 (옥동,울산소식)|||20315
와이키즈학원||||일반학원|052-227-0510|울산광역시 남구 대공원입구로21번길 10||8|학교교과교습학원;기타(대);기타(소);기타(중)|||||와이키즈학원|(옥동)|||20315
와튼스칼라스어학원||||외국어학원|052-911-0911|울산광역시 남구 문수로 344||6|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||와튼스칼라스어학원|옥동프라자 801호 (옥동)|||20305
와튼킨디엘리어학원||||외국어학원|052-271-0061|울산광역시 남구 문수로 339||13|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||와튼킨디엘리어학원|(5층) (옥동,옥동업무시설)|||20305
요한음악학원||||음악/미술학원|052-277-1932|울산광역시 남구 굴화4길 27||3|학교교과교습학원;예능(대);음악;예능(중)|||||요한음악학원|(2층) (무거동,너랑나랑어린이집)|||20309
우대성실용음악학원||||음악/미술학원|052-227-9084|울산광역시 남구 왕생로86번길 30||6|학교교과교습학원;예능(대);음악;예능(중)|||||우대성실용음악학원|4층 (달동,현대홈타운스위트)|||20309
우락수학학원||||일반학원|052-260-2612|울산광역시 남구 돋질로 325||14|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||우락수학학원|5층,6층 (삼산동)|||20315
우리들의행복한클라리넷음악학원||||음악/미술학원||울산광역시 남구 번영로 203||2|학교교과교습학원;예능(대);음악;예능(중)|||||우리들의행복한클라리넷음악학원|3층 (신정동)|||20309
우리설계전문학원||||컴퓨터학원||울산광역시 남구 대학로84번길 5-14||6|평생직업교육학원;직업기술;컴퓨터(정보처리,통신기기,인터넷,소프트웨어);컴퓨터|||||우리설계전문학원|3층 (무거동)|||20310
우리음악학원||||음악/미술학원|052-272-4390|울산광역시 남구 은월로12번길 12||2|학교교과교습학원;예능(대);음악;예능(중)|||||우리음악학원|2단지1호동 303호 (옥동,옥동세한현대아파트2단지상가 1 2단지상가)|||20309
우리좋은단과전문학원||||일반학원||울산광역시 남구 중앙로17번길 6||8|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||우리좋은단과전문학원|2층 (야음동)|||20315
우영실용음악학원||||음악/미술학원|052-273-6377|울산광역시 남구 봉월로 36||2|학교교과교습학원;예능(대);음악;예능(중)|||||우영실용음악학원|(2층) (신정동,한국통신엠닷컴)|||20309
우향미술학원||||음악/미술학원|052-267-1165|울산광역시 남구 도산로77번길 16||3|학교교과교습학원;예능(대);미술;예능(중)|||||우향미술학원|금호타운아파트상가 109동 301~304호 (달동,어울림상가동 (109동))|||20309
우형준영어전문학원||||일반학원|016-9722-7750|울산광역시 남구 법대로95번길 8||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||우형준영어전문학원|(3층) (옥동)|||20315
울산간호학원||||전문자격학원|052-256-0343|울산광역시 남구 삼산로 24||8|평생직업교육학원;직업기술;간호조무사;간호보조기술|||||울산간호학원|프라자빌딩 (6층) (신정동,프라자빌딩)|||20307
울산건축CAD설계학원||||전문자격학원|052-268-0474|울산광역시 남구 중앙로 210-1||4|평생직업교육학원;직업기술;토목;산업기반기술|||||울산건축CAD설계학원|3층일부 (신정동)|||20307
울산경매학원||||전문자격학원||울산광역시 남구 돋질로302번길 13||2|평생직업교육학원;직업기술;경매;경영·사무관리|||||울산경매학원|3층 (삼산동)|||20307
울산공무원학원||||국가고시학원||울산광역시 남구 대학로 130||7|평생직업교육학원;인문사회(대);성인고시;인문사회(중)|||||울산공무원학원|6층 (무거동)|||20308
울산굴화점작심독서실||||독서실|052-222-1550|울산광역시 남구 울밀로 2906||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산굴화점작심독서실|901호 일부 (무거동,한솔애플타워)|||20317
울산남구에스엘피어학원||||외국어학원|052-235-0505|울산광역시 남구 문수로 377||32|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||울산남구에스엘피어학원|대공원센트럴하임더시티 4층,401호,402호,403호,404호,405호,406호 (옥동)|||20305
울산대산전기학원||||전문자격학원|052-261-0227|울산광역시 남구 갈밭로10번길 8||3|평생직업교육학원;직업기술;전기;산업기반기술|||||울산대산전기학원|4층 (삼산동)|||20307
울산대성마이맥학원||||일반학원|052-269-0604|울산광역시 남구 문수로 368||18|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||울산대성마이맥학원|(옥동)|||20315
울산대성학원||||일반학원|052-224-6655|울산광역시 남구 북부순환도로 45||25|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||울산대성학원|7~9층 (무거동)|||20315
울산대현점작심독서실||||독서실||울산광역시 남구 야음로 25||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산대현점작심독서실|동부아파트 상가 401호 및 402호 일부 (야음동,동부아파트)|||20317
울산도배기술학원||||전문자격학원|052-269-7676|울산광역시 남구 봉월로 58||11|평생직업교육학원;직업기술;도배;산업서비스|||||울산도배기술학원|(2층) (신정동)|||20307
울산동포학원||||컴퓨터학원|052-922-0161|울산광역시 남구 돋질로 90||2|평생직업교육학원;직업기술;컴퓨터(정보처리,통신기기,인터넷,소프트웨어);컴퓨터|||||울산동포학원|2층 (달동)|||20310
울산디앤에이/입시미술학원||||음악/미술학원|052-265-4545|울산광역시 남구 삼산로 63||4|학교교과교습학원;예능(대);미술;예능(중)|||DNA 입시미술학원||울산디앤에이(DNA)입시미술학원|3층 (달동)|||20309
울산멘사에스지영재학원||||일반학원|052-261-1251|울산광역시 남구 문수로369번길 65||2|학교교과교습학원;기타(대);기타(소);기타(중)|||||울산멘사에스지영재학원|5층 (신정동,한서빌딩)|||20315
울산명성과학전문학원||||일반학원|052-267-1605|울산광역시 남구 대공원입구로9번길 24-7||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||울산명성과학전문학원|외 1필지 (2층) (옥동)|||20315
울산무거요미요미학원||||음악/미술학원|052-223-1666|울산광역시 남구 북부순환도로 23||3|학교교과교습학원;예능(대);미술;예능(중)|||||울산무거요미요미학원|(무거동,삼호신용협동조합)|||20309
울산바둑학원||||일반학원|052-222-2234|울산광역시 남구 거마로134번길 17||3|학교교과교습학원;기타(대);바둑;기타(중)|||||울산바둑학원|3층 302호 (신정동)|||20315
울산부동산아카데미학원||||전문자격학원|052-256-5678|울산광역시 남구 봉월로 13||3|평생직업교육학원;직업기술;부동산;경영·사무관리|||||울산부동산아카데미학원|3층 (신정동)|||20307
울산뷰티스쿨미용학원||||전문자격학원|052-272-8838|울산광역시 남구 봉월로50번길 23-2||12|평생직업교육학원;직업기술;이·미용;산업응용기술|||||울산뷰티스쿨미용학원|1층 일부 (신정동)|||20307
울산브레인유피학원||||일반학원|052-260-4233|울산광역시 남구 대공원로 119||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||울산브레인유피학원|129-5 동성파크맨션 상가 2층 (옥동,동서파크맨션)|||20315
울산사진학원||||전문자격학원|052-260-2885|울산광역시 남구 삼산로35번길 17||3|평생직업교육학원;직업기술;사진;산업응용기술|||||울산사진학원|(4층) (신정동)|||20307
울산삼산본동점작심독서실||||독서실||울산광역시 남구 정동로118번길 13-1||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산삼산본동점작심독서실|2층 전체 (삼산동)|||20317
울산삼산센터하우스터디독서실||||독서실||울산광역시 남구 남중로 121-1||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산삼산센터하우스터디독서실|2층 일부 (삼산동)|||20317
울산삼산엘씨플레이스팀로봇학원||||일반학원|052-271-7282|울산광역시 남구 번영로 141||4|학교교과교습학원;기타(대);기타(소);기타(중)|||||울산삼산엘씨플레이스팀로봇학원|(달동)|||20315
울산삼산점작심독서실||||독서실||울산광역시 남구 돋질로 281||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산삼산점작심독서실|5층 일부 (삼산동)|||20317
울산세탁기술학원||||전문자격학원||울산광역시 남구 봉월로 29||4|평생직업교육학원;직업기술;세탁;산업서비스|||||울산세탁기술학원|2층 (신정동)|||20307
울산수암점작심독서실||||독서실||울산광역시 남구 수암로115번길 8||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산수암점작심독서실|2층 전체 (신정동)|||20317
울산스즈키바이올린첼로학원||||음악/미술학원||울산광역시 남구 거마로14번길 11||4|학교교과교습학원;예능(대);음악;예능(중)|||||울산스즈키바이올린첼로학원|1층 (신정동)|||20309
울산시청점작심독서실||||독서실|052-288-2662|울산광역시 남구 삼산로 60||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산시청점작심독서실|2층 전체,3층 일부 (신정동)|||20317
울산엠에스음악학원||||음악/미술학원|052-227-2108|울산광역시 남구 봉월로 178||6|학교교과교습학원;예능(대);음악;예능(중)|||||울산엠에스음악학원|(신정동,태화관광)|||20309
울산엠제이공무원법학원||||국가고시학원||울산광역시 남구 화합로 238-1||7|평생직업교육학원;인문사회(대);성인고시;인문사회(중)|||||울산엠제이공무원법학원|2층 (삼산동)|||20308
울산옥동쓰리제이에듀학원||||일반학원||울산광역시 남구 대공원입구로21번길 38||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||울산옥동쓰리제이에듀학원|2층 (옥동)|||20315
울산옥동작심독서실||||독서실||울산광역시 남구 문수로 322||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||울산옥동작심독서실|5층 일부,6층 전체 (옥동)|||20317
울산와이즈만영재학원||||일반학원|052-256-0500|울산광역시 남구 문수로 300||8|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||울산와이즈만영재학원|(1층) (옥동,울산소식)|||20315
울산요리학원||||전문자격학원|052-261-6007|울산광역시 남구 중앙로 222||6|평생직업교육학원;직업기술;식음료품(바리스타,소믈리에);산업응용기술|||||울산요리학원|(2,3층) (신정동)|||20307
울산용접학원||||전문자격학원|052-266-9479|울산광역시 남구 중앙로 302-1||3|평생직업교육학원;직업기술;기계;산업기반기술|||||울산용접학원|(3,4층) (신정동)|||20307
울산웹툰만화학원||||일반학원|052-267-1550|울산광역시 남구 돋질로 82||3|학교교과교습학원;기타(대);만화;기타(중)|||||울산웹툰만화학원|(4층) (달동)|||20315
울산위험물전문학원||||전문자격학원|052-274-9337|울산광역시 남구 삼산로 153||3|평생직업교육학원;직업기술;안전관리;산업기반기술|||||울산위험물전문학원|(3층) (달동,대원빌딩)|||20307
울산이가자뷰티아카데미미용학원||||전문자격학원|052-257-5140|울산광역시 남구 삼산로 12||6|평생직업교육학원;직업기술;이·미용;산업응용기술|||||울산이가자뷰티아카데미미용학원|3층 (신정동)|||20307
울산자동차정비학원||||전문자격학원||울산광역시 남구 돋질로 232||3|평생직업교육학원;직업기술;자동차;산업기반기술|||||울산자동차정비학원|2층 (달동)|||20307
울산커피바리스타학원||||전문자격학원|052-277-3479|울산광역시 남구 북부순환도로1번길 7||6|평생직업교육학원;직업기술;식음료품(바리스타,소믈리에);산업응용기술|||||울산커피바리스타학원|(무거동)|||20307
울산컴퓨터학원||||컴퓨터학원|052-277-8100|울산광역시 남구 대학로 112||5|평생직업교육학원;직업기술;컴퓨터(정보처리,통신기기,인터넷,소프트웨어);컴퓨터|||||울산컴퓨터학원|(무거동)|||20310
울산케이에이지이영재교육학원||||일반학원|052-257-6176|울산광역시 남구 번영로 195||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||울산케이에이지이영재교육학원|동문아뮤티 304호 (3층) (신정동,동문아뮤티)|||20315
울산타일기술학원||||전문자격학원|052-269-7676|울산광역시 남구 봉월로 62||6|평생직업교육학원;직업기술;미장;산업서비스|||||울산타일기술학원|6층,7층 (신정동)|||20307
울산툴박스게임아카데미학원||||컴퓨터학원|052-260-4309|울산광역시 남구 중앙로 165-1||2|평생직업교육학원;직업기술;게임;컴퓨터|||||울산툴박스게임아카데미학원|9층 일부 (신정동)|||20310
울산퍼스트애견미용학원||||전문자격학원||울산광역시 남구 돋질로 103||3|평생직업교육학원;직업기술;애견미용;일반서비스|||||울산퍼스트애견미용학원|6층 일부 (신정동)|||20307
울산한솔중국어학원||||외국어학원|052-900-1680|울산광역시 남구 번영로 145||11|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||울산한솔중국어학원|12층 일부 (달동)|||20305
웅진북클럽학습센터신정학원||||일반학원||울산광역시 남구 대암로 69||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||웅진북클럽학습센터신정학원|306호 및 307호 (야음동,신정현대프라자)|||20315
워릭어학원||||일반학원||울산광역시 남구 문수로370번길 6||14|학교교과교습학원;입시.검정 및 보습;진학지도;진학지도|||||워릭어학원|1층일부,4층일부 (옥동)|||20315
원경학원||||일반학원|052-261-5533|울산광역시 남구 신정로18번길 6||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||원경학원|2층 (달동)|||20315
원깨비스마튼영어전문학원||||외국어학원||울산광역시 남구 수암로 143||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||원깨비스마튼영어전문학원|6층 (야음동)|||20305
원코딩학원||||일반학원|052-277-8578|울산광역시 남구 옥현로 75||4|학교교과교습학원;기타(대);소프트웨어;기타(중)|||||원코딩학원|(무거동)|||20315
월드액터연기학원||||일반학원||울산광역시 남구 왕생로 99||5|학교교과교습학원;기타(대);연극;기타(중)|||||월드액터연기학원|3층 (달동)|||20315
위니드수학무거캠퍼스학원||||일반학원|052-212-0901|울산광역시 남구 신복로 33||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||위니드수학무거캠퍼스학원|극동프라자 304호 (3층) (무거동,극동프라자)|||20315
위더스수학전문학원||||일반학원|052-260-8827|울산광역시 남구 수암로 171-2||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||위더스수학전문학원|2층 (야음동)|||20315
위드경매전문학원||||전문자격학원|052-942-0085|울산광역시 남구 문수로 315||12|평생직업교육학원;직업기술;경매;경영·사무관리|||||위드경매전문학원|3층 (옥동)|||20307
위룰수학영어전문학원||||일반학원|052-221-1227|울산광역시 남구 울밀로 2882||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||위룰수학영어전문학원|(무거동)|||20315
위어학원||||외국어학원|052-700-0588|울산광역시 남구 중앙로 21||7|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||위어학원|(4층) (야음동)|||20305
위영어전문학원||||외국어학원||울산광역시 남구 대학로 122||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||위영어전문학원|4층 (무거동)|||20305
위즈아일랜드울산남구학원||||외국어학원||울산광역시 남구 문수로 301||6|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||위즈아일랜드울산남구학원|3,3층 (옥동)|||20305
유강학원||||일반학원|052-273-1151|울산광역시 남구 돋질로 255||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||유강학원|4층 (삼산동)|||20315
유디스IT아이티학원||||컴퓨터학원|052-267-0951|울산광역시 남구 삼산로 27||1|평생직업교육학원;직업기술;컴퓨터(정보처리,통신기기,인터넷,소프트웨어);컴퓨터|||||유디스IT아이티학원|6층 일부 (신정동)|||20310
유레카옥동학원||||일반학원|052-266-0750|울산광역시 남구 문수로335번길 8||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||유레카옥동학원|2층 (옥동,경남은행 (옥서지점))|||20315
유레카학원||||일반학원|052-222-0700|울산광역시 남구 신복로 36||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||유레카학원|(2층) (무거동)|||20315
유림입시학원||||일반학원|052-227-0888|울산광역시 남구 돋질로257번길 23||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||유림입시학원|(3층) (삼산동)|||20315
유신단과전문학원||||일반학원|052-223-1119|울산광역시 남구 신복로 19||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||유신단과전문학원|3층 일부 (무거동,경남은행)|||20315
유에스글로벌어학원||||외국어학원|052-285-0085|울산광역시 남구 삼산로 14||9|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||유에스글로벌어학원|4층 (신정동,처용서림)|||20305
유엔케이/수학차오름국어학원||||일반학원|052-271-8570|울산광역시 남구 돋질로 286||8|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||UNK 수학차오름국어학원||유엔케이(UNK)수학차오름국어학원|6층 (삼산동)|||20315
유영미스피치아카데미학원||||일반학원|052-222-2033|울산 남구 문수로 373||2|평생직업교육학원;기예(대);화술;기예(중)|||||유영미스피치아카데미학원|3층일부 (옥동,한국이동통신)|||20315
유은영영어음악학원||||음악/미술학원|052-274-6068|울산광역시 남구 중앙로 38||2|학교교과교습학원;예능(대);음악;예능(중)|||||유은영영어음악학원|(3층) (야음동,야음아파트우편취급소)|||20309
유츠어학원||||외국어학원|052-716-7477|울산광역시 남구 문수로 374||7|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||유츠어학원|2층 (옥동)|||20305
유캔수학전문학원||||일반학원|052-227-7090|울산광역시 남구 문수로335번길 13||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||유캔수학전문학원|(옥동,신용협동조합)|||20315
유클학원||||일반학원|052-276-0599|울산광역시 남구 문수로 433||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||유클학원|4층 (신정동,우성학원)|||20315
유펜어학원||||외국어학원|052-708-0505|울산광역시 남구 신복로 33||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||유펜어학원|극동프라자 101호,102호,103호 일부 (1층) (무거동,극동프라자)|||20305
유현바둑학원||||일반학원|052-260-0102|울산광역시 남구 대암로 20||2|학교교과교습학원;기타(대);바둑;기타(중)|||||유현바둑학원|신성미소지움 아파트 상가 203호 (2층) (신정동,신성미소지움아파트)|||20315
육서당고시학원||||전문자격학원|052-257-0066|울산 남구 삼산로 63||7|평생직업교육학원;직업기술;부동산;경영·사무관리|||||육서당고시학원|7,8층 (달동,유원빌딩)|||20307
윤선생IGSE/Academy무거어학원||||외국어학원|052-247-8505|울산광역시 남구 신복로72번길 26||4|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||윤선생IGSE Academy무거어학원|2층 (일부) (무거동)|||20305
윤선생IGSE/Academy수암학원||||외국어학원|052-227-5505|울산광역시 남구 중앙로 46-1||3|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||윤선생IGSE Academy수암학원|(2층) (야음동)|||20305
윤선생IGSE/Academy월봉학원||||외국어학원|052-904-0509|울산광역시 남구 팔등로109번길 12||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||윤선생IGSE Academy월봉학원|2층 (신정동)|||20305
윤선생영어숲옥동어학원||||외국어학원|052-260-2900|울산광역시 남구 문수로321번길 7||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||윤선생영어숲옥동어학원|2층 (옥동)|||20305
윤수학학원||||일반학원|052-258-8456|울산광역시 남구 야음로11번길 31-24||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||윤수학학원|(1층 일부) (야음동)|||20315
윤원장수학학원||||일반학원|070-8840-0124|울산광역시 남구 문수로 439||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||윤원장수학학원|(2층) (신정동)|||20315
으뜸산소독서실||||독서실|052-222-0256|울산광역시 남구 대학로 30||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||으뜸산소독서실|(3층) (무거동)|||20317
으뜸수학전문학원||||일반학원|052-225-3100|울산광역시 남구 옥현로46번길 3||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||으뜸수학전문학원|(무거동)|||20315
은비음악학원||||음악/미술학원|052-256-6926|울산광역시 남구 돋질로251번길 32||3|학교교과교습학원;예능(대);음악;예능(중)|||||은비음악학원|(1층) (삼산동)|||20309
은빛뮤직아카데미피아노학원||||음악/미술학원|052-247-3359|울산광역시 남구 남산로68번길 12||3|학교교과교습학원;예능(대);음악;예능(중)|||||은빛뮤직아카데미피아노학원|(1층) (무거동)|||20309
은하수단과전문학원||||일반학원||울산광역시 남구 문수로 357||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||은하수단과전문학원|2층 (옥동)|||20315
은혜독서실||||독서실|052-267-3464|울산광역시 남구 중앙로 34||2|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||은혜독서실|(2층) (야음동)|||20317
이/조은학원||||일반학원|052-900-8826|울산광역시 남구 중앙로 48||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이 조은학원|4층일부 (신정동)|||20315
이경환입시쎈수학킹버드영어학원||||일반학원|052-900-6963|울산광역시 남구 수암로22번길 11-1||4|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이경환입시쎈수학킹버드영어학원|(2층) (신정동)|||20315
이나현사고력수학언어플러스학원||||일반학원|052-957-8133|울산광역시 남구 돋질로257번길 9||3|학교교과교습학원;기타(대);기타(소);기타(중)|||||이나현사고력수학언어플러스학원|1층 (삼산동)|||20315
이데아국어논구술학원||||일반학원||울산광역시 남구 문수로 359-1||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이데아국어논구술학원|(옥동)|||20315
이동소영어학원||||일반학원|052-256-1212|울산광역시 남구 대공원입구로 9||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이동소영어학원|2층 (옥동)|||20315
이레독서실||||독서실|052-260-0064|울산광역시 남구 중앙로17번길 16||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||이레독서실|선경그린아파트 상가 2층 (야음동,선경그린아파트)|||20317
이루다바이올린첼로현악전문학원||||음악/미술학원|052-256-2838|울산광역시 남구 대암로90번길 1||3|학교교과교습학원;예능(대);음악;예능(중)|||||이루다바이올린첼로현악전문학원|(야음동)|||20309
이루하독학재수학원||||외국어학원|052-247-0090|울산광역시 남구 문수로 340||1|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||이루하독학재수학원|4충 (옥동)|||20305
이룸독서실||||독서실|052-224-8900|울산광역시 남구 대학로 120||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||이룸독서실|(3층) (무거동)|||20317
이룸셀파우등생수학앤라임영어학원||||일반학원|052-223-6800|울산광역시 남구 장검1길 21-56||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이룸셀파우등생수학앤라임영어학원|(2층) (무거동,대구미술학원)|||20315
이룸영어전문학원||||일반학원|052-269-0118|울산광역시 남구 삼산중로 125||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이룸영어전문학원|(6층) (삼산동,갑부빌딩)|||20315
이룸일인독서실||||독서실|052-276-5583|울산광역시 남구 문수로435번길 4||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||이룸일인독서실|(2층) (신정동)|||20317
이병철수학전문학원||||일반학원|052-274-4007|울산광역시 남구 문수로 331||5|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이병철수학전문학원|(4층) (옥동)|||20315
이브릿지영어학원||||외국어학원|052-222-0595|울산광역시 남구 북부순환도로19번길 15||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||이브릿지영어학원|(무거동)|||20305
이비에스스스로배움터그릿학원||||일반학원|052-257-0584|울산광역시 남구 돋질로367번길 4||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이비에스스스로배움터그릿학원|(3층) (삼산동)|||20315
이상영어수학학원||||일반학원|018-3152-922|울산광역시 남구 대공원입구로21번길 38||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이상영어수학학원|5층 (옥동)|||20315
이상희피아노학원||||음악/미술학원|052-256-4124|울산광역시 남구 도산로 49||5|학교교과교습학원;예능(대);음악;예능(중)|||||이상희피아노학원|(2층) (달동)|||20309
이샘미술학원||||음악/미술학원|052-276-9382|울산광역시 남구 신정로30번길 19||2|학교교과교습학원;예능(대);미술;예능(중)|||||이샘미술학원|2층 일부 (달동)|||20309
이석수학전문학원||||일반학원|052-265-2022|울산광역시 남구 문수로335번길 5||8|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이석수학전문학원|2층,3층 (옥동)|||20315
이석희수학전문학원||||일반학원|052-260-5652|울산광역시 남구 문수로344번길 3||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이석희수학전문학원|2층 (옥동)|||20315
이센스영어아카데미학원||||일반학원|052-922-6890|울산광역시 남구 삼산중로128번길 12-1||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이센스영어아카데미학원|2층 (삼산동)|||20315
이수입시단과학원||||일반학원|052-261-8652|울산광역시 남구 문수로 317||5|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이수입시단과학원|2층 (옥동)|||20315
이씨엔영어전문학원||||일반학원|052-260-6737|울산광역시 남구 두왕로 190번길 28||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이씨엔영어전문학원|동서그린맨션 상가동201호 (선암동)|||20315
이안수학전문학원||||일반학원|052-261-7430|울산광역시 남구 수암로 177||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이안수학전문학원|가동 2층 (야음동,가동)|||20315
이에스에스영어학원||||외국어학원||울산광역시 남구 대암로 69||3|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||이에스에스영어학원|409호 (야음동,신정현대프라자)|||20305
이웅재수학전문학원||||일반학원|052-224-3922|울산광역시 남구 신복로72번길 26||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이웅재수학전문학원|3층 (일부) (무거동)|||20315
이재광수학전문학원||||일반학원|052-269-6209|울산광역시 남구 삼산중로 125||4|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||이재광수학전문학원|(5층) (삼산동,갑부빌딩)|||20315
이정환국어영어학원||||일반학원|010-4468-1695|울산광역시 남구 법대로95번길 21||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||이정환국어영어학원|(3층) (옥동)|||20315
