##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@관광공사맛집
산수유길사이로||128.8084689025|36.9309281404|관광공사맛집|054-679-5860|경상북도 봉화군 봉성면 산수유길 202-64||맛집;음식|09:00 ~ 20:00|||||산수유길사이로||||kto
바다풍경||126.5068714397|33.5161727117|관광공사맛집|064-711-7992|제주특별자치도 제주시 서해안로 654||맛집;음식|11:00 ~ 23:00|||||바다풍경||||kto
삼다해물뚝배기||126.6148456324|33.2602915999|관광공사맛집|064-733-0591|제주특별자치도 서귀포시 일주동로 8167||맛집;음식|08:00 ~ 21:00|||||삼다해물뚝배기||||kto
마츠에라멘||128.6351005133|35.9813275515|관광공사맛집|053-984-6080|대구광역시 동구 파계로 569||맛집;음식|12:00 ~ 20:00|||||마츠에라멘||||kto
산채식당||128.6934284952|35.9887555692|관광공사맛집|053-985-4082|대구광역시 동구 팔공산로185길 72||맛집;음식|09:30 ~ 21:00|||||산채식당||||kto
향촌칼국수||128.7381738370|35.8160759461|관광공사맛집|053-811-0984|경상북도 경산시 경안로19길 8||경산맛집;경상권;맛집;음식;한식;향촌칼국수|11:30 ~ 22:00|||||향촌칼국수||||kto
그린가든||127.9672304053|37.0226379305|관광공사맛집|043-851-6531|충청북도 충주시 동량면 동산로 12||맛집;음식|10:00 ~ 21:00|||||그린가든||||kto
한결청국장||128.5244070485|36.8733515797|관광공사맛집|054-636-3224|경상북도 영주시 풍기읍 인삼로 1-1||맛집;음식|08:30 ~ 21:00|||||한결청국장||||kto
인동초회관||126.9107681145|36.2734105570|관광공사맛집|041-836-0096|충청남도 부여군 부여읍 사비로12번길 2||맛집;음식|10:00 ~ 22:00|||||인동초회관||||kto
설악칡냉면||127.3825566745|36.3674608546|관광공사맛집|042-489-5252|대전광역시 서구 둔산대로117번길 56||맛집;음식|11:30 ~ 22:00|||||설악칡냉면||||kto
은하수||126.9879369721|37.5614466739|관광공사맛집|02-3705-9141~2|서울특별시 중구 퇴계로 145||맛집;송년모임;수도권;은하수;음식;음식점;한식뷔페|조찬 : 07:00 ~ 10:00<br />점심 12:00 ~ 14:30<br />저녁 18:00 ~ 21:30|||||은하수||||kto
청기와한식||127.7767009369|35.8980575015|관광공사맛집|063-322-2530|전라북도 무주군 설천면 구천동1로 111||맛집;음식|08:00 ~ 22:00|||||청기와한식||||kto
소라횟집||126.8051487258|34.3269678899|관광공사맛집|061-552-7874|전라남도 완도군 신지면 명사십리길 85-29||맛집;음식|10:00 ~ 22:00|||||소라횟집||||kto
대중식당||127.9872133217|34.7234408585|관광공사맛집|055-862-5992|경상남도 남해군 상주면 남해대로 694||맛집;음식|07:00 ~ 21:00|||||대중식당||||kto
용금옥||126.9804708097|37.5676541519|관광공사맛집|02-777-1689|서울특별시 중구 다동길 24-2||맛집;수도권;용금옥;음식;추어탕|11:00 ~ 22:00(주말,공휴일은 20:00시 까지)|||||용금옥||||kto
산촌||128.6019304292|37.7185890253|관광공사맛집|033-333-5585|강원도 평창군 진부면 오대산로 182||강원권;맛집;산채비빔밥;산촌;연중무휴;음식;평창맛집;황태구이|08:00 ~ 20:00|||||산촌||||kto
풀내음||128.3712210593|37.6148771668|관광공사맛집|033-335-0034|강원도 평창군 봉평면 메밀꽃길 13||강원권;맛집;메밀막국수;음식;평창맛집;풀내음|10:00 ~ 21:00|||||풀내음||||kto
저곡식당||127.5651140115|36.1102684720|관광공사맛집|041-752-7350|충청남도 금산군 제원면 금강로 286||맛집;음식|10:30 ~ 19:30 <br /> 일요일 11:00 ~ 19:30|||||저곡식당||||kto
반월성화덕피자||129.2322297215|35.8424544312|관광공사맛집|054-772-1777|경상북도 경주시 알천남로 316||맛집;음식|11:30~22:30|||||반월성화덕피자||||kto
올드상하이||126.4940064832|33.4900892833|관광공사맛집|064-741-8480|제주특별자치도 제주시 삼무로 67||맛집;음식|점심 12:00~14:30 / 저녁 18:00~21:00|||||올드상하이||||kto
박쏘가리||128.3706509315|36.9829888876|관광공사맛집|043-421-8825|충청북도 단양군 단양읍 수변로 85||맛집;음식|10:00 ~ 22:00|||||박쏘가리||||kto
대가||126.7485539467|37.3370545753|관광공사맛집|031-319-8888|경기도 시흥시 중심상가로 327||맛집;음식|24시간|||||대가||||kto
대게종가||129.3828015420|36.3588488400|관광공사맛집|054-733-3838|경상북도 영덕군 강구면 강구대게길 21||맛집;음식|09:00 ~ 22:00|||||대게종가||||kto
미가연||128.3783205044|37.6120359642|관광공사맛집|033-335-8805|강원도 평창군 봉평면 기풍로 108||맛집;음식|10:00 ~ 20:00|||||미가연||||kto
평창면옥||128.4533170795|37.5009474569|관광공사맛집|033-333-5953|강원도 평창군 대화면 대화3길 11||맛집;음식|11:00 ~ 20:00|||||평창면옥||||kto
현대막국수||128.3770982632|37.6163187782|관광공사맛집|033-335-0314|강원도 평창군 봉평면 동이장터길 17||맛집;음식|09:00 ~ 21:00|||||현대막국수||||kto
기화양어장횟집||128.5411817442|37.3037135500|관광공사맛집|033-332-6277|강원도 평창군 미탄면 평창동강로 495-6||맛집;음식|11:00 ~ 21:00|||||기화양어장횟집||||kto
난다나||128.5925086732|37.7311846077|관광공사맛집|033-339-6648|강원도 평창군 진부면 오대산로 374-8||맛집;음식|09:00 ~ 18:00|||||난다나||||kto
한국관||126.9268313703|35.4943579340|관광공사맛집|063-538-7790|전라북도 정읍시 내장산로 920||맛집;음식|06:30 ~ 20:00|||||한국관||||kto
몬테비안코||126.8483442217|36.9576085812|관광공사맛집|031-8053-7777|경기도 평택시 포승읍 평택항만길 73||레스토랑;맛집;몬테비안코;음식;평택맛집|11:00 ~ 22:00|||||몬테비안코||||kto
정원한정식||126.9277090756|35.4941413072|관광공사맛집|063-538-1232|전라북도 정읍시 내장산로 925||맛집;연중무휴;음식;전라권;정원한정식;정읍맛집;한식|07:00 ~ 24:00|||||정원한정식||||kto
쟈스민||127.7243832801|37.8666496618|관광공사맛집|033-241-5453|강원도 춘천시 우묵길74번길 14||강원권;맛집;음식;쟈스민;중식;춘천맛집|11:00 ~ 22:00|||||쟈스민||||kto
뭉치네집||126.5858392346|35.5030678394|관광공사맛집|063-562-5055|전라북도 고창군 아산면 중촌길 13||고창맛집;맛집;뭉치네집;산채비빔밥;연중무휴;음식;전라권;풍천장어|09:00 ~ 21:00|||||뭉치네집||||kto
산촌식당||129.3679121620|36.0396208406|관광공사맛집|054-242-2712|경상북도 포항시 북구 중앙로298번길 13-4||경상권;맛집;산채비빔밥;음식;포항시|09:30 ~ 21:30|||||산촌식당||||kto
바다바라기||129.4465394944|35.6214722753|관광공사맛집|052-282-8866|울산광역시 북구 정자1길 111||맛집;울산광역시;음식;중국집|10:00 ~ 01:00|||||바다바라기||||kto
운정식당||127.9220803332|36.9728289394|관광공사맛집|043-847-2820|충청북도 충주시 중원대로 3432-1||맛집;올갱이;음식;충주시;충청권|06:00 ~ 22:00|||||운정식당||||kto
소라횟집||126.8576074392|33.5251717908|관광공사맛집|064-784-3545|제주특별자치도 제주시 구좌읍 해맞이해안로 1426-1||맛집;음식;제주시;횟집|11:00 ~ 22:00|||||소라횟집||||kto
고궁의/아침||126.9975578923|37.5764506586|관광공사맛집|02-762-7620|서울특별시 종로구 창경궁로 158||돼지갈비;맛집;음식;종로구|10:00 ~ 22:30|||||고궁의 아침||||kto
예전||126.5976416708|37.4743942975|관광공사맛집|032-772-2256|인천광역시 중구 월미문화로 43-2||맛집;스테이크;음식;중구|11:00 ~ 24:00|||||예전||||kto
The/House/갑을||128.0739937358|35.1846850995|관광공사맛집|055-742-9292|경상남도 진주시 남강로 519||맛집;비빔밥;음식;진주시|11:30 ~ 21:30|||||The House 갑을||||kto
문경약돌한우타운||128.0825392031|36.7421389431|관광공사맛집|1588-9075|경상북도 문경시 문경읍 문경대로 2426||맛집;문경시;음식;한식|10:00 ~ 21:00|||||문경약돌한우타운||||kto
솔밭회조개구이||126.4232034765|37.4222945177|관광공사맛집|032-746-2154|인천광역시 중구 잠진도길 28||맛집;음식;조개구이;중구|09:00 ~ 24:00|||||솔밭회조개구이||||kto
화자위엔||126.9617936802|37.6048911545|관광공사맛집|02-396-5000|서울특별시 종로구 진흥로 493-5||맛집;음식;종로구;중국집|점심 11:30 ~ 15:00 <br /> 저녁 17:30 ~ 22:00<br />브레이크타임 15:00 ~ 17:00|||||화자위엔||||kto
카페/잠진도길28||126.4232034765|37.4222945177|관광공사맛집|032-751-2154|인천광역시 중구 잠진도길 28||맛집;음식;중구;카페|11:00 ~ 21:00|||||카페,잠진도길28||||kto
요석궁||129.2170091715|35.8305693745|관광공사맛집|054-772-3347|경상북도 경주시 교촌안길 19-4||경주시;맛집;음식;한정식|점심 11:30 ~ 13:20(1부) / 13:40 ~ 15:30(2부)<br />저녁 17:00 ~ 18:50(1부) / 19:10 ~ 21:00(2부)|||||요석궁||||kto
금용문||126.9740156982|37.5727701079|관광공사맛집|02-731-2502|서울특별시 종로구 새문안로5가길 7||맛집;음식;종로구;중국집|11:00 ~ 23:00 (주문마감 21:30)|||||금용문||||kto
해동식당||129.3431663809|35.3815333888|관광공사맛집|052-239-0652|울산광역시 울주군 서생면 해맞이로 1566||맛집;비빔밥;울주군;음식|08:00 ~ 22:00|||||해동식당||||kto
수원조개구이무한리필(홍콩조개)||127.0451835521|37.3008140498|관광공사맛집|010-9283-1248|경기도 수원시 영통구 대학로 56||맛집;무한리필;수원시;음식;조개구이|월~토 17:00~01:00 (주방마감 24:00) <br> 일요일/공휴일 16:30~24:00 (주방마감 23:00)|||||수원조개구이무한리필(홍콩조개)||||kto
어반소스||127.0513094527|37.5446608738|관광공사맛집|02-462-6262|서울특별시 성동구 연무장3길 9||맛집;성동구;스테이크;음식|카페 11:00~23:00<br>레스토랑 11:30~23:00<br>(브레이크타임 14:30~17:30 평일만 주말제외 )<br>어반스페이스 15:00~23:00|||||어반소스||||kto
사대부국시||126.8326955935|37.5606189935|관광공사맛집|02-3661-0055|서울특별시 강서구 마곡중앙6로 45||강서구;국수집;맛집;음식|10:00 ~ 22:00|||||사대부국시||||kto
연당동치미국수||128.4636256989|37.1803123993|관광공사맛집|033-375-8272|강원도 영월군 영월읍 분수대길 32||맛집;맛집여행;연당동치미국수;영월맛집;음식|10:00~19:00|||||연당동치미국수||||kto
한국의집||126.9945252956|37.5601886048|관광공사맛집|02-2266-9101|서울특별시 중구 퇴계로36길 10||맛집;서울시 중구;음식;전통음식|점심 12:00 ~ 14:00<br />저녁 1부 17:00 ~ 18:30<br />저녁 2부 19:00 ~ 21:30|||||한국의집||||kto
딴지펍||127.5261035858|37.7901159965|관광공사맛집|031-580-8056|강원도 춘천시 남산면 남이섬길 1||강원권;딴지펍;맛집;양식;음식;피자|평일 09:30~19:00<br>금~일,공휴일 09:40~20:00|||PIZZA&PASTA||딴지펍 (PIZZA&PASTA)||||kto
왕돌회수산||129.4615295422|36.6787473092|관광공사맛집|054-788-4959|경상북도 울진군 후포면 울진대게로 236-14||경상권;맛집;왕돌회수산;울진대게;울진맛집;음식|08:30 ~ 21:30|||||왕돌회수산||||kto
백담/갓시래기국밥||128.3436280275|38.1970673782|관광공사맛집|033-461-5915|강원도 인제군 북면 백담로 10||맛집;시레기국밥;음식;인제군|11:00 ~ 21:00|||||백담 갓시래기국밥||||kto
동문||127.5261035858|37.7901159965|관광공사맛집|031-580-8099|강원도 춘천시 남산면 남이섬길 1||남이섬;맛집;유린기;음식;춘천시|평일 09:40~20:00 <br> 금~일,공휴일 09:40~20:30|||||동문||||kto
고목||127.5261035858|37.7901159965|관광공사맛집|031-580-8053|강원도 춘천시 남산면 남이섬길 1||남이섬;맛집;음식;춘천시;파스타|[춘계/하계] 금,토,일,공휴일 09:00~20:00 <br> [평일 및 추계] 금요일 09:00~19:00 <br> [추계] 토,일,공휴일 08:30~20:00|||||고목||||kto
섬향기||127.5261035858|37.7901159965|관광공사맛집|031-580-8054|강원도 춘천시 남산면 남이섬길 1||닭갈비;맛집;음식;춘천시;한식|평일 09:40~20:00<br>금~일,공휴일 09:40~20:30|||||섬향기||||kto
남문||127.5261035858|37.7901159965|관광공사맛집|031-580-8055|강원도 춘천시 남산면 남이섬길 1||닭쌈밥;맛집;음식;춘천시|평일 09:40~20:00<br>금~일,공휴일 09:40~20:30|||||남문||||kto
새만금횟집||126.5325107012|35.9393283762|관광공사맛집|063-464-1001|전라북도 군산시 비응안7길 13||음식|10:00 ~ 22:00|||||새만금횟집||||kto
손수해물손칼국수||127.7206059810|37.8620973433|관광공사맛집|033-242-7330|강원도 춘천시 충혼길34번길 12||맛집;음식;춘천시;칼국수|11:30 ~ 21:00|||||손수해물손칼국수||||kto
티파니횟집||128.6406661924|34.7749272539|관광공사맛집|055-636-2929, 8866|경상남도 거제시 동부면 거제중앙로 3||거제시;맛집;모듬회;음식;횟집|09:00 ~ 21:00|||||티파니횟집||||kto
동광식당||128.6716009949|37.3829485760|관광공사맛집|033-563-3100|강원도 정선군 정선읍 녹송1길 27||맛집;음식;정선군;족발|09:00 ~ 21:00|||||동광식당||||kto
변산명인바지락죽||126.5134082893|35.6644621640|관광공사맛집|063-584-7171|전라북도 부안군 변산면 변산해변로 794||맛집;바지락죽;부안군;음식|08:30 ~ 19:30 (주문마감 19:00)|||||변산명인바지락죽||||kto
강천각식당||127.0688209680|35.4085950781|관광공사맛집|063-652-9920|전라북도 순창군 팔덕면 강천산길 85||된장찌개;맛집;순창군;음식;한정식|08:00 ~ 19:00|||||강천각식당||||kto
친니||126.9767932398|37.5721702275|관광공사맛집|02-733-3270~1|서울특별시 종로구 세종대로 175||맛집;서울맛집;수도권;연중무휴;음식;중식;친니|11:30 ~ 22:00|||||친니||||kto
만나숯불갈비||126.9056426144|34.6742473236|관광공사맛집|061-864-1818|전라남도 장흥군 장흥읍 장흥대로 3482||만나숯불갈비;맛집;음식;장흥맛집;한식|11:00 ~ 21:00|||||만나숯불갈비||||kto
민락회타운||129.1238472779|35.1555712923|관광공사맛집|051-757-3000|부산광역시 수영구 민락수변로 1||맛집;수영구;음식;횟집|09:00 ~ 02:00(익일)|||||민락회타운||||kto
바다꽃게탕|본점|127.1709899142|35.8288491460|관광공사맛집|063-244-4288|전라북도 전주시 덕진구 아중1길 13-1||꽃게장;맛집;음식;전주시;해물탕|10:30 ~ 23:00|||||바다꽃게탕 본점||||kto
횡재먹거리한우||128.5406718210|36.8885057042|관광공사맛집|054-638-0094|경상북도 영주시 풍기읍 소백로 2156||구이;맛집;영주시;영주한우;영주한우;음식|11:00 ~ 21:00|||||횡재먹거리한우||||kto
남산참숯불갈비||126.9840263454|37.5569165745|관광공사맛집|02-775-0066|서울특별시 중구 소파로 83||갈비;갈비탕;맛집;서울시중구;음식|10:00 ~ 22:00|||||남산참숯불갈비||||kto
카페/모뜨||126.9751033804|37.6118239204|관광공사맛집|02-379-6500|서울특별시 종로구 평창30길 24||레스토랑;맛집;음식;종로구;카페|11:00 ~ 21:00|||||카페 모뜨||||kto
황금가든||127.0304776611|37.5572007092|관광공사맛집|02-2296-7887, 2298-7887|서울특별시 성동구 행당로8길 8-1||곤드레비빔밥;맛집;성동구;음식;한우|10:00 ~ 22:30|||||황금가든||||kto
규스떡칼||127.0498706713|37.7403547568|관광공사맛집|010-2546-0555|경기도 의정부시 태평로73번길 20||떡갈비;맛집;음식;의정부시;칼국수|11:00 ~  20:00|||||규스떡칼||||kto
약선당||128.5251961674|36.8630499973|관광공사맛집|054-638-2728|경상북도 영주시 봉현면 신재로 887-14||맛집;약선정식;영주시;음식;한정식|11:30 ~ 21:00|||||약선당||||kto
미도향||126.7534995025|37.6786094075|관광공사맛집|031-918-5332|경기도 고양시 일산서구 대산로223번길 8-4||고양시;만두전골;맛집;음식|11:00 ~ 21:00|||||미도향||||kto
부산명물횟집||129.0311458269|35.0971289007|관광공사맛집|051-245-4995, 7617|부산광역시 중구 자갈치해안로 55||맛집;부산중구;음식;횟집|11:00 ~ 22:00(Break Time 15:30~17:00)|||||부산명물횟집||||kto
삼오기사님식당||129.0809646720|35.0621531759|관광공사맛집|051-405-2423|부산광역시 영도구 태종로 834||기사식당;맛집;부산영도구;음식;한식|06:30 ~ 20:00|||||삼오기사님식당||||kto
석정||127.8231460966|36.5317277447|관광공사맛집|043-543-3686|충청북도 보은군 속리산면 법주사로 272||맛집;보은군;산채비빔밥;음식|08:00 ~22:00|||||석정||||kto
오조해녀의집||126.9223364380|33.4697956273|관광공사맛집|064-784-0893|제주특별자치도 서귀포시 성산읍 한도로 141-13||맛집;서귀포시;음식;전복죽|06:00 ~ 20:00|||||오조해녀의집||||kto
남해가든||126.9096088878|35.1251327490|관광공사맛집|062-671-8348|광주광역시 남구 봉선로133번길 23||갈비살;광주광역시;꽃등심;맛집;음식|11:30 ~ 21:30|||||남해가든||||kto
자금성||128.6235387656|35.8417014842|관광공사맛집|053-767-6700|대구광역시 수성구 동대구로 127||대구광역시;맛집;음식;중화요리전문점|11:30 ~ 22:00|||||자금성||||kto
생원전복||126.3307705865|33.2458748146|관광공사맛집|064-792-2109|제주특별자치도 서귀포시 안덕면 산방로 7||맛집;서귀포시;음식;전복죽|10:00 ~ 22:00|||||생원전복||||kto
차담소||126.9798763307|37.5707954427|관광공사맛집|070-7797-0298|서울특별시 종로구 종로 19||맛집;서울카페;수도권;음식;차담소;한방카페|10:30 ~ 22:00|||||차담소||||kto
두경어성초||126.9798041130|37.5708482131|관광공사맛집|02-725-1408|서울특별시 종로구 종로 19||맛집;십전대보차;어성초차;음식;전통찻집;종로구|10:00 ~ 22:00|||||두경어성초||||kto
금왕돈까스||126.9943687731|37.5948234655|관광공사맛집|02-763-9366|서울특별시 성북구 성북로 138||돈까스;맛집;서울시;성북구;음식|10:00 ~ 21:30|||||금왕돈까스||||kto
고려삼계탕||126.9728938549|37.5629906688|관광공사맛집|02-752-9376, 2734|서울특별시 중구 서소문로11길 1||건강식;건강식맛집;건강여행;고려삼계탕;맛집;보양식;삼계탕;서울맛집;음식;한식맛집|10:30 ~ 21:30|||||고려삼계탕||||kto
길카페||128.0104838420|37.3447460431|관광공사맛집|033-734-4345|강원도 원주시 행구로 493||길카페;맛집;연중무휴;원주맛집;음식|10:30 ~ 23:30|||||길카페||||kto
일출옥||126.7091603922|35.9847345316|관광공사맛집|063-443-5524|전라북도 군산시 구영7길 20||군산맛집;맛집;맛집여행;아욱국;연중무휴;음식;일출옥;전북맛집;콩나물국밥|05:00 ~ 16:00|||||일출옥||||kto
공주식당||128.0478083619|34.7107377846|관광공사맛집|055-867-6728|경상남도 남해군 미조면 미조로 230||갈치무침회;남해군;맛집;멸치무침회;음식|08:00 ~ 21:00|||||공주식당||||kto
파노라마||127.1645031197|37.7935589727|관광공사맛집|031-543-0355|경기도 포천시 소흘읍 고모루성길 325||경양식;맛집;스테이크;음식;카페;포천시|11:00 ~ 20:00|||||파노라마||||kto
소문난갈비탕||127.3331135747|34.7797176996|관광공사맛집|061-833-2052|전라남도 고흥군 동강면 고흥로 4259||갈비찜;갈비탕;고흥군;맛집;음식|07:00 ~ 21:00|||||소문난갈비탕||||kto
오름나그네||126.7120771375|33.4590961966|관광공사맛집|064-784-2277|제주특별자치도 제주시 조천읍 선교로 525||맛집;보말칼국수;음식;전복성게칼국수;제주시|10:00 ~ 15:00|||||오름나그네||||kto
마니산/한우마을||126.4913134807|37.6391454739|관광공사맛집|032-937-0135|인천광역시 강화군 길상면 삼랑성길 4||강화군;맛집;생고기;음식;한우|09:00 ~ 24:00|||||마니산 한우마을||||kto
서촌산책||126.9673382973|37.5809357058|관광공사맛집|02-6677-4747|서울특별시 종로구 옥인길 26||더치커피;맛집;서울시;음식;종로구;카페|09:00 ~ 21:00|||||서촌산책||||kto
기와||126.9642178496|37.5282417736|관광공사맛집|02-710-7777|서울특별시 용산구 한강대로21나길 40||갈비찜;맛집;보리굴비;용산구;음식;한정식|점심 11:30 ~ 15:00 <br /> 저녁 17:00 ~ 21:30|||||기와||||kto
위/쉐프/앤/바리스타||127.0639105529|37.0685162554|관광공사맛집|031-616-9774|경기도 평택시 경기대로 1383||맛집;위쉐프앤바리스타;음식;파스타;평택맛집;피자|10:00 ~ 22:00|||We chef&barista||위 쉐프 앤 바리스타 (We' chef&barista)||||kto
황제삼계탕||126.7020743625|37.4545373369|관광공사맛집|032-437-3337|인천광역시 남동구 예술로 230||남동구;맛집;삼계탕;음식;인천광역시|10:00 ~ 21:30|||||황제삼계탕||||kto
신촌막국수||127.9760880942|37.3053360648|관광공사맛집|033-761-5454|강원도 원주시 치악로 1325-14||막국수;맛집;옹심이;원주시;음식;칼국수|11:00 ~ 20:00|||||신촌막국수||||kto
동심한정식||126.9918588304|37.5616689405|관광공사맛집|02-2267-4862|서울특별시 중구 퇴계로27길 12-4||간장게장정식;맛집;보리굴비정식;서울시;음식;중구|10:00 ~ 22:00|||||동심한정식||||kto
마지||126.9707714116|37.5776167085|관광공사맛집|02-536-5228|서울특별시 종로구 자하문로5길 19||맛집;서울시;서초구;연밥정식;음식|11:30 ~ 22:00|||||마지||||kto
아승지||126.9111899234|37.5078265299|관광공사맛집|02-832-7595|서울특별시 영등포구 신길로 176||맛집;서울시;아승지정식;영등포구;음식;한식|12:00 ~ 20:00|||||아승지||||kto
시골할매/막걸리||127.8946324310|34.7267055430|관광공사맛집|055-862-8381|경상남도 남해군 남면 남면로679번길 17-37||남해군;맛집;멸치쌈밥;음식;해물된장정식|08:00 ~ 20:00|||||시골할매 막걸리||||kto
맘마쿡||126.9025903464|37.5206248891|관광공사맛집|02-3667-0003|서울특별시 영등포구 영등포로 189||맘마쿡;맛집;서울맛집;수도권;양식;음식|11:00 ~ 23:00|||||맘마쿡||||kto
벌교우렁집||127.3359559755|34.8512291649|관광공사맛집|061-857-7613|전라남도 보성군 벌교읍 채동선로 367||맛집;보성군;우렁탕;우렁회;음식|11:00 ~ 20:00|||||벌교우렁집||||kto
닐모리동동||126.4877952847|33.5177555652|관광공사맛집|064-745-5008|제주특별자치도 제주시 서해안로 452||맛집;샐러드;음식;제주도;제주시;카페;피자;한라산빙수|하절기 10:00 ~ 23:00 <br />동절기 10:00 ~ 22:00|||||닐모리동동||||kto
바우하우스||126.9158660784|37.5502744590|관광공사맛집|02-334-5152|서울특별시 마포구 양화로 64||바우하우스;서울카페;수도권;애견카페;연중무휴;음식|13:30 ~ 23:00|||||바우하우스||||kto
시크릿가든||127.0765078785|37.5193087164|관광공사맛집|02-413-5535|서울특별시 송파구 백제고분로 2||맛집;서울맛집;수도권;스테이크;시크릿가든;연중무휴;음식;파스타|11:00 ~ 24:00 (주문마감 21:00)|||||시크릿가든||||kto
용산회식당||129.2059457163|35.7516197397|관광공사맛집|054-748-2119|경상북도 경주시 내남면 포석로 112||경주시;맛집;음식;회덮밥|08:00 ~ 14:00|||||용산회식당||||kto
새만금/등대로||126.5292887307|35.9407392716|관광공사맛집|063-446-9500, 1599-3356|전라북도 군산시 비응로 71||군산시;맛집;생조개버섯전골;씨푸드;음식|영업시간 12:00 ~ 21:00 <br /> 점심메뉴주문 12:00 ~ 15:00 <br /> 저녁메뉴주문 17:00 ~ 21:00|||||새만금 등대로||||kto
달큼한/오후||128.3703954576|36.9809696702|관광공사맛집|043-422-3706|충청북도 단양군 단양읍 수변로 61||단양군;맛집;와플;음식;카페;커피|08:00 ~ 23:00 (방문전 전화 확인 요망)|||||달큼한 오후||||kto
청해/한일정식||127.4941624360|34.9252707839|관광공사맛집|061-742-1717|전라남도 순천시 순천만길 31||맛집;순천맛집;음식;일정식;전라권;청해한일정식;한정식|11:30 ~ 22:00|||||청해 한일정식||||kto
길상식당||127.3438628434|34.9918995982|관광공사맛집|061-754-5599|전라남도 순천시 승주읍 승암교길 8||맛집;산채정식;순천시;음식;전라권;토종닭백숙|09:00 ~ 20:00|||||길상식당||||kto
이대순두부||127.4562224016|35.3170954379|관광공사맛집|061-783-0481|전라남도 구례군 산동면 지리산온천로 257||구례군;맛집;순두부;음식;전라권;청국장|06:00 ~ 23:00|||||이대순두부||||kto
들마루||127.5073844513|34.8876807894|관광공사맛집|061-741-5232~3|전라남도 순천시 순천만길 496||꼬막게장정식;맛집;순천시;오리바베큐;음식;전라남도|09:00 ~ 21:00|||||들마루||||kto
금대리막국수||127.9991977501|37.2837862045|관광공사맛집|033-765-5653|강원도 원주시 판부면 치악로 1008||강원권;금대리막국수;맛집;메밀국수;원주시;음식|11:00 ~ 19:00<br/>Break time 15:30 ~ 16:30|||||금대리막국수||||kto
대대선창집||127.5091175878|34.8894639523|관광공사맛집|061-741-3157|전라남도 순천시 순천만길 542||대대선창집;맛집;순천맛집;연중무휴;음식;짱뚱어탕;청둥오리탕|08:30 ~ 21:00|||||대대선창집||||kto
새강변가든||127.5885501360|36.3395177228|관광공사맛집|043-733-3678|충청북도 옥천군 군북면 성왕로 1564||맛집;옥천군;음식;인삼메기탕;충청북도|10:00 ~ 21:30|||||새강변가든||||kto
대자연가든||128.8917998329|36.7609408510|관광공사맛집|054-852-3222|경상북도 안동시 도산면 가송길 162-57||간고등어정식;경상북도;맛집;안동시;안동찜닭;음식|하절기 11:00 ~ 23:00 <br /> 동절기 11:00 ~ 21:00|||||대자연가든||||kto
참나무집||128.2122819415|37.1684951403|관광공사맛집|043-643-8726|충청북도 제천시 의림대로 464||돼지고기;맛집;석쇠불고기;음식;제천시;충청북도|11:00 ~ 21:00|||||참나무집||||kto
죽도산||129.3851013315|36.3591182979|관광공사맛집|054-733-4148|경상북도 영덕군 강구면 강구대게길 47-1||맛집;연중무휴;영덕대게;영덕맛집;음식;죽도산|09:30 ~ 22:30 (주말 23:00)|||||죽도산||||kto
중앙회관||127.1458368963|35.8174166766|관광공사맛집|063-285-4288|전라북도 전주시 완산구 전라감영5길 19-3||맛집;욱회비빔밥;음식;전라권;전주시|10:30 ~ 20:30|||||중앙회관||||kto
속초아저씨/튀김맛집||128.5901942662|38.2045185048|관광공사맛집|010-9990-8855|강원도 속초시 중앙로147번길 16||맛집;속초시;아바이순대;오징어순대;음식;튀김|09:00 ~ 21:00|||||속초아저씨 튀김맛집||||kto
찬우물||127.8228905802|36.5311416959|관광공사맛집|043-543-4702|충청북도 보은군 속리산면 법주사로 258-12||맛집;보은맛집;산채비빔밥;연중무휴;음식;찬우물;충청권|07:30 ~ 24:00|||||찬우물||||kto
참만나||127.0763050837|37.6182249978|관광공사맛집|02-974-1500|서울특별시 노원구 화랑로 441||꽃등심;노원구;맛집;음식;한우|11:30 ~ 22:00|||||참만나||||kto
벽계가든||127.1281157081|35.8381917832|관광공사맛집|063-273-1833|전라북도 전주시 덕진구 백제대로 524||맛집;양념갈비;음식;전라북도;전주시;한우떡갈비|11:00 ~ 21:30|||||벽계가든||||kto
석촌||127.0981394766|37.5110683960|관광공사맛집|02-411-4834|서울특별시 송파구 올림픽로 240||맛집;비빔밥;서울시;송파구;음식;한정식|11:30 ~ 21:00|||||석촌||||kto
만다린||127.6493176639|37.3028553147|관광공사맛집|031-885-0705|경기도 여주시 여양로 222-3||맛집;음식|11:00 ~ 21:30|||||만다린||||kto
목장원||129.0573775733|35.0716572340|관광공사맛집|051-404-5000|부산광역시 영도구 절영로 355||맛집;부산광역시;영도구;음식;한우갈비살;한우등심|11:30 ~ 21:30|||||목장원||||kto
흥덕반점||128.2030101875|36.6026960240|관광공사맛집|054-555-5127|경상북도 문경시 호서로 98||남녀노소;맛집;맛집여행;문경맛집;유명한중국집;음식;중국요리;중국집;중화반점;중화요리;짜장면;짬쫑;흥덕반점|11:00 ~ 21:00|||||흥덕반점||||kto
