##NAME|SUBNAME|ETCNAME|TELNUM|NEWADDR|SINCE|WEBSITE|SOURCE2@@대형예술센터
해운대문화회관|||051-749-7651|부산광역시 해운대구 양운로 97(좌동)|2007년 3월 30일|http://hcc.haeundae.go.kr|한국문화예술회관연합회
부산예술회관|||051-612-1372|부산광역시 남구 용소로78|2011.03.03|www.bsart.or.kr|한국문화예술회관연합회
울산 중구문화의전당|||052-290-4263|울산광역시 중구 종가로 405(성안동) 중구문화의전당|2014.11.7|http://artscenter.junggu.ulsan.kr/|한국문화예술회관연합회
울산광역시학생교육문화회관|||052-290-5600|울산광역시 중구 곽남길 95(약사동)|2020.09.24.|http://www.usecc.kr|한국문화예술회관연합회
울산문화예술회관|||052-275-9623|울산광역시 남구 번영로 200(달동)|1995년 10월 5일|http://ucac.ulsan.go.kr|한국문화예술회관연합회
울산북구문화예술회관|||052-241-7352|울산광역시 북구 산업로 1000(연암동)|2003년 9월 25일|http://www.bukguart.or.kr/|한국문화예술회관연합회
울주문화재단|||052-980-2200|울산광역시 울주군 범서읍 천상중앙길 36|2009년 11월 20일|http://www.uljuculture.or.kr/|한국문화예술회관연합회
현대예술관|||1522-3331|울산광역시 동구 명덕로 10|1998년 6월 13일|http://www.hhiarts.co.kr/main.jsp|한국문화예술회관연합회
거제문화예술회관||거제시문화예술재단|055-680-1000|경상남도 거제시 장승로 145|2003년 10월 21일|http://www.geojeart.or.kr|한국문화예술회관연합회
거창군문화센터||거창문화재단|055-940-8460|경상남도 거창군 거창읍 수남로2181|2001년 6월 20일|http://www.gccf.or.kr/|한국문화예술회관연합회
김해문화의전당||김해문화재단|055-320-1234|경상남도 김해시 김해대로 2060|2005년 11월 25일|http://www.gasc.or.kr|한국문화예술회관연합회
밀양아리랑아트센터||밀양문화재단|055-359-4500|경남 밀양시 밀양대공원로 112 밀양아리랑아트센터|2016.9.1|http://www.mycf.or.kr|한국문화예술회관연합회
성산아트홀||창원문화재단|055-719-7870|경상남도 창원시 의창구 중앙대로 181(용호동)|2000년 4월 25일<3.15아트센터> 2008년 5월 20일  1993년 4월 1일|http://www.cwcf.or.kr|한국문화예술회관연합회
3.15아트센터||창원문화재단|055-719-7870|경상남도 창원시 의창구 중앙대로 181(용호동)|2000년 4월 25일<3.15아트센터> 2008년 5월 20일  1993년 4월 1일|http://www.cwcf.or.kr|한국문화예술회관연합회
진해문화센터||창원문화재단|055-719-7870|경상남도 창원시 의창구 중앙대로 181(용호동)|2000년 4월 25일<3.15아트센터> 2008년 5월 20일  1993년 4월 1일|http://www.cwcf.or.kr|한국문화예술회관연합회
통영국제음악당||통영국제음악재단|055-650-0461|경상남도 통영시 큰발개1길38(도남동)|1997년 10월 1일|http://www.timf.org|한국문화예술회관연합회
경상남도문화예술회관|||02-1544-6711|경상남도 진주시 강남로 215|1988년 8월 29일|http://www.gncac.com|한국문화예술회관연합회
남해문화체육센터|||055-860-8622|경상남도 남해군 남해읍 선소로 12|2000.01.02|http://www.namhae.go.kr/sports/Index.do?c=EE0201000000|한국문화예술회관연합회
사천시문화예술회관|||055-831-2460|경상남도 사천시 삼천포대교로 471(동림동)|2002년 2월 27일|http://art.sacheon.go.kr|한국문화예술회관연합회
산청문화예술회관|||055-970-6481|경상남도 산청군 금서면 친환경로2631번길 12|2006년 6월 1일|http://www.sancheong.go.kr/www/contents.do?key=232|한국문화예술회관연합회
양산문화예술회관|||055-379-8550|경상남도 양산시 중앙로 39-1(남부동)|2002년 12월 21일|http://www.yssisul.or.kr|한국문화예술회관연합회
의령군민문화회관|||055-570-4920|경상남도 의령군 의령읍 의병로24길 31-1|1993년 4월 21일|http://culture.uiryeong.go.kr/|한국문화예술회관연합회
창녕문화예술회관|||055-530-1911|경상남도 창녕군 창녕읍 우포2로 1189-25|2012년 11월 1일|http://art.cng.go.kr|한국문화예술회관연합회
통영시민문화회관|||055-650-2622|경남 통영시 통영해안로 515|1997.10.01|http://www.tongyeong.go.kr/citizen/citizen.web|한국문화예술회관연합회
하동문화예술회관|||055-880-2384|경상남도 하동군 하동읍 섬진강대로 2222|2001년 4월 14일|http://www.hadong.go.kr/specialty/00225/00538.web|한국문화예술회관연합회
함안문화예술회관|||055-580-3607|경상남도 함안군 가야읍 함안대로 619-1|2005년 3월 31일|http://art.haman.go.kr|한국문화예술회관연합회
함양문화예술회관|||055-960-5531|경상남도 함양군 함양읍 필봉산길 55|2011년 11월 25일|http://art.hygn.go.kr|한국문화예술회관연합회
합천군문화예술회관|||055-930-4933|경상남도 합천군 합천읍 황강체육공원로 93|1995년 10월 27일|http://www.hc.go.kr/life/sub/07/01_02.jsp|한국문화예술회관연합회
고성군문화체육센터|||055-670-5845|경상남도 고성군 고성읍 송학고분로193|2003.06.23||한국문화예술회관연합회
광주광역시서구문화센터||광주기독교청년회|062-654-4300|광주광역시 서구 마재로 3(농성동)|2000.4.15|http://www.ymcakwangju.or.kr/|한국문화예술회관연합회
빛고을시민문화관||광주문화재단|062-670-7900|광주광역시 남구 천변좌로 338-7|2010년 2월|http://bitculture.gjcf.or.kr|한국문화예술회관연합회
광산문화예술회관|||062-960-8864|광주광역시 광산로68번길 13(송정동)|2002년10월8일|http://art.gwangsan.go.kr|한국문화예술회관연합회
광주문화예술회관|||062-613-8333|광주광역시 북구 북문대로 60|1991년 10월 21일|http://gjart.gwangju.go.kr|한국문화예술회관연합회
국립아시아문화전당|||1899-5566|광주광역시 동구 문화전당로 38|2015.11.25|http://www.acc.go.kr|한국문화예술회관연합회
남구종합문화예술회관|||062-670-5060|광주광역시 남구 봉선로 208|2003.11.21|http://www.namguart.com/|한국문화예술회관연합회
동구문화센터|||062-225-8700|광주광역시 동구 남문로 646|2009.07.02|www.donggucc.kr|한국문화예술회관연합회
완주군향토예술문화회관||완주문화재단|063-291-7245|전라북도 완주군 삼례읍 삼봉로 215|2001년 11월 6일|http://culture.wanju.go.kr|한국문화예술회관연합회
한벽문화관||전주문화재단|063-280-7009|전라북도 전주시 완산구 전주천동로 20|2002.8.10|http://www.jt.or.kr|한국문화예술회관연합회
고창문화의전당|||063-560-8041|전라북도 고창군 고창읍 모양성로 11|2008년 12월 5일|http://culture.gccl.kr|한국문화예술회관연합회
군산예술의전당|||063-454-5521|전라북도 군산시 백토로 203|2013년5월1일|http://arts.gunsan.go.kr|한국문화예술회관연합회
김제문화예술회관|||063-540-4171|전라북도 김제시 성산길 20|2009년 4월 23일|http://art.gimje.go.kr|한국문화예술회관연합회
덕진예술회관|||063-281-6657|전북 전주시 덕진구 권삼득로 407|1999.4.4|http://tour.jeonju.go.kr/index.9is?contentUid=9be517a7503a4b6a01503b04957f0261&tag=%EA%B4%80%EB%9E%8C%EC%8B%9C%EC%84%A4&contentDivision=1&inineContentUid=68a1e86326ae4527bbfbd28d98c11cc5|한국문화예술회관연합회
부안예술회관|||063-580-4318|전라북도 부안군 부안읍 예술회관길11|2001년 10월 11일|http://www.buan.go.kr|한국문화예술회관연합회
순창향토회관|||063-650-1645|전라북도 순창군 순창읍 장류로 407-11|1997.7.1|http://www.sunchang.go.kr/index.sunchang?menuCd=DOM_000000111005001000&cpath=|한국문화예술회관연합회
완주문예회관|||063-290-2597|전라북도 완주군 용진면 지암로 61|2012.05.04|http://culture.wanju.go.kr|한국문화예술회관연합회
익산예술의전당|||063-859-3315|전라북도 익산시 동서로 490|1996년 11월 29일|http://arts.iksan.go.kr|한국문화예술회관연합회
장수한누리전당|||063-353-2240|전라북도 장수군 장수읍 한누리로 393|2007년 10월 13일|http://www.jangsu.go.kr/index.jangsu?menuCd=DOM_000000106009001000|한국문화예술회관연합회
정읍사예술회관|||063-539-6421|전라북도 정읍시 시기4길 13|1992년 9월 15일|http://www.jeongeup.go.kr/culture/index.jeongeup?menuCd=DOM_000000603003000000|한국문화예술회관연합회
춘향문화예술회관|||063-620-5720|전라북도 남원시 양림길 43|1995.5.6|http://www.namwon.go.kr|한국문화예술회관연합회
한국소리문화의전당|||063-270-7800|전라북도 전주시 덕진구 소리로 31(덕진동1가)|2001년 9월|http://www.sori21.co.kr|한국문화예술회관연합회
전라북도예술회관|||063-284-4445|전라북도 전주시 완산구 팔달로 161(경원동1가)|1982.02.09|www.sori21.co.kr|한국문화예술회관연합회
전라남도문화재단|||061-981-0280|전남 무안군 삼향읍 남악로 222 남도소리울림터|2015.5.27|http://jact.or.kr/jact/index.do|한국문화예술회관연합회
강진군아트홀|||061-430-3972|전라남도 강진군 강진읍 영랑로1길 9|2011년 5월 11일|http://arthall.gangjin.go.kr|한국문화예술회관연합회
고흥문화회관|||061-830-6712|전라남도 고흥군 고흥읍 고흥로 1892-67|1999년 6월 26일|http://www.goheung.go.kr/culture/|한국문화예술회관연합회
곡성레저문화센터|||061-360-8343|전라남도 곡성군 곡성읍 곡성로855|2010.03.11|http://old.gokseong.go.kr/?r=leisure_main|한국문화예술회관연합회
광양문화예술회관|||061-797-3838|전라남도 광양시 광양읍 향교길 9-30|1996년 10월 8일|http://www.gwangyang.go.kr/art|한국문화예술회관연합회
구례문화예술회관|||061-780-2431|전라남도 구례군 구례읍 양정2길 11|2007년 9월 7일|http://www.gurye.go.kr/mportal/culture/07/001/index.jsp|한국문화예술회관연합회
나주문화예술회관|||061-339-4612|전라남도 나주시 예향로 4137|1998년 4월 15일|http://najuart.naju.go.kr/|한국문화예술회관연합회
담양문화회관|||061)380-3464|전라남도 담양군 담양읍 지침6길29|2000년 12월 27일|http://www.damyang.go.kr|한국문화예술회관연합회
목포시문화예술회관|||061-270-4031|전라남도 목포시 남농로 102|1997년 9월 29일|http://www.mokpo.go.kr/art/|한국문화예술회관연합회
무안군 승달문화예술회관|||061-450-4081|전라남도 무안군 무안읍 창포로 8|2001년 5월 12일|http://www.muan.go.kr|한국문화예술회관연합회
보성군문화예술회관|||061-850-8660|전라남도 보성군 보성읍 송재로 281-9|2015.5.8|http://art.boseong.go.kr|한국문화예술회관연합회
순천문화예술회관|||061-749-8612|전라남도 순천시 삼산로 16|1993년 4월 3일|http://www.suncheon.go.kr/scart/|한국문화예술회관연합회
여수시민회관|||061-659-3799|전라남도 여수시 좌수영로 69 (광무동 42-19)|여수시민회관 1987년 6월 28일 / 진남문예회관 1993년 5월 22일|http://www.yeosu.go.kr/contentsView.do?menuId=yeosu0355100000|한국문화예술회관연합회
영광예술의전당|||061-350-5691|전라남도 영광군 영광읍 천년로13길 2-34|2014.06.24|http://www.yeonggwang.go.kr/|한국문화예술회관연합회
완도문화예술의전당|||061-550-5460|전라남도 완도군 완도읍 개포로159번길 55|2010년 8월 5일|http://blog.naver.com/wcahall|한국문화예술회관연합회
장성문화예술회관|||061-390-8475|전라남도 장성군 장성읍 문화로 110|2011년 9월 4일|http://culture.jangseong.go.kr/?r=culture|한국문화예술회관연합회
장흥문화예술회관|||061-860-0357|전라남도 장흥군 장흥읍 읍성로 96|2004년 5월 1일|http://art.jangheung.go.kr|한국문화예술회관연합회
진도향토문화회관|||061-540-6254|전라남도 진도군 진도읍 진도대로 7197|1997.03.26|www.jindo.go.kr|한국문화예술회관연합회
해남문화예술회관|||061-530-5452|전라남도 해남군 해남읍 군청길 4|2002년 4월 20일|http://art.haenam.go.kr|한국문화예술회관연합회
GS칼텍스 예울마루|||061-808-7000|전라남도 여수시 예울마루로 100 (시전동 1003)|2012년 5월 10일|http://www.yeulmaru.org|한국문화예술회관연합회
목포시민문화체육센터|||061-270-8376|전라남도 목포시 부주로 312|2004.05.03|www.mokpo.go.kr|한국문화예술회관연합회
여수 진남문예회관|||061-659-3770|전라남도 여수시 좌수영로 69|1993.05.22|http//ok.yeosu.go.kr|한국문화예술회관연합회
서귀포예술의전당|||064-760-3341|제주특별자치도 서귀포시 태평로 270|2014.06.19|http://culture.seogwipo.go.kr/artcenter/|한국문화예술회관연합회
제주아트센터|||064-728-8953|제주특별자치도 제주시 오남로 231|2010년 5월 19일|http://arts.jejusi.go.kr/|한국문화예술회관연합회
제주문예회관||제주특별자치도문화예술진흥원|064-710-7632|제주특별자치도 제주시 동광로 69(일도2동)|1988년 8월 25일|http://www.jejuculture.or.kr|한국문화예술회관연합회
